Ag,Weight (kg),Height (m),Max_BPM,Avg_BPM,Calories_Burned,F.P.,wKJ_Water_Intake (liters)
18,118.6,1.64,188,134,693.0,25.6,2.7
56,88.5,1.85,161,144,1119.0,11.0,5.59
29,81.7,1.99,162,126,1005.0,53.29,3.2
34,110.5,1.86,188,139,1086.0,22.3,3.6
23,83.1,1.8,185,162,624.0,29.3,3.1
94,66.5,1.73,163,142,709.0,34.7,2.0
48,67.1,1.61,160,151,421.0,33.4,5.39
56,40.4,1.8,196,165,913.0,30.0,2.1
98,125.5,1.76,176,163,1031.0,23.2,3.1
49,105.7,1.64,198,155,921.0,29.5,3.1
21,88.4,1.6,198,121,1138.0,12.0,3.5
50,89.6,1.68,182,139,1232.0,12.2,3.5
53,78.3,1.65,164,126,703.0,33.7,1.6
38,76.6,1.58,199,130,481.0,32.2,2.3
59,54.6,1.57,164,169,441.0,29.2,2.3
56,50.6,1.7,175,146,848.0,50.74,2.3
52,59.7,1.71,169,151,836.0,34.3,2.0
97,82.2,1.87,171,143,1111.0,10.7,3.5
31,62.5,1.62,168,169,1318.0,49.77,2.7
59,86.9,1.76,194,123,688.0,49.26,3.1
55,63.5,1.86,198,144,969.0,55.51,2.9
34,102.1,1.71,185,135,713.0,27.3,3.2
20,55.0,1.6,172,168,1035.0,24.0,3.2
35,50.4,1.6,195,156,803.0,29.1,1.9
28,81.6,1.66,174,153,917.0,48.55,3.5
48,94.5,1.7,189,140,700.0,28.2,5.05
58,44.2,1.57,183,155,753.0,31.9,5.28
58,75.4,1.78,161,140,662.0,26.0,5.15
19,64.3,1.63,197,132,1234.0,18.0,5.14
25,41.1,1.67,186,138,711.0,31.9,4.45
34,75.7,1.94,181,141,915.0,29.3,5.56
25,62.6,1.65,174,142,852.0,27.9,5.01
36,69.2,1.65,165,126,852.0,52.62,2.7
27,108.0,1.8,174,122,926.0,28.6,2.5
54,55.2,1.71,164,152,579.0,24.4,2.8
49,57.8,1.99,183,161,741.0,53.83,3.1
90,76.9,1.82,192,121,992.0,24.5,2.8
50,69.6,1.96,166,139,667.0,44.57,2.0
39,127.5,1.82,180,161,1116.0,29.8,5.31
30,67.9,1.75,180,168,1155.0,29.1,3.1
31,42.7,1.76,182,121,883.0,34.9,2.2
32,56.6,1.57,170,167,1378.0,15.7,2.7
23,60.1,1.59,191,123,1107.0,53.01,2.7
54,70.1,1.52,180,139,475.0,54.68,2.1
20,64.3,1.78,188,137,1171.0,18.7,2.7
27,76.5,1.97,180,165,1025.0,21.3,5.49
52,50.3,1.78,170,132,555.0,24.5,2.3
30,90.0,1.66,165,152,1104.0,26.6,4.76
42,63.7,1.71,173,169,1080.0,26.1,1.8
26,59.3,1.51,181,129,1096.0,15.1,4.56
36,47.2,1.74,196,160,1200.0,32.2,1.6
56,69.3,1.68,195,138,451.0,53.37,2.1
30,91.4,1.99,171,152,1145.0,23.0,4.42
28,62.4,1.6,178,129,710.0,51.02,1.7
49,62.1,1.66,173,152,937.0,49.23,1.8
58,90.2,1.72,199,150,668.0,28.3,5.06
31,53.3,1.64,183,141,402.0,45.12,2.4
88,73.9,1.77,198,137,877.0,32.5,2.6
52,70.9,1.72,194,143,927.0,20.2,2.6
38,46.1,1.79,188,158,556.0,29.2,2.8
95,68.5,1.56,168,138,900.0,29.1,1.6
23,41.9,1.58,163,132,370.0,51.93,1.8
33,40.5,1.63,181,147,786.0,47.04,1.5
59,60.7,1.73,185,154,714.0,33.8,2.5
32,68.3,1.92,168,165,1289.0,48.52,3.5
58,65.2,1.63,167,121,610.0,25.4,2.0
48,129.2,1.61,193,167,876.0,21.4,2.9
87,51.8,1.74,179,127,773.0,21.3,3.7
36,48.7,1.68,194,144,886.0,33.7,1.6
38,57.7,1.56,185,132,1082.0,16.6,4.98
57,61.9,1.52,168,143,592.0,28.4,4.86
30,61.6,1.52,178,138,1228.0,46.79,2.7
58,49.7,1.67,191,125,776.0,43.92,2.3
25,55.3,1.76,176,152,1186.0,15.5,2.7
40,52.6,1.66,198,120,762.0,46.71,1.7
37,55.6,1.57,182,123,597.0,29.2,2.4
41,76.7,1.79,172,132,832.0,34.0,2.0
47,88.4,1.6,186,126,1160.0,14.2,3.5
18,72.2,1.54,194,125,606.0,27.1,1.7
57,60.9,1.52,196,157,926.0,30.6,1.8
51,77.3,1.58,171,168,733.0,52.11,2.0
32,77.4,1.92,174,137,1047.0,26.7,4.55
55,75.6,1.71,173,130,663.0,28.1,2.0
42,53.7,1.72,183,142,875.0,47.4,1.6
46,54.4,1.72,194,161,725.0,24.8,2.9
41,66.1,1.69,187,143,545.0,46.47,3.4
52,65.5,1.74,191,138,1011.0,53.91,2.8
31,75.5,1.93,168,135,446.0,20.5,3.4
100,61.0,1.76,162,153,1060.0,15.6,2.7
33,78.0,1.71,187,136,734.0,26.3,2.1
30,64.1,1.87,182,142,500.0,26.2,2.1
54,75.6,1.72,194,154,672.0,26.4,5.07
95,109.8,1.62,193,141,651.0,24.4,3.5
26,70.9,1.66,184,125,506.0,28.9,1.7
59,89.4,1.62,198,125,885.0,55.12,3.6
39,50.3,1.61,167,128,749.0,32.8,2.5
18,87.6,1.93,161,139,1315.0,11.9,3.5
54,86.0,1.93,171,163,1404.0,12.9,3.5
22,63.2,1.54,191,155,790.0,29.5,2.4
26,73.7,1.66,177,125,639.0,43.75,2.2
43,42.7,1.66,173,134,440.0,46.39,1.9
81,85.0,1.68,197,163,1468.0,11.3,3.5
78,42.5,1.75,181,131,740.0,26.2,2.1
22,71.0,1.93,162,139,1086.0,21.2,4.91
24,59.4,1.5,199,132,825.0,25.0,5.5
81,61.0,1.63,170,124,331.0,20.0,3.4
