Height (m),Avg_BPM,Session_Duration (hours);Resting_BPM,Calories_Burned,Workout_Type,Fat_Percentage,BMI
1.71,131,1.2;54,778.0,Strength,22.5,22.16
1.89,140,0.77;61,593.0,Strength,27.6,23.88
1.76,161,1.27;71,970.07,Strength,31.8,25.05
1.6,120,1.34;70,796.0,HIIT,26.8,25.98
1.79,127,1.0;69,698.0,Strength,26.8,36.45
1.74,127,1.45;63,1013.0,Strength,25.8,27.74
1.56,139,1.71;56,1188.0,Strength,19.8,22.72
1.62,127,1.39;74,883.0,Yoga,28.1,29.23
1.68,165,1.13;52,923.0,Cardio,20.4,45.49
1.59,145,1.63;66,1182.0,Yoga,16.6,25.39
1.95,140,1.17;64,811.0,Yoga,27.9,22.64
1.67,129,1.28;70,743.0,Yoga,25.3,16.53
1.84,136,1.08;64,808.0,Cardio,29.7,30.07
1.64,150,0.63;62,468.0,Strength,27.0,18.7
1.65,154,1.14;62,878.0,Strength,31.8,28.03
1.77,166,1.41;62,916.0,Cardio,27.9,24.87
1.64,159,1.25;67,894.0,Strength,32.1,17.92
1.58,167,1.07;54,893.0,HIIT,25.4,28.56
1.79,156,1.31;62,1012.0,HIIT,23.2,29.34
1.61,155,1.41;52,525.92,Yoga,34.9,29.17
1.86,141,1.36;56,949.0,Cardio,21.1,33.21
1.63,131,0.69;60,407.0,Cardio,32.6,28.49
1.99,147,1.33;73,1075.0,Yoga,20.9,25.23
1.52,160,1.19;60,714.0,Strength,25.4,27.57
1.69,156,1.18;53,1123.7,HIIT,33.1,20.2
1.59,164,1.49;65,534.52,HIIT,29.5,22.51
1.65,166,1.57;67,1290.0,HIIT,13.3,30.63
1.71,156,1.13;50,881.0,Yoga,28.1,18.13
2.0,162,1.83;66,1467.0,HIIT,13.3,21.07
1.7,144,1.97;70,1418.0,Strength,17.3,22.28
1.91,143,1.03;55,729.0,Cardio,27.3,25.49
1.52,143,0.92;51,592.0,HIIT,28.4,26.79
1.67,157,0.61;74,479.0,Strength,29.2,24.13
1.79,146,0.81;61,506.0,HIIT,27.7,22.78
1.95,129,1.0;66,639.0,Strength,25.2,34.06
1.63,120,0.66;73,436.0,Cardio,27.5,23.79
1.6,129,1.1;62,710.0,Strength,34.1,24.37
1.69,148,1.25;58,925.0,HIIT,26.9,22.51
1.64,157,1.13;70,887.0,Strength,25.3,21.3
1.63,136,1.41;66,1055.0,HIIT,27.6,46.9
1.65,157,1.22;53,924.0,HIIT,20.7,21.67
1.55,145,0.89;74,581.0,HIIT,33.9,30.63
1.86,123,1.34;50,907.0,Cardio,20.6,30.76
1.61,122,1.2;72,805.0,Yoga,23.4,22.61
1.7,140,1.01;64,700.0,Cardio,28.2,32.7
1.56,148,1.22;66,1058.42,Strength,34.8,26.13
1.84,140,0.51;65,393.0,Strength,21.5,18.37
1.84,146,1.29;71,932.0,Strength,28.4,24.31
1.61,161,1.02;69,821.0,Strength,28.6,18.09
1.9,146,0.81;72,585.0,Yoga,21.5,21.72
2.0,127,1.83;56,1150.0,Cardio,14.9,22.15
1.74,138,1.11;52,842.0,Yoga,22.3,16.22
1.94,127,1.03;52,719.0,Strength,28.9,32.34
1.72,168,1.08;62,907.0,Cardio,29.8,23.22
1.55,139,1.77;62,1107.0,HIIT,19.7,26.81
1.72,150,0.9;55,668.0,HIIT,28.3,30.49
1.56,121,1.45;57,877.0,HIIT,30.8,16.56
1.65,148,1.03;74,686.0,Yoga,34.3,14.69
1.52,136,0.96;56,653.0,Strength,26.3,20.91
1.85,150,1.6;74,1320.0,Cardio,12.4,23.78
1.52,162,1.4;61,1021.0,Yoga,31.2,28.35
1.89,137,1.75;54,1319.0,Cardio,13.3,24.64
1.52,127,1.03;50,654.0,Yoga,28.0,28.31
1.75,160,1.29;51,940.0,Strength,29.0,16.56
1.77,158,1.49;56,1177.0,Yoga,30.3,22.85
1.59,125,1.87;50,1169.0,Strength,16.4,25.28
1.76,127,0.86;68,546.0,Yoga,30.8,23.53
1.74,143,1.03;71,810.0,HIIT,29.8,21.04
1.55,139,1.4;54,876.0,Yoga,26.1,29.26
1.8,144,1.48;72,1172.0,Yoga,26.4,19.01
1.86,123,1.52;72,1028.0,Yoga,11.0,25.15
1.93,159,1.29;65,1015.0,Cardio,29.6,12.32
1.87,143,1.57;55,1111.0,HIIT,10.7,23.51
1.95,131,0.97;69,699.0,Yoga,27.9,26.69
1.9,164,0.76;64,557.0,HIIT,22.9,27.2
1.79,140,1.46;55,802.84,Yoga,22.9,14.54
1.55,132,1.38;73,911.0,Cardio,34.0,23.6
1.61,159,1.31;59,1041.0,Cardio,33.4,24.5
1.69,158,1.81;69,1573.0,HIIT,10.3,30.74
1.6,168,1.12;67,1035.0,Yoga,24.0,21.48
1.78,117,0.78;65,907.27,Yoga,28.1,38.16
1.61,122,1.08;69,659.0,HIIT,32.4,17.05
1.61,166,1.38;56,1260.0,Strength,25.0,25.69
1.82,160,0.9;71,792.0,Strength,21.4,15.61
1.76,130,1.44;60,842.0,Strength,25.8,14.88
1.62,157,0.56;52,484.0,Strength,20.0,18.79
1.91,125,1.38;61,854.0,HIIT,29.2,31.61
1.87,158,1.29;53,1009.0,HIIT,23.9,23.94
1.63,132,1.87;57,1234.0,Cardio,18.0,24.2
1.92,127,0.72;53,453.0,Cardio,28.1,21.16
1.55,149,1.41;65,936.64,HIIT,26.1,28.35
1.66,153,1.09;50,917.0,Yoga,20.5,29.61
1.72,150,1.31;65,973.0,HIIT,23.4,19.74
1.63,141,1.85;74,1304.0,Strength,17.8,22.28
1.6,145,1.99;60,1587.0,HIIT,14.5,33.55
1.71,126,1.23;58,869.54,Strength,34.3,20.42
1.66,166,1.29;66,1060.0,Cardio,20.5,39.77
1.66,132,1.88;69,1117.0,Yoga,19.8,23.48
1.69,133,1.76;50,1159.0,Yoga,12.7,29.97
1.78,130,1.38;53,987.0,Strength,22.4,16.41
1.72,161,0.91;73,725.0,Cardio,24.8,18.39
1.93,132,1.49;54,1082.0,Cardio,21.8,32.73
1.72,148,1.07;68,592.01,Cardio,31.3,19.98
1.85,156,1.66;62,1424.0,Strength,12.9,25.1
1.5,132,1.37;61,904.0,Cardio,33.7,30.4
1.78,134,1.29;68,951.0,HIIT,24.9,27.43
1.55,141,1.12;54,711.0,Strength,27.0,23.23
1.74,149,1.34;57,898.0,Yoga,29.2,22.06
1.77,123,0.68;61,418.0,Yoga,33.4,17.94
1.99,130,0.93;67,598.0,Cardio,24.0,26.46
1.53,135,1.11;69,674.0,HIIT,26.8,23.37
1.68,165,0.95;67,784.0,Cardio,31.6,22.6
1.85,157,1.28;64,995.0,Yoga,27.7,28.02
1.67,124,0.9;55,558.0,Cardio,33.7,21.16
1.86,129,1.37;58,972.0,HIIT,21.8,25.03
1.54,131,1.95;61,1150.0,Yoga,16.4,26.1
1.92,145,0.63;57,502.0,Cardio,26.1,34.83
1.8,166,0.79;50,590.0,Cardio,32.8,22.44
1.75,155,1.02;69,711.0,HIIT,27.6,22.69
1.91,136,1.01;73,680.0,Strength,29.0,26.84
1.96,137,1.36;50,1025.0,HIIT,24.9,25.33
1.87,158,1.44;57,1126.0,Cardio,26.2,14.61
1.77,136,1.4;53,952.0,HIIT,32.8,18.77
1.76,163,1.15;66,1207.76,Yoga,23.2,40.52
1.84,153,1.25;65,1052.0,Strength,20.5,30.3
1.88,141,1.22;61,946.0,Cardio,25.2,17.03
1.85,143,1.21;50,952.0,Yoga,25.3,27.79
1.77,130,1.21;59,779.0,HIIT,21.0,32.75
1.52,137,1.42;68,875.0,Yoga,28.1,29.69
1.81,167,1.2;57,240.96,Strength,20.2,21.34
1.64,147,1.42;54,939.0,HIIT,30.9,26.47
1.76,168,1.35;74,1123.0,Strength,26.9,28.44
1.52,129,1.73;52,1004.0,Strength,15.2,27.7
1.79,130,1.17;61,753.0,Yoga,28.1,20.13
1.6,130,0.87;67,1314.08,Yoga,29.2,28.2
1.58,165,1.97;56,1463.0,Strength,19.8,23.75
1.75,128,0.63;57,363.0,Cardio,25.2,21.58
1.77,143,1.04;73,795.0,HIIT,20.7,14.59
1.7,164,0.59;56,532.0,Strength,28.8,18.41
1.61,159,1.93;63,1688.0,HIIT,10.9,31.44
1.66,151,1.37;52,1024.0,Strength,29.0,33.97
1.67,166,0.93;50,783.47,Strength,32.5,25.17
1.87,163,1.96;54,1445.0,Strength,10.7,25.14
1.8,139,0.73;68,502.0,HIIT,27.2,20.12
1.74,138,1.48;70,1011.0,Strength,26.2,21.63
1.72,147,1.41;57,933.0,Cardio,26.3,16.19
1.9,137,1.8;55,1356.0,Yoga,11.7,22.41
1.79,153,1.79;57,1369.0,Yoga,17.6,17.54
1.61,166,1.75;52,1598.0,Strength,14.3,31.13
1.64,154,1.33;53,1024.0,Cardio,32.4,25.51
1.57,149,1.34;71,898.0,HIIT,28.3,21.26
1.67,125,1.38;72,776.0,Strength,31.9,17.82
1.54,155,1.06;63,822.0,Strength,29.2,23.78
1.67,153,1.05;65,723.0,Cardio,31.6,27.11
1.72,128,1.0;63,640.0,Yoga,32.6,19.71
1.95,159,1.91;73,1503.0,Yoga,14.3,21.78
1.6,145,1.1;73,718.0,Yoga,32.9,30.51
1.72,128,1.63;51,1043.0,Strength,18.2,20.28
1.8,160,0.79;73,695.0,Yoga,29.6,25.62
1.69,140,0.9;56,567.0,Yoga,34.7,15.02
1.66,161,1.3;59,958.81,Strength,21.3,21.48
1.79,161,0.62;55,499.0,Cardio,26.8,12.67
1.56,136,0.61;63,415.0,Yoga,34.4,23.87
1.77,157,1.48;57,1046.0,HIIT,32.7,21.16
1.72,142,1.37;74,875.0,Cardio,29.8,18.15
1.96,120,0.67;59,442.0,Strength,23.2,19.91
1.64,151,1.9;70,1536.0,Yoga,14.4,32.72
1.72,132,1.48;54,977.0,Cardio,28.6,15.14
1.76,153,1.54;54,1060.0,HIIT,15.6,19.69
1.62,164,0.81;56,731.0,Yoga,28.8,25.11
1.74,167,1.03;64,946.0,Strength,20.0,15.49
1.76,152,1.46;65,883.0,Strength,34.9,13.78
1.61,136,1.06;51,721.14,Strength,24.8,28.66
1.87,128,1.87;59,1185.0,HIIT,10.2,23.33
1.71,152,0.77;67,696.61,Cardio,24.4,18.88
1.95,131,1.41;68,1094.38,Cardio,22.7,23.17
1.66,129,1.25;72,806.0,HIIT,29.5,19.49
1.64,162,1.82;64,1622.0,HIIT,12.1,33.2
1.77,128,1.46;53,841.0,Strength,33.1,24.19
1.74,165,1.2;58,465.77,Cardio,29.4,17.27
1.58,129,0.86;65,499.0,HIIT,31.3,26.52
1.76,167,1.37;66,686.51,HIIT,29.0,15.72
1.66,161,1.21;60,964.0,HIIT,26.8,21.27
1.74,167,0.84;53,772.0,Yoga,22.9,18.07
1.52,130,1.23;71,800.0,Cardio,30.6,28.22
1.62,150,1.13;56,847.0,Cardio,30.9,22.48
1.97,157,1.14;65,886.0,HIIT,22.9,19.69
1.91,137,0.52;70,353.0,Strength,28.3,34.29
1.66,120,1.27;71,762.0,Strength,32.9,19.09
1.76,149,0.71;73,552.0,Strength,24.9,41.03
1.6,122,0.77;67,465.0,Strength,23.2,34.14
1.61,139,1.88;58,1307.0,Yoga,19.8,24.07
1.54,140,0.72;50,454.0,Cardio,25.2,28.46
1.92,161,1.24;50,988.0,Yoga,21.1,20.83
1.71,149,1.15;58,942.0,Strength,27.0,19.73
1.94,131,1.14;71,821.0,HIIT,24.3,24.52
1.93,136,1.35;58,1010.0,Cardio,27.4,15.65
1.67,124,1.5;52,837.0,Yoga,32.0,18.68
1.59,149,1.19;64,798.0,Strength,32.0,28.88
1.77,137,1.28;64,877.0,Strength,32.5,23.59
1.52,159,1.13;60,746.0,Cardio,31.0,23.46
1.75,135,1.48;69,899.92,Strength,21.6,17.6
1.58,141,1.04;62,863.0,Strength,32.8,29.92
1.8,149,1.31;57,976.0,Yoga,25.7,23.33
1.68,161,1.17;70,848.0,Yoga,33.1,25.16
1.92,168,1.93;67,1783.0,Strength,10.6,24.36
1.85,157,1.48;67,1278.0,Cardio,28.1,29.83
1.6,140,1.88;61,1184.0,Yoga,19.2,22.07
1.79,141,1.52;59,964.0,Strength,16.5,17.57
1.66,125,0.93;72,639.0,Yoga,26.7,26.75
1.6,155,1.17;74,907.0,Cardio,32.4,27.03
1.73,160,1.32;62,1162.0,Strength,27.3,42.63
1.86,160,1.87;64,1481.0,Strength,14.2,23.73
1.93,143,1.88;66,1479.0,Cardio,11.1,23.65
1.76,123,1.13;60,688.0,Strength,29.8,28.05
1.57,166,1.29;60,1071.0,HIIT,31.9,21.34
1.67,168,1.13;57,949.0,Strength,33.3,27.97
1.7,146,1.29;58,848.0,Strength,33.1,17.51
1.79,138,1.35;55,1025.0,Cardio,28.8,26.47
2.0,136,1.18;69,794.0,HIIT,27.6,23.62
1.61,151,0.62;74,421.0,Cardio,33.4,25.89
1.75,121,1.33;73,885.0,Yoga,25.0,24.42
1.61,157,1.48;67,1046.0,HIIT,28.2,19.37
1.92,165,1.42;54,1289.0,Strength,29.9,18.53
1.99,152,1.37;60,1145.0,HIIT,23.0,23.08
1.74,151,1.66;51,1379.0,Cardio,11.6,27.61
1.76,121,0.84;64,559.0,HIIT,23.6,32.74
1.61,141,1.14;55,796.0,Cardio,30.0,31.4
1.62,121,1.41;61,768.0,HIIT,34.8,16.8
1.9,128,1.91;58,1345.0,Strength,11.7,23.88
1.77,146,1.22;50,900.0,HIIT,25.6,21.39
1.52,166,1.83;61,1519.0,Yoga,17.0,26.75
1.71,137,1.26;52,863.0,Cardio,26.2,26.47
1.8,126,1.09;60,680.0,Strength,26.7,15.9
1.87,138,0.61;70,463.0,Cardio,23.3,16.27
1.53,120,1.74;58,940.0,Yoga,17.2,27.55
1.77,129,1.85;59,1181.0,Yoga,14.3,25.7
1.67,143,0.57;72,448.0,Cardio,26.9,37.76
1.66,151,0.99;58,673.0,Strength,34.6,25.44
1.97,151,0.74;73,615.0,HIIT,25.9,18.35
1.58,120,1.93;50,1042.0,Yoga,19.3,23.27
1.5,144,0.92;62,662.0,Yoga,29.8,20.4
1.74,129,1.24;62,720.0,HIIT,29.5,22.1
1.84,120,1.26;67,748.0,HIIT,26.0,27.94
1.54,146,1.34;63,1268.27,Cardio,29.8,20.16
1.66,131,1.42;55,921.0,Yoga,22.9,28.56
1.63,148,0.96;73,632.0,Yoga,20.8,47.72
1.77,137,1.47;74,1128.0,Strength,26.9,15.51
1.92,145,1.13;70,789.0,HIIT,25.2,17.06
1.62,162,1.16;70,1034.0,Strength,20.1,29.07
1.94,162,0.81;69,722.0,Strength,29.0,19.45
1.95,142,1.47;69,982.0,Yoga,22.8,20.83
1.79,160,1.34;72,965.0,Yoga,26.7,13.95
1.68,158,1.27;71,1003.0,Strength,32.0,19.42
1.88,161,1.3;67,1036.0,HIIT,23.0,34.89
1.84,132,1.3;50,944.0,Yoga,24.3,29.89
1.59,130,1.49;54,968.0,HIIT,28.2,31.49
1.93,139,1.15;55,879.0,HIIT,20.2,28.78
1.53,140,1.83;62,1153.0,Cardio,18.4,24.78
1.9,167,1.02;57,937.0,Yoga,25.2,30.89
1.91,143,1.36;58,1070.0,Cardio,29.3,27.69
1.52,154,1.08;67,832.0,Cardio,32.2,21.77
1.61,152,1.0;68,684.0,Strength,34.7,24.34
1.63,143,1.7;58,1203.0,Cardio,12.1,32.63
1.86,129,1.0;64,639.0,Yoga,22.7,36.22
1.86,129,1.01;67,645.0,Yoga,24.7,13.82
1.69,157,0.81;52,636.0,Cardio,28.1,23.28
1.94,134,0.89;50,656.0,Yoga,22.9,27.18
1.62,125,1.43;59,885.0,Strength,23.5,34.06
1.86,141,0.64;52,496.0,Yoga,26.6,27.52
1.8,140,1.36;50,942.0,Strength,28.3,22.81
1.57,163,1.14;65,836.0,Cardio,31.8,28.68
1.79,125,1.08;63,743.0,Cardio,28.0,21.88
1.98,120,1.24;61,818.0,Strength,27.8,26.22
1.59,163,1.26;74,924.0,HIIT,34.3,22.31
1.8,136,1.7;66,1144.0,Strength,10.1,26.39
1.51,126,1.37;52,777.0,HIIT,32.1,24.91
1.78,167,1.53;67,1265.0,HIIT,13.2,27.93
1.62,125,1.28;69,880.0,Yoga,29.6,29.95
1.6,125,1.49;55,838.0,Yoga,31.1,25.35
1.85,142,1.22;50,858.0,Yoga,28.2,24.16
1.61,144,1.62;68,1166.0,HIIT,19.9,21.26
1.62,143,1.04;56,736.0,HIIT,23.1,44.66
1.69,155,1.15;63,882.0,Strength,25.2,28.78
2.0,123,1.13;65,688.0,Yoga,26.2,29.1
1.74,143,1.5;51,965.0,HIIT,32.9,13.38
1.53,148,1.93;73,1380.0,Cardio,18.1,26.74
1.89,127,0.7;51,440.0,Yoga,29.6,19.65
1.91,129,1.87;58,1327.0,HIIT,11.8,23.93
1.8,126,1.55;59,1074.0,Cardio,10.7,24.97
1.89,168,0.54;57,499.0,Cardio,26.4,28.97
1.82,145,1.25;63,997.0,Cardio,22.4,37.53
1.61,168,1.3;71,1078.94,Strength,23.9,27.01
1.55,125,0.84;56,525.0,Cardio,29.8,30.26
1.55,143,0.73;58,470.0,Strength,29.9,29.3
1.52,138,1.78;71,1228.0,Cardio,19.5,26.66
1.72,125,1.46;62,903.0,Strength,25.7,32.69
1.65,166,1.1;67,904.0,Cardio,24.4,23.8
1.81,153,1.7;70,1287.0,Yoga,12.4,27.35
1.87,124,1.51;74,927.0,Yoga,13.2,23.59
1.79,139,1.69;61,1163.0,Cardio,14.7,25.75
1.99,161,0.93;67,741.0,HIIT,24.7,14.6
1.57,158,1.47;52,1161.0,Cardio,32.7,30.1
1.83,120,1.04;51,650.84,Cardio,22.3,36.01
1.67,137,1.02;71,699.0,Yoga,31.0,23.88
1.88,148,0.52;71,386.0,Cardio,21.3,27.84
1.68,135,1.28;62,950.0,Cardio,29.7,36.95
1.56,132,1.64;54,1082.0,HIIT,16.6,23.71
1.61,168,1.38;51,1148.0,Yoga,22.6,34.8
1.71,136,1.08;58,694.59,Cardio,26.3,26.67
1.73,142,1.11;56,709.0,Yoga,34.7,22.22
1.62,158,1.18;74,730.87,Strength,29.3,18.79
1.88,147,0.72;59,634.0,Strength,28.1,30.47
1.61,121,1.36;63,1036.34,Cardio,21.8,28.43
1.68,164,1.42;58,1164.0,Cardio,25.3,17.4
1.63,160,1.41;63,1241.0,Cardio,21.9,23.64
1.6,151,0.89;69,672.0,Yoga,32.6,21.87
1.94,156,1.02;50,875.0,Cardio,27.6,29.49
1.72,154,0.97;60,672.0,Cardio,26.4,25.55
1.65,157,0.77;60,598.0,Cardio,28.7,46.94
1.77,137,1.12;72,875.0,Cardio,25.7,22.95
1.68,157,1.97;72,1701.0,Strength,13.3,30.54
1.66,152,1.37;73,937.0,HIIT,31.3,22.54
1.63,128,1.35;63,864.0,HIIT,34.4,17.61
1.7,125,0.51;72,319.0,Cardio,30.4,22.32
1.75,146,1.41;60,1029.0,Cardio,32.5,22.76
1.92,150,1.31;73,1081.0,Cardio,29.0,18.64
1.62,132,0.51;64,303.0,Cardio,25.3,16.54
1.8,153,1.1;50,926.0,Yoga,25.4,21.02
1.58,135,1.49;50,1006.0,Cardio,27.8,27.88
1.66,130,0.74;71,433.0,Yoga,33.0,18.98
1.77,134,1.32;59,876.0,HIIT,25.7,20.2
1.95,155,1.61;68,1373.0,Yoga,10.4,22.43
1.92,144,1.16;55,919.0,HIIT,20.2,29.98
1.86,145,1.64;66,772.93,HIIT,14.2,24.54
1.72,147,0.82;58,1230.04,Strength,27.5,34.68
1.76,151,1.29;66,1071.0,Strength,28.9,27.96
1.66,136,1.97;74,1355.0,HIIT,11.2,30.05
1.69,130,1.72;65,1230.0,Yoga,14.0,30.43
1.74,150,1.08;64,810.0,Strength,33.9,17.01
1.94,120,1.35;73,891.0,HIIT,23.5,28.43
1.62,128,0.58;63,408.0,Cardio,25.3,24.84
1.79,156,1.17;73,1004.0,Strength,21.3,23.84
1.62,139,1.17;67,732.0,Yoga,25.7,27.78
1.85,126,1.35;69,842.0,Strength,24.4,36.46
1.8,162,0.7;56,624.0,Strength,29.3,25.65
1.58,163,1.03;68,756.0,Yoga,26.6,16.66
1.86,129,1.14;70,830.0,Yoga,25.3,20.7
1.65,132,1.22;59,561.32,Strength,33.0,15.46
1.62,143,1.3;72,1022.0,HIIT,20.8,24.31
