Age,G.,Weight (kg),Height (m),MaBP,Avg_BPM,Workout_Frequency (days/week),87U_BMI
53,Male,156.94,1.95,177,138,3,24.75
18,male person,87.6,1.93,161,139,4,23.52
46,Male,108.8,1.64,185,169,3,40.45
20,Male,124.3,1.82,194,145,3,37.53
36,Female,57.7,1.77,176,147,4,18.42
54,Female,64.2,1.69,188,131,4,22.48
28,Male,84.8,1.79,182,138,4,26.47
19,Male,95.1,1.85,190,143,4,27.79
50,Female,73.6,1.55,183,145,3,30.63
22,Msle,45.7,1.77,164,139,3,14.59
56,Male,58.7,1.86,187,159,3,16.97
49,Male,85.0,1.68,197,163,4,30.12
46,Male,55.1,1.72,164,137,3,18.62
57,Male,81.4,1.86,162,145,5,23.53
32,Male,105.3,1.67,184,143,3,37.76
29,Male,68.0,1.7,190,150,2,23.53
18,Male,118.6,1.64,188,134,3,44.1
48,Female,62.9,1.58,192,124,4,25.2
35,Female,64.2,1.59,199,145,5,25.39
42,Female,152.91,1.74,161,130,3,14.1
19,Female,49.1,1.68,193,164,4,17.4
52,Male,66.5,1.6,185,120,4,25.98
57,Female,169.76,1.52,170,129,5,27.7
57,Male,122.1,1.89,165,134,3,34.18
28,Female,67.3,1.67,171,157,3,24.13
52,Male,144.37,1.82,174,154,4,25.81
49,male person,82.8,1.95,183,159,5,21.78
54,Female,142.77,1.6,198,145,4,30.51
45,Eenale,50.9,1.65,170,136,2,18.7
18,Female,62.0,1.59,190,162,4,24.52
20,male person,148.21,1.84,164,132,3,37.87
43,Female,42.7,1.66,173,134,2,15.5
28,Male,87.0,1.76,197,121,3,28.09
59,Female,60.4,1.76,194,120,5,19.5
