4kLUm6dYdq,BELASTUNG STUFEI,Productivity_Change,Gender,neighborhood,Number_of_Virtual_Meetings,Work_Location,Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Age,Work_Life_Balance_Rating,Zugang zu Ressourcen für psychische Gesundheit
Education,Low,No Change,Prefer not to say,Asia,8,Remote,34,2,41,1,No
Retail,Low,Increase,Male,Oceania,15,Remote,58,3,58,2,No
Retail,Low,No Change,Male,Africa,3,Remote,92,3,30,4,Yes
Manufacturing,Medium,Increase,Prefer not to say,Sout.Ameri.,15,Remote,52,5,22,2,No
Manufacturing,Medium,Decrease,Male,Asi.,5,Remote,51,2,34,2,No
Manufacturing,Low,No Change,Female,North America,10,On.,31,5,48,1,No
Retail,Medium,Increase,Non-binary,South America,5,Hybrid,47,4,29,3,Yes
IT,Low,Increase,Male,Asia,9,Onsite,55,5,47,1,No
Healthcare,High,Decrease,Non-binary,North America,3,Remote,84,5,51,2,Yes
Healthcare,Medium,Increase,Female,North.America,13,Remote,40,3,60,4,No
Manufacturing,High,Decrease,Non-binary,North America,9,Onsite,46,4,48,2,Yes
Retail,Medium,Decrease,Prefer not to say,South America,0,Onsite,37,1,38,3,Yes
Consulting,High,No Change,Female,Oceania,11,Onsite,32,1,58,3,Yes
q5k4_Retail,Medium,No Change,Non-binary,Asia,12,Hybrid,20,2,35,5,No
IT,High,Increase,Female,Africa,10,Onsite,55,3,32,2,No
Manufacturing,High,Increase,Male,Africa,6,Remote,36,8,30,1,Yes
Healthcare,Medium,No Change,Male,North America,2,Hybrid,48,5,29,2,Yes
Finance,Medium,Decrease,Prefer not to say,Africa,5,Hybrid,76,5,45,5,No
Heal.,Low,Decrease,Non-binary,Asi.,12,Remote,33,2,45,4,No
Consulting,Low,Decrease,Female,o3_Oceania,12,Remote,45,5,41,4,No
Finance,Medi.,Decrease,Prefer not to say,North America,14,Remote,43,2,56,4,No
Finance,Low,Decrease,Non-binary,South America,3,Remote,59,2,49,5,Yes
Healthcare,High,No Change,Male,North America,12,0nsite,26,2,32,3,BNp_Yes
Finance,Low,Decrease,Male,Oceania,7,Hybrid,47,8,58,5,No
Finance,Medium,Increase,Female,QEQy_North America,1,Remote,27,1,41,2,Yes
Finance,High,Increase,Prefer not to say,Asia,2,Hybrid,85,1,42,2,No
Retail,Low,No Change,Non-binary,Europe,4,Remote,29,3,36,2,Yes
91IX_Healthcare,Low,Increase,Male,Asia,6,Hybrid,53,1,31,5,Yes
Finance,High,Decrease,Prefer not to say,Europe,13,Hybrid,22,4,46,3,Yes
Education,High,Increase,Prefer not to say,North America,2,Onsite,42,2,41,4,Yes
Retail,Medium,Increase,Male,Oceania,13,Remote,20,9,52,1,Yes
Manufacturing,Medium,Increase,Female,Asia,11,Hybrid,77,2,51,2,Yes
IT,High,Increase,Non-binary,Europe,5,Hybrid,32,8,23,4,Yes
Education,High,Increase,Female,South America,7,Remote,44,2,34,3,Yes
Education,Medium,No Change,Prefer not to say,Oceania,1,O.,38,4,37,4,No
Consulting,Low,Decrease,Non-binary,North America,2,Hybrid,44,3,40,3,No
Consulting,High,Decrease,Non-binary,Oceania,10,Remote,43,1,46,2,No
Education,Medium,No Change,Prefer not to say,Oceania,3,Hybrid,45,3,28,2,No
Education,Low,Decrease,Male,Oceania,5,Hybrid,24,5,26,1,Yes
Healthcare,High,Increase,Female,North America,7,etNq_Hybrid,37,8,25,3,Yes
Finance,Medium,Decrease,Female,Africa,5,Remote,48,3,30,4,Yes
IT,Medium,Increase,Male,Europe,11,Onsite,29,3,57,1,No
Finance,Low,Increase,Male,Asia,9,Remote,26,4,33,3,No
Manufacturing,High,Decrease,Female,South America,2,Remote,60,3,38,2,No
Consulting,High,Increase,Female,Europe,3,Remote,22,5,43,4,Yes
Finance,Medium,Increase,Prefer not to say,Europe,0,Remote,21,2,43,4,Yes
IT,High,Increase,Female,South America,2,Onsite,49,5,44,3,Yes
Manufacturing,Medium,Increase,Prefer not to say,Africa,7,Remote,38,2,52,4,No
Education,Low,Increase,Male,Oceania,1,Hybrid,26,8,25,3,Yes
1T,Low,No Change,Female,Europe,13,Remote,50,3,28,5,Yes
Healthcare,high-topped,Decrease,Non-binary,5outh America,10,Onsite,26,4,26,2,Yes
IT,fl_High,Decrease,Female,Europe,5,Hybrid,26,1,32,3,qWs_Yes
Education,High,No Change,Female,Europe,9,Onsite,30,3,28,2,No
Consulting,H.,No Change,Prefer not to say,North America,7,Onsite,50,2,32,3,Yes
I.,Medium,No Change,Non-binary,South America,10,Hybrid,60,3,25,4,Yes
Fi.,Low,No Change,Non-binary,Europe,6,Onsite,49,5,57,5,No
Healthcare,u_Medium,Increase,Non-binary,Europe,9,Remote,48,5,28,2,No
IT,Low,Increase,Male,Africa,4,Remote,39,1,51,5,No
IT,High,No Change,Prefer not to say,Oceania,15,Hybrid,52,3,60,2,No
Healthcare,Medium,Increase,Female,Sout.Am.,5,Remote,23,4,49,3,Yes
IT,Medium,Decrease,Male,North America,8,Hybrid,51,5,30,4,Yes
Manufacturing,Medium,Increase,Prefer not to say,Asia,14,Onsite,28,1,35,5,No
Finance,Low,No Change,Non-binary,North America,15,Onsite,22,1,45,5,Yes
Education,Medium,No Change,Non-binary,4umk_Africa,1,Remote,50,3,42,3,No
Retail,Low,Increase,Non-binary,Oceania,13,Remote,21,8,38,3,Yes
IT,Medium,Decrease,Non-binary,Europe,14,Remote,28,2,36,1,No
Healthcare,Low,No Change,Female,Africa,14,Onsite,21,5,23,3,No
Manufacturing,L.,Decrease,Non-binary,South_America,15,Hybrid,58,2,41,4,No
Retail,Low,No Change,Male,Oceania,5,Onsite,28,10,43,4,Yes
Retail,High,Increase,Non-binary,South America,2,Remote,41,1,53,1,Yes
Education,Medium,No Change,Female,Oceania,4,Onsite,25,8,52,4,Yes
Wq_Consulting,High,Increase,Prefer not to say,Asia,5,Onsite,35,4,52,1,Yes
Finance,High,Decrease,Female,Africa,9,Hybrid,49,2,42,4,No.
Healthcare,Medium,Decrease,Female,Africa,7,Hybrid,37,8,49,5,Yes
Manufacturing,Medium,Increase,Female,Asia,8,Remote,93,9,48,2,No
Consulting,High,Decrease,Female,South America,6,AV_Onsite,35,5,37,4,Yes
Healthcare,Medium,Decrease,Female,South America,2,Hybrid,44,3,57,5,Yes
Man.,Medium,Increase,Female,Oceania,8,uT_Remote,35,2,59,1,No
Healthcare,Low,Decrease,Male,Oceania,2,Hybrid,35,4,36,2,No
Healthcare,High,Decrease,Female,South_America,0,Hybrid,60,2,31,4,tX_Yes
IT,Medium,Decrease,Male,Africa,0,Remote,54,3,24,5,Yes
Healthcare,High,No Change,Non-binary,Oceania,14,Ons.,41,5,34,3,Ye.
Retail,High,No Change,Male,Africa,4,Remote,60,3,43,3,No
Education,High,No Change,Prefer not to say,Europe,10,Remote,40,4,25,1,No
Retail,Low,No Change,Non-binary,Africa,4,Hybrid,47,5,27,2,Yes
IT,Low,Decrease,Non-binary,Africa,15,Onsite,58,5,58,3,Yes
Finance,Low,Increase,Female,Europe,7,Hybrid,82,5,50,5,No
Healthcare,Medium,Decrease,Non-binary,Asia,12,Onsite,55,5,41,5,Yes
Education,Low,No Change,Male,Africa,14,Hybrid,25,3,38,2,MzRR_Yes
Consulting,High,Increase,Prefer not to say,Asia,5,Onsite,40,1,24,4,Yes
Consulting,Low,No Change,Female,to the north the americas,12,Remote,93,3,38,2,Yes
Manufacturing,High,No Change,Male,Europe,13,Onsite,48,3,37,3,No
Finance,Medium,Increase,Non-binary,Africa,6,Hybrid,50,3,59,4,N.
Finance,Medium,No Change,Male,Europe,8,Hybrid,48,1,31,3,Yes
Retail,Medium,Increase,Female,oceanica,8,Hybrid,34,3,24,4,No
Finance,Medium,No Change,Male,South America,9,Remote,57,4,30,4,pX_Yes
IT,High,No Change,Male,South America,12,Onsite,52,4,54,3,Yes
Hea.,high-topped,Decrease,Non-binary,Africa,8,Remote,22,4,53,3,No
Finance,L.,Increase,Female,Africa,11,Onsite,20,4,41,4,No
Finance,H.,Increase,Prefer not to say,Oceania,1,Hybrid,84,4,24,3,No
Finance,rm_Medium,Decrease,Prefer not to say,South America,5,Remote,25,4,25,4,Yes
Manufacturing,Medium,Increase,Female,Oceania,12,Remote,46,4,47,4,Yes
Education,Medium,Decrease,Non-binary,Oceania,6,Onsite,32,5,24,2,Yes
Finance,High,Decrease,Prefer not to say,South America,7,Hybrid,90,3,60,2,Yes
Retail,High,No Change,Male,Afr.,5,Remote,30,3,59,4,Yes
Consulting,Low,No Change,Non-binary,Asia,9,Hybrid,32,5,26,4,Ye.
Education,Low,Increase,Male,Asia,13,Onsite,30,3,22,5,Yes
Consulting,High,Increase,Non-binary,Oceania,15,PB_Hybrid,59,2,28,4,No
Consulting,Medium,Decrease,Male,North America,10,Hybrid,23,4,52,4,Yes
IT,Medium,No Change,Male,Oceania,7,Remote,48,1,57,3,No
Manufacturing,Medium,No Change,Non-binary,North America,7,Remote,37,5,57,1,No
Education,Medium,Increase,Female,North America,11,Onsite,27,3,50,3,Yes
Retail,Low,Increase,Non-binary,North America,15,Hybrid,39,1,46,4,Ye.
Healthcare,Medium,No Change,Male,Oceania,2,O.,82,3,37,5,Yes
Retail,High,Increase,Non-binary,Oceania,1,Hybrid,52,3,55,2,Yes
Health.,A0A_Low,Decrease,Male,Asia,1,Remote,55,9,37,1,Yes
Healthcare,high-topped,Increase,Prefer not to say,Europe,11,Remote,29,10,22,2,No
Manufacturing,Medium,No Change,Male,Africa,15,Onsite,23,3,50,2,Yes
Manufacturing,High,No Change,Non-binary,Oceania,10,Hybrid,46,3,45,4,Yes
Retail,Low,No Change,Non-binary,North America,2,R.,47,8,36,1,Yes
Education,High,Decrease,Non-binary,Europe,2,Onsite,51,2,45,2,No
Manufacturing,High,Increase,Male,Europe,5,Onsite,46,2,40,2,Yes
I.,Medium,No Change,Male,Africa,12,Remote,41,4,29,3,No
HWb_IT,High,No Change,Female,Europe,6,Hybrid,29,2,24,2,Yes
IT,Low,No Change,Non-binary,Europe,1,Remote,31,3,42,4,No
Healthcare,High,Decrease,Female,North America,4,Remote,25,1,34,1,No
Consulting,High,No Change,Non-binary,Europe,13,remote control,60,5,40,1,Yes
Retail,Medium,Decrease,Non-binary,South America,10,Rem.,28,1,27,4,No
Finance,High,No Change,Female,Oceania,14,Remote,34,1,33,4,Yes
Retail,High,No Change,Male,South America,13,Onsite,35,4,24,5,Yes
Manufacturing,Medium,Decrease,Non-binary,Africa,8,Onsite,91,2,36,2,Yes
IT,high-topped,No Change,Female,North America,7,Onsite,26,2,45,3,Yes
IT,Low,Decrease,Non-binary,South.America,11,Hybrid,45,8,23,1,atomic number 102
IT,Low,Decrease,Prefer not to say,North America,2,Onsite,60,4,59,3,Yes
Finance,Low,No Change,Male,5Uyg_Asia,0,Remote,41,5,54,5,No
Consulting,Low,No Change,Prefer not to say,Oceania,2,Onsite,42,1,38,5,N.
Educa.,Medium,Decrease,Male,Africa,0,Hybrid,41,2,52,1,Yes
Manufacturing,Low,No Change,Male,Asia,2,Onsite,95,3,47,1,No
Consulting,SIZ_Low,Increase,Female,oceanica,13,Onsite,34,2,44,5,No
Finance,6_Medium,No Change,Female,North America,6,Remote,53,1,56,4,Yes
Finance,High,No Change,Non-binary,Europe,2,Hybrid,33,5,27,5,Yes
Education,M_High,No Change,Male,North America,6,Remote,50,2,48,1,No
Finance,Low,Decrease,Prefer not to say,Asia,15,Hybrid,41,9,23,2,Yes
Healthcare,Medium,No Change,Non-binary,Africa,2,Remote,48,2,50,3,No
Manufacturing,Low,No Change,Non-binary,South America,6,intercrossed,80,3,50,1,Yes
Consulting,Low,Decrease,Non-binary,Oceania,5,Onsite,33,2,56,3,Yes
Education,High,Decrease,Male,Asia,15,Onsite,90,2,28,3,No
Consulting,Medium,Increase,Non-binary,Africa,15,Hybrid,60,5,51,2,XVF_Yes
Education,High,No Change,Female,Africa,15,Hybrid,40,2,41,4,Yes
IT,Low,Increase,Female,Europe,8,Onsite,60,4,23,1,Yes
Manufacturing,Medium,Increase,Non-binary,Oceania,5,Hybrid,90,5,23,2,No
Manufacturing,Low,Increase,Female,Africa,4,Remote,50,9,60,1,No
Consulting,Medium,No Change,Male,Asia,1,Remote,33,4,26,2,Yes
Healthcare,Low,No Change,Male,South America,15,Onsite,45,4,25,3,No
Consulting,High,Decrease,Male,Africa,5,Hybrid,56,1,33,4,Yes
Retail,gV41_Medium,No Change,Male,South America,0,Remote,31,2,45,2,No
IT,Low,Decrease,Male,Europe,12,Onsite,43,1,25,4,No
Manufacturing,low-toned,Increase,Female,North America,9,Remote,76,5,24,1,No
IT,High,Decrease,Prefer not to say,Africa,13,Onsite,34,5,52,4,No
Retail,high-topped,Decrease,Non-binary,South America,4,remote control,40,4,30,1,Aw0D_No
IT,High,Increase,Female,Oceania,2,Remote,33,1,44,4,No
Finance,Medium,Decrease,Prefer not to say,South America,13,Onsite,20,4,40,4,Yes
Education,Low,Increase,Prefer not to say,Africa,4,Remote,34,3,31,3,No.
Education,Low,Decrease,Non-binary,North America,14,Onsite,25,3,23,4,No
Education,Low,No Change,Prefer not to say,North America,11,Remote,89,5,49,1,Yes
Healthcare,Medium,Decrease,Female,Africa,6,Hybrid,45,5,23,3,No
Finance,low-toned,Decrease,Male,Oceania,15,Onsite,28,4,58,1,No
Consulting,High,Increase,Prefer not to say,BuP5_Europe,12,Hybrid,58,3,60,3,No
Manufacturing,Low,No Change,Non-binary,Asia,13,r_Onsite,23,3,54,2,No
Manufacturing,High,Decrease,Female,Asia,15,Remote,57,3,27,3,Yes
Retail,High,Decrease,Prefer not to say,Europe,14,Remote,92,5,60,5,No
Manufacturing,Low,Decrease,Female,Oceania,1,Hybrid,50,5,51,2,Yes
Retail,Medium,Increase,Female,Europe,5,Hybrid,46,5,24,4,No
Education,High,No Change,Female,Asia,7,Hybrid,60,4,27,3,No
Retail,High,No Change,Non-binary,Oceania,3,Hybrid,25,5,30,5,Yes
Healthcare,High,Decrease,Male,Africa,13,CTn_Remote,45,9,53,3,No
Education,Medium,Decrease,Male,Asia,2,Remote,50,4,47,4,Yes
Manufacturing,Low,Increase,Male,South America,3,Onsite,25,4,31,3,No
Manufacturing,Low,Decrease,Male,Europe,15,Hybrid,49,5,35,4,Yes
Education,High,Decrease,Non-binary,North America,4,Hybrid,23,4,26,3,No
h_Finance,Medium,No Change,Female,Oceania,11,Onsite,26,2,43,1,No
Consulting,Medium,No Change,Prefer not to say,Oceania,1,Remote,46,2,46,4,No
IT,Medium,Decrease,Non-binary,Oceania,5,Remote,42,4,32,1,No
Healthcare,Medium,No Change,Female,South America,15,Remote,46,5,58,3,No
Finance,Low,No Change,Male,Africa,10,0nsite,29,2,35,5,Yes
IT,Medium,Increase,Male,North America,5,Onsite,43,4,48,2,Yes
Education,Lo.,Increase,Non-binary,Asia,7,Onsite,33,2,42,4,Yes
Healthcare,High,Decrease,Non-binary,Oceania,14,Remote,24,1,36,1,Yes
Education,Medium,Increase,Male,North.America,8,Remote,30,5,60,2,No
Healthcare,Medium,Decrease,Male,North America,1,Onsite,29,3,24,5,Yes
Finance,Low,Increase,Male,South America,2,Hybrid,23,2,35,5,Yes
Consulting,high-topped,No Change,Female,North America,9,Onsite,43,10,57,5,Yes
Consulting,Medium,Decrease,Male,South America,4,intercrossed,28,1,54,5,Yes
Retail,Low,Increase,Male,South America,11,Hybrid,22,3,52,3,No.
Education,Medium,Decrease,Female,A.,10,Onsite,58,5,51,4,Yes
Consulting,Low,Decrease,Male,South America,10,Hybrid,39,5,33,1,No
Healthcare,Medium,No Change,Non-binary,UjY_South America,8,Onsite,49,5,53,5,No
Education,Medium,Decrease,Non-binary,Africa,10,Onsite,39,1,39,1,Yes
Healthcare,Medium,Increase,Non-binary,Africa,7,Hybrid,39,1,56,3,No
Healthcare,High,Increase,Prefer not to say,South America,1,Hybrid,36,4,26,5,No
1T,Low,No Change,Prefer not to say,North America,9,Hybrid,88,4,52,4,atomic number 102
Retail,High,Increase,Prefer not to say,Oceania,8,Remote,53,5,47,3,No
Retail,High,Increase,Female,Oceania,7,Remote,26,3,59,2,Yes
Education,High,No Change,Non-binary,Europe,15,Onsite,24,4,27,5,Yes
Retail,high-topped,No Change,Female,Europe,12,Hybrid,47,3,23,4,Yes
Consulting,Medium,Decrease,Prefer not to say,Europe,14,Onsite,43,2,22,5,Yes
Education,Low,Decrease,Non-binary,North America,3,Onsite,81,4,22,5,Yes
Finance,Lo.,Increase,Female,Asia,0,Onsite,52,1,28,4,Yes
Retail,Low,No Change,Prefer not to say,N.A.,10,Hybrid,79,5,36,5,No
1T,Low,Decrease,Non-binary,Africa,11,Remote,36,1,52,5,Y.
Healthcare,High,Increase,Male,South America,9,Remote,80,3,57,2,Yes
IT,Hig.,Decrease,Prefer not to say,North America,11,Hybrid,54,3,59,1,No
Consulting,Medium,No Change,Prefer not to say,Europe,6,Onsite,52,5,22,3,Yes
Re.,H.,No Change,Female,Asia,13,Remote,23,1,49,5,kt_Yes
Manufacturing,Low,Decrease,Prefer not to say,Eur.,15,Onsite,57,1,42,4,No
Retail,5_Medium,No Change,Male,Africa,10,Hybrid,50,4,35,3,No
Retail,High,No Change,Non-binary,in the south the americas,8,Hybrid,59,1,60,1,Yes
Finance,Medium,Decrease,Non-binary,Asia,8,Remote,30,2,22,3,Ye.
Consulting,Low,Increase,Male,BIO_Africa,4,Hybrid,20,4,30,3,Yes
Education,Low,No Change,Male,Europe,1,Remote,51,3,57,5,No
Healthcare,High,Increase,Male,North America,12,Hybrid,58,5,50,3,Yes
He.,High,No Change,Non-binary,Africa,14,Onsite,36,5,26,1,1_No
Consulting,High,Increase,Non-binary,North America,4,Hybrid,33,2,49,5,atomic number 102
Consulting,Low,No Change,Prefer not to say,Oceania,12,Onsite,58,2,48,3,No
Healthcare,v9zA_High,Increase,Prefer not to say,kJ_South America,7,Remote,27,4,48,2,No
IT,Low,Increase,Male,As.,12,Remote,45,2,58,2,Yes
Manufacturing,Low,Decrease,Female,North America,5,Hybrid,58,4,59,1,No
Finance,Low,Increase,Non-binary,zhJQ_Oceania,7,Onsite,37,8,28,1,Ye.
Retail,Medium,No Change,Prefer not to say,Asia,1,Remote,59,5,34,2,No
IT,Low,Increase,Male,South America,3,0nsite,35,1,42,3,Yes
Retail,High,Increase,Prefer not to say,South America,1,Remote,31,4,34,1,No
Retail,Vm_High,Decrease,Male,jxG_Oceania,2,Onsite,44,2,56,3,No
Healthcare,Medium,No Change,Male,North America,7,Onsite,42,5,28,2,Yes
Consulting,Medium,Decrease,Prefer not to say,South America,1,Onsite,27,1,53,1,atomic number 102
Healthcare,High,No Change,Non-binary,South America,7,Hybrid,39,9,60,1,Yes
SW_Healthcare,Medium,Increase,Male,North America,5,Remote,45,2,31,1,atomic number 102
Retail,Medium,Decrease,Male,North America,7,0nsite,59,2,22,3,No
Manufacturing,Low,No Change,Non-binary,Asi.,15,remote control,42,4,31,2,Yes
Retail,Cg_High,No Change,Female,Africa,5,Hybrid,55,3,40,2,Yes
IT,Low,Decrease,Prefer not to say,South America,15,Onsite,41,5,54,5,No
Consulting,Medium,No Change,Non-binary,Africa,9,Onsite,37,3,35,3,Yes
Manufacturing,Low,No Change,Non-binary,North America,6,Remote,30,2,48,3,Ye.
Education,Medium,Decrease,Female,Europe,8,Onsite,58,4,38,3,Yes
Finance,Medium,Decrease,Non-binary,South America,7,Hybrid,36,3,56,2,No
Healthcare,Medium,No Change,Non-binary,Oceania,8,Remote,41,1,24,2,No
Finance,Medium,Increase,Non-binary,Oceania,5,Remote,78,1,30,1,No
Healthcare,High,No Change,Female,Asia,11,Hybrid,31,3,28,4,No
R.,High,Increase,Prefer not to say,Oceania,7,Remote,39,4,27,5,Yes
IT,High,Increase,Non-binary,Oceania,7,Onsite,33,3,23,4,No
Retail,Low,No Change,Female,Europe,11,Onsite,45,2,48,5,Yes
Healthcare,Medium,Increase,Non-binary,Asia,1,Onsite,39,5,56,3,No
Finance,High,Decrease,Prefer not to say,North America,14,Remote,40,1,38,1,No
IT,Low,Increase,Non-binary,Asia,0,Hybrid,49,4,57,5,No
Finance,Medium,Decrease,Female,Africa,15,s_Hybrid,49,4,23,3,5r_Yes
IT,Medium,Decrease,Non-binary,Europe,15,Remote,53,1,36,1,No
Education,High,Decrease,Non-binary,North America,5,Remote,23,4,52,5,Yes
Finance,High,No Change,Female,Europe,13,0nsite,34,3,30,5,No
IT,Low,Decrease,Prefer not to say,Oceania,0,R.,55,2,51,3,No
Fi.,4_Medium,Increase,Female,in the south the americas,2,Remote,44,4,39,4,No
Finance,Low,No Change,Prefer not to say,Africa,8,Onsite,54,2,46,1,N.
Finance,Medium,No Change,Female,O.,9,Remote,29,5,44,5,Yes
Consulting,Medium,Decrease,Male,y4_Asia,2,Remote,32,4,22,1,Yes
IT,Low,Decrease,Non-binary,Europe,3,Onsite,45,4,38,5,No
Education,High,Decrease,Non-binary,Europe,0,BZ_Hybrid,59,5,26,5,No
Re.,High,Decrease,Female,Asia,8,Hybrid,35,7,48,3,Yes
Retail,High,Decrease,Prefer not to say,Asia,2,Remote,92,4,49,5,No
Manufacturing,High,Increase,Male,Oceania,5,Hybrid,29,1,32,2,No
Healthcare,Medium,No Change,Prefer not to say,North America,15,Onsite,87,3,32,2,No
Finance,High,Increase,Prefer not to say,Asia,13,Onsite,49,3,57,2,Yes
Education,Medium,Increase,Non-binary,South America,11,0nsite,52,2,35,4,No
Consulting,Low,No Change,Male,5outh America,15,Hybrid,54,4,53,1,No
Finance,Medium,No Change,Male,South America,11,Hybrid,33,3,41,5,Yes
Retail,Medium,Decrease,Male,Europe,9,Remote,91,4,46,1,Yes
Education,BP_Medium,No Change,Non-binary,Africa,10,remote control,45,3,30,2,Yes
Healthcare,Low,Increase,Non-binary,Europe,4,remote control,52,4,51,4,No
Consulting,High,No Change,Prefer not to say,Asia,7,Hybrid,41,1,48,3,Yes
Consulting,Low,Decrease,Male,Africa,14,Hybrid,54,4,56,2,No
Finance,Medium,Decrease,Female,Africa,8,Remote,38,2,60,5,Yes
SPw_IT,High,No Change,Female,Asia,5,Hybrid,23,4,24,2,No
IT,Hi.,Decrease,Prefer not to say,Oceania,2,Hybrid,27,4,50,4,Yes
Education,Medium,Decrease,Female,North America,1,O.,45,4,22,5,No
Manufacturing,Medium,Increase,Prefer not to say,Europe,9,ZiOG_Hybrid,29,5,25,1,No
Finance,Medium,No Change,Prefer not to say,South America,3,Hybrid,31,2,32,4,No
Manufacturing,High,Decrease,Female,North America,12,R.,45,4,42,5,Yes
Education,Low,Increase,Female,South America,3,Onsite,28,2,39,2,No
Ma.,Medium,No Change,Male,South America,2,Hybrid,32,9,28,1,No
Education,High,No Change,Male,North America,0,Hybrid,56,4,50,3,Yes
Finance,Low,No Change,Prefer not to say,Europe,1,Remote,46,1,45,2,ahX_Yes
Consulting,Medium,Increase,Female,Oceania,0,Hybrid,29,3,54,2,No
Education,Medium,Increase,Male,Oceania,0,Hybrid,98,3,57,1,Yes
Retail,Low,Increase,Non-binary,South America,6,Remote,35,1,33,5,Yes
Finance,low-toned,No Change,Female,Africa,13,Onsite,23,3,30,5,No
Education,Medium,Increase,Female,Europe,12,Onsite,50,2,27,2,No
Retail,Low,Increase,Prefer not to say,Africa,14,Remote,58,1,25,1,No
Manufacturing,Low,Decrease,Prefer not to say,Africa,6,Onsite,45,5,49,3,Yes
Re.,High,Increase,Female,nHB_Oceania,9,Onsite,54,8,45,4,No.
IT,High,Decrease,Male,South America,15,Hybrid,54,2,42,3,Yes
Manufacturing,Medium,Decrease,Female,Oceania,3,Onsite,27,5,33,1,Yes
Healthcare,High,Increase,Male,Oceania,2,Onsite,60,5,46,5,No
Retail,culture medium,No Change,Prefer not to say,Europe,7,Onsite,21,3,43,3,No
Healthcare,Low,No Change,Male,Africa,15,O.,60,4,23,3,No.
Finance,Medium,Decrease,Non-binary,South America,11,Onsite,87,5,48,1,No
IT,Low,Increase,Prefer not to say,Africa,0,Remote,41,2,30,1,No
Healthcare,Low,Increase,Non-binary,South America,5,Hybrid,41,2,46,1,No
Consulting,Low,Increase,Prefer not to say,North America,1,Hybr.,56,3,59,2,Yes
Consulting,Medium,Increase,Prefer not to say,South America,4,Hybrid,23,4,36,2,No
Manufacturing,High,Decrease,Non-binary,North America,7,Remote,32,1,51,4,Yes
Retail,High,Increase,Non-binary,Europe,13,Hybrid,22,4,26,3,Yes
Fina.,High,No Change,Prefer not to say,Europe,12,Remote,48,5,41,5,Yes
IT,High,Increase,Non-binary,South America,7,Hybrid,22,4,29,5,Yes
Retail,Low,Increase,Non-binary,Oceania,12,Hybrid,22,5,53,1,No
Finance,High,Increase,Female,North America,8,Remote,60,2,30,5,Yes
Education,Medium,Decrease,Female,Oceania,9,Hybrid,38,5,48,2,No
Retail,High,No Change,Non-binary,South America,9,oBu5_Remote,34,2,31,1,No
Manufacturing,High,Decrease,Prefer not to say,Hx_Africa,14,Onsite,23,8,44,4,Yes
IT,High,No Change,Female,North America,3,Onsite,52,1,42,5,Yes
Education,Medium,No Change,Non-binary,Oceania,14,Hybrid,24,5,42,2,No
Finance,Medium,Increase,Prefer not to say,North America,10,Onsite,85,1,52,4,Yes
Healthcare,High,No Change,Male,Africa,2,Hybrid,46,7,49,5,No
Retail,low-toned,Decrease,Non-binary,Africa,3,Hybrid,44,4,28,3,Yes
Finance,Low,Increase,Female,g_South America,7,Remote,31,4,53,2,No
Healthcare,High,Decrease,Male,South America,3,Onsite,32,4,49,1,Yes
Ret.,High,Increase,Non-binary,Oceania,2,Remote,31,5,23,4,No
IT,Hig.,Increase,Male,37j_Europe,10,Hybrid,98,2,23,3,No
Cons.,low-toned,No Change,Female,Asia,5,Hybrid,42,4,46,2,No
Education,High,Decrease,Prefer not to say,Oceania,4,eH_Hybrid,88,3,48,3,Ye.
Finance,High,No Change,Female,South America,2,r4_Hybrid,44,8,48,3,Yes
Finance,High,Decrease,Female,Africa,13,Hybrid,46,2,39,5,No
Manufacturing,L.,No Change,Non-binary,Europe,9,Onsite,55,4,59,3,Yes
Finance,Low,No Change,Prefer not to say,Asia,4,Hybrid,78,4,25,1,No
Finance,High,Increase,Non-binary,Asia,13,Remote,40,4,24,5,Yes
Consulting,Medium,No Change,Female,South America,7,Remote,38,4,28,1,Yes
Manufacturing,High,Increase,Male,in the south the americas,12,Hybrid,57,3,50,2,Yes
Retail,Lo.,Decrease,Prefer not to say,Asia,10,Hybrid,22,1,54,4,No
IT,High,Increase,Male,J_Asia,8,Hybrid,45,9,33,4,Yes
Finance,High,Decrease,Prefer not to say,Asia,11,Remote,41,4,30,5,No
Healthcare,Low,Increase,Prefer not to say,North America,11,Remote,49,2,40,2,No
Consulting,Low,No Change,Female,6E_Europe,15,Onsite,32,5,27,4,No
Finance,1LXd_Medium,No Change,Non-binary,North America,9,0nsite,25,3,50,1,No
Finance,High,No Change,Prefer not to say,5outh America,14,Hybrid,24,5,23,3,YuH_Yes
Consulting,High,Decrease,Male,Africa,12,Remote,49,5,27,4,No
Education,Medium,Increase,Male,Asia,4,Hybrid,59,7,41,5,No
IT,High,No Change,Prefer not to say,North America,8,O.,39,5,50,2,Yes
Consulting,culture medium,Decrease,Non-binary,Europe,14,Remote,34,4,32,1,N.
Healthcare,Low,Decrease,Female,North America,10,Remote,77,3,52,2,No
Retail,Low,No Change,Prefer not to say,North America,9,Remote,28,5,51,4,Yes
Finance,Medium,Decrease,Male,Europe,0,Remote,39,5,26,3,No
Finance,Medium,No Change,Non-binary,South America,6,Remote,43,2,59,1,No
Education,Medium,No Change,Female,Europe,6,Hybrid,57,5,52,1,Yes
Healthcare,Low,No Change,Non-binary,Eu.,1,Onsite,32,4,55,1,N.
