Work_Life_Balance_Rating,Industry,Gender,Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Satisfaction_with_Remote_Work,Social_Isolation_Rating,Age
3,Consulting,Prefer not to say,58,2,Neutral,4,48
2,Healthcare,Prefer not to say,27,9,Neutral,4,81
2,IT,Male,45,2,Unsatisfied,3,58
1,Manufacturing,Female,58,8,Unsatisfied,2,59
1,Finance,Non-binary,37,4,Unsatisfied,1,28
2,Retail,Prefer not to say,59,9,Neutral,4,34
3,IT,Male,35,1,Neutral,8,42
1,Retail,Prefer not to say,31,4,Unsatisfied,1,34
3,Retail,Male,44,2,Neutral,3,56
2,bp_Healthcare,Male,42,5,Neutral,8,28
1,Consulting,Prefer not to say,27,1,Satisfied,2,96
1,Healthcare,Non-binary,39,2,Unsatisfied,5,60
1,Healthcare,Male,45,2,Neutral,8,31
3,Retail,Male,59,2,Unsatisfied,4,22
2,Manufacturing,Non-binary,42,4,Neutral,3,31
2,Retail,Female,55,3,Neutral,4,40
5,IT,Prefer not to say,41,5,Unsatisfied,2,54
3,Consulting,Non-binary,37,3,Neutral,4,35
3,Manufacturing,Non-binary,30,2,Satisfied,9,78
3,Education,Female,89,4,Satisfied,5,38
2,Finance,Non-binary,36,3,Neutral,4,56
2,Healthcare,Non-binary,41,1,Unsatisfied,4,24
1,Finance,Non-binary,29,1,Neutral,4,30
4,Healthcare,Female,31,3,Satisfied,10,28
5,Retail,Prefer not to say,75,8,Neutral,2,27
4,IT,Non-binary,33,9,Unsatisfied,4,23
5,Retail,Female,45,2,Unsatisfied,2,48
3,Healthcare,Non-binary,39,5,Neutral,2,56
1,Finance,Prefer not to say,40,1,Satisfied,4,38
5,1T,Non-binary,88,4,Unsatisfied,2,57
3,Finance,Female,49,4,Satisfied,2,23
1,IT,Non-binary,53,1,Satisfied,1,36
5,Education,Non-binary,23,4,Unsatisfied,4,52
5,Finance,Female,34,9,Unsatisfied,1,30
3,IT,Prefer not to say,55,2,Unsatisfied,9,78
4,Finance,Female,44,4,Satisfied,4,39
1,Finance,Prefer not to say,54,2,Satisfied,2,46
5,Finance,Female,29,5,Unsatisfied,5,44
1,Consulting,Male,32,4,Neutral,4,22
5,hPXJ_IT,Non-binary,45,4,Neutral,4,38
5,Education,Non-binary,59,5,Satisfied,3,26
3,Retail,Female,35,5,Satisfied,4,48
5,Retail,Prefer not to say,36,4,Unsatisfied,3,49
2,Manufacturing,Male,29,1,Neutral,5,32
2,Healthcare,Prefer not to say,43,3,Neutral,2,32
2,Finan.,Prefer not to say,49,3,Neutral,9,57
4,Education,Non-binary,52,2,Neutral,2,35
1,Consulting,Male,54,4,Neutral,2,53
5,Finance,Male,33,3,Satisfied,3,41
1,Retail,Male,31,4,Satisfied,3,46
2,Education,Non-binary,45,3,Unsatisfied,1,30
4,Healthcare,Non-binary,52,4,Unsatisfied,4,51
3,Consu.,Prefer not to say,41,9,Neutral,4,48
2,Consulting,Male,54,4,Satisfied,3,56
5,Finance,Female,38,2,Satisfied,4,60
2,IT,Female,23,4,Satisfied,1,24
4,IT,Prefer not to say,27,4,Unsatisfied,5,50
5,Education,Female,45,4,Unsatisfied,5,22
1,Manufacturing,Prefer not to say,29,5,Unsatisfied,5,25
4,Finance,Prefer not to say,31,9,Unsatisfied,5,32
5,Ma.,Female,45,4,Unsatisfied,3,42
2,Education,Female,28,2,Neutral,2,39
1,Manufacturing,Male,32,10,Satisfied,8,28
3,education department,Male,79,4,Unsatisfied,4,50
2,Finance,Prefer not to say,46,1,Satisfied,2,45
2,Consulting,Female,29,3,Neutral,5,54
1,Education,Male,51,3,Satisfied,2,57
5,2Rp_Retail,Non-binary,35,1,Unsatisfied,4,33
5,Finance,Female,23,3,Unsatisfied,2,78
2,Education,Female,50,2,Unsatisfied,2,27
1,Retail,Prefer not to say,58,9,Neutral,2,96
3,Manufacturing,Prefer not to say,45,5,Satisfied,1,49
4,Retail,Female,54,3,Neutral,4,45
3,IT,Male,54,2,Neutral,8,42
1,Manufacturing,Female,27,9,Neutral,3,33
5,Healthcare,Male,60,5,Neutral,4,46
3,Retail,Prefer not to say,21,3,Satisfied,2,43
3,Healthcare,Male,60,4,Satisfied,1,81
1,Finance,Non-binary,50,5,Satisfied,2,48
1,IT,Prefer not to say,41,2,Satisfied,8,30
1,Healthcare,Non-binary,41,2,Unsatisfied,3,46
2,Consulting,Prefer not to say,56,3,Neutral,4,59
2,Consulting,Prefer not to say,23,8,Satisfied,8,36
4,Manufacturing,Non-binary,32,1,Satisfied,5,51
3,Retail,Non-binary,94,4,Neutral,5,26
5,Finance,Prefer not to say,89,5,Neutral,8,41
5,IT,Non-binary,22,4,Neutral,8,29
1,Retail,Non-binary,22,5,Unsatisfied,2,53
5,Finance,Female,60,2,Satisfied,3,30
2,Education,Female,38,5,Satisfied,5,48
1,Retail,Non-binary,34,2,Unsatisfied,5,31
4,Manufacturing,Prefer not to say,23,10,Satisfied,7,44
5,IT,Female,52,1,Unsatisfied,4,42
2,Education,Non-binary,24,5,Neutral,4,94
4,Finance,Prefer not to say,38,1,Satisfied,4,52
5,Healthcare,Male,46,3,Unsatisfied,5,49
3,Retail,Non-binary,44,4,Neutral,5,28
2,Finance,Female,31,4,Neutral,3,53
1,Healthcare,Male,32,4,Neutral,3,49
4,Retail,Non-binary,31,5,Satisfied,5,23
3,IT,Male,20,2,Neutral,1,23
2,Consulting,Female,78,4,Neutral,9,78
3,Education,Prefer not to say,36,3,Unsatisfied,1,48
3,Finance,Female,44,3,Satisfied,2,48
5,Finance,Female,46,2,Neutral,1,39
3,Manufacturing,Non-binary,55,4,Satisfied,5,59
1,Finance,Prefer not to say,40,4,Neutral,3,25
5,Finance,Non-binary,40,4,Satisfied,5,24
1,Consulting,Female,38,4,Unsatisfied,4,28
2,Manufacturing,Male,57,3,Neutral,8,50
4,Retail,Prefer not to say,22,1,Satisfied,1,80
4,IT,Male,45,2,Neutral,4,33
5,Finance,Prefer not to say,41,9,Neutral,3,89
2,Healthcare,Prefer not to say,49,2,Unsatisfied,2,40
4,Consulting,Female,32,5,Neutral,9,27
1,Finance,Non-binary,25,3,Neutral,5,50
3,Finance,Prefer not to say,24,5,Unsatisfied,3,23
4,Consulting,Male,49,5,Unsatisfied,1,27
5,E.,Male,59,2,Unsatisfied,3,41
2,IT,Prefer not to say,39,5,Unsatisfied,5,50
1,Consulting,Non-binary,34,4,Neutral,4,32
2,Healthcare,Female,55,3,Neutral,4,52
4,Retail,Prefer not to say,28,5,Unsatisfied,5,51
3,Finance,Male,39,5,Satisfied,1,26
1,Finance,Non-binary,43,2,Neutral,2,59
1,Education,Female,57,8,Neutral,5,52
1,Healthcare,Non-binary,32,4,Satisfied,3,79
1,Finance,Prefer not to say,25,2,Neutral,4,36
2,Education,Prefer not to say,22,5,Neutral,5,32
2,C.,Prefer not to say,97,2,Satisfied,4,41
3,Education,Non-binary,22,2,Unsatisfied,2,29
3,Education,Male,46,5,Satisfied,3,41
1,Finance,Female,43,2,Unsatisfied,8,55
4,IT,Female,48,4,Unsatisfied,1,38
4,Healthcare,Male,39,3,Unsatisfied,3,59
1,Consulting,Prefer not to say,49,1,Neutral,3,32
4,Healthcare,Prefer not to say,38,2,Unsatisfied,5,28
2,Healthcare,Prefer not to say,32,4,Satisfied,3,90
4,Retail,Prefer not to say,92,2,Neutral,2,45
1,Consulting,Non-binary,39,2,Satisfied,1,27
3,Consulting,Male,47,2,Satisfied,10,40
4,Healthcare,Female,53,3,Unsatisfied,4,25
2,IT,Male,49,1,Unsatisfied,7,30
2,Manufacturing,Male,47,2,Unsatisfied,8,89
3,0_Retail,Prefer not to say,25,4,Neutral,4,48
2,Consulting,Female,55,3,Neutral,2,57
3,Retail,Prefer not to say,35,5,Satisfied,9,32
4,Consulting,Male,57,5,Satisfied,4,31
4,Retail,Non-binary,95,3,Satisfied,5,56
1,IT,Non-binary,44,5,Unsatisfied,4,55
2,Finance,Non-binary,28,1,Satisfied,2,56
1,H.,Non-binary,25,5,Unsatisfied,4,31
3,Retail,Female,58,2,Unsatisfied,1,55
1,Finance,Prefer not to say,44,2,Unsatisfied,4,48
3,IT,Male,25,2,Unsatisfied,5,50
2,Healthcare,Non-binary,48,1,Unsatisfied,4,28
4,Education,Male,34,3,Neutral,2,95
1,Finance,Male,38,9,Satisfied,5,47
2,Healthcare,Prefer not to say,37,3,Unsatisfied,3,23
4,Finance,Male,22,2,Neutral,3,23
2,Finance,Prefer not to say,22,4,Satisfied,9,35
5,Healthcare,Non-binary,52,3,Neutral,5,53
3,Finance,Female,28,5,Unsatisfied,2,49
1,Manufact.,Non-binary,43,5,Satisfied,3,43
3,Manufacturing,Male,78,2,Unsatisfied,2,81
3,Finance,Non-binary,48,2,Satisfied,2,59
2,Education,Non-binary,91,2,Satisfied,3,52
1,Consulting,Male,29,1,Neutral,3,53
3,x_Consulting,Prefer not to say,97,3,Neutral,4,42
5,Healthcare,Prefer not to say,43,4,Neutral,3,24
2,Manufacturing,Non-binary,56,4,Unsatisfied,5,37
2,IT,Non-binary,58,4,Unsatisfied,5,58
4,Consulting,Male,53,3,Neutral,4,97
5,Retail,Prefer not to say,36,2,Neutral,5,84
2,Healthcare,Male,40,10,Unsatisfied,1,46
1,Retail,Female,60,4,Neutral,3,27
5,I.,Non-binary,44,4,Neutral,1,35
4,Education,Non-binary,33,4,Satisfied,5,24
5,Healthcare,Female,50,2,Unsatisfied,3,60
5,Manufacturing,Non-binary,38,1,Unsatisfied,5,59
3,Healthcare,Prefer not to say,51,1,Neutral,3,23
2,Finance,Male,59,4,Neutral,1,55
4,Education,Female,54,4,Neutral,5,40
3,Consulting,Non-binary,34,3,Satisfied,4,39
2,Healthcare,Male,94,5,Satisfied,2,51
3,Finance,Male,24,4,Unsatisfied,10,40
2,Education,Female,83,2,Satisfied,2,34
2,Finan.,Non-binary,34,1,Unsatisfied,3,90
3,IT,Non-binary,25,1,Satisfied,4,24
3,IT,Non-binary,41,3,Neutral,2,48
2,IT,Non-binary,54,9,Neutral,2,40
1,IT,Prefer not to say,39,3,Unsatisfied,2,45
2,Healthcare,Female,52,10,Neutral,1,30
1,IT,Prefer not to say,91,2,Satisfied,5,25
5,Zs_Healthcare,Non-binary,22,3,Satisfied,10,76
4,Consulting,Female,43,5,Satisfied,4,53
5,Retail,Male,98,1,Neutral,4,56
1,Manufacturing,Prefer not to say,26,3,Satisfied,2,26
4,Consulting,Male,32,4,Unsatisfied,2,58
3,IT,Non-binary,53,2,Unsatisfied,3,57
3,B_Healthcare,Prefer not to say,32,5,Unsatisfied,3,44
5,Education,Male,35,5,Unsatisfied,4,32
5,Manufacturing,Non-binary,44,9,Neutral,3,42
3,Pnox_Consulting,Non-binary,24,4,Unsatisfied,8,43
5,Manufacturing,Male,47,1,Neutral,4,58
5,Retail,Female,84,1,Unsatisfied,3,27
2,Finance,Female,32,4,Neutral,4,25
1,Manufacturing,Prefer not to say,97,3,Neutral,2,30
2,Healthcare,Female,49,3,Satisfied,2,44
4,Education,Non-binary,59,8,Neutral,3,28
5,IT,Male,23,1,Unsatisfied,5,36
1,Retail,Prefer not to say,34,2,Unsatisfied,2,35
4,IT,Prefer not to say,49,1,Unsatisfied,8,29
4,Finance,Male,39,3,Unsatisfied,5,56
3,Healthcare,Male,26,5,Unsatisfied,3,45
1,Consulting,Male,50,9,Satisfied,5,47
2,Finance,Female,46,1,Satisfied,4,41
5,Consulting,Prefer not to say,46,4,Satisfied,1,84
2,IT,Male,22,2,Neutral,3,32
5,I.,Non-binary,56,5,Unsatisfied,1,56
5,Education,Prefer not to say,97,2,Satisfied,2,60
3,Manufacturing,Non-binary,54,4,Satisfied,3,42
5,Retail,Non-binary,51,3,Neutral,4,36
4,Finance,Non-binary,45,5,Neutral,1,40
2,Education,Male,42,5,Unsatisfied,5,32
3,Retail,Female,55,4,Satisfied,3,32
1,Retail,Non-binary,21,3,Satisfied,4,49
5,Healthcare,Non-binary,41,4,Satisfied,1,42
5,Healthcare,Prefer not to say,83,2,Unsatisfied,3,39
2,Finance,Non-binary,47,2,Neutral,5,81
2,Healthcare,Non-binary,75,3,Satisfied,2,52
3,Manufacturing,Prefer not to say,20,4,Neutral,5,25
5,Consulting,Male,20,3,Neutral,2,85
3,IT,Prefer not to say,25,1,Unsatisfied,4,59
5,Education,Male,23,4,Neutral,4,60
5,IT,Male,43,2,Satisfied,1,24
1,Retail,Prefer not to say,39,4,Neutral,1,49
3,Healthcare,Female,45,4,Unsatisfied,1,25
1,Education,Female,20,2,Neutral,5,56
3,Education,Prefer not to say,58,3,Unsatisfied,5,34
5,Finance,Prefer not to say,45,2,Neutral,8,43
4,Manufacturing,Non-binary,32,1,Neutral,1,96
4,Finance,Male,45,2,Unsatisfied,4,80
1,Education,Non-binary,35,5,Unsatisfied,3,35
5,IT,Male,22,5,Unsatisfied,2,56
2,1T,Male,21,8,Unsatisfied,4,27
1,IT,Prefer not to say,23,3,Neutral,4,58
5,Healthcare,Female,39,1,Unsatisfied,3,26
3,APQr_Consulting,Non-binary,43,5,Unsatisfied,1,31
4,Consulting,Female,32,10,Neutral,5,53
1,Finance,Prefer not to say,27,5,Neutral,1,41
4,Healthcare,Prefer not to say,45,5,Satisfied,3,24
3,Healthcare,Prefer not to say,26,3,Satisfied,4,91
3,Finance,Female,28,1,Neutral,2,45
5,Finance,Non-binary,43,1,Satisfied,9,23
2,Manufacturing,Non-binary,28,1,Unsatisfied,5,55
3,IT,Male,78,3,Neutral,9,38
3,IT,Non-binary,21,4,Satisfied,4,34
5,Education,Female,38,1,Unsatisfied,4,24
3,Finance,Non-binary,28,4,Satisfied,1,46
2,Healthcare,Prefer not to say,33,3,Unsatisfied,3,36
4,IT,Male,25,3,Satisfied,1,30
1,Manufacturing,Male,44,2,Neutral,8,34
5,Education,Female,98,3,Satisfied,4,40
5,Consult.,Male,78,4,Satisfied,5,37
2,IT,Non-binary,28,4,Satisfied,10,37
3,IT,Non-binary,41,8,Neutral,4,33
1,IT,Prefer not to say,51,1,Satisfied,10,53
5,Manufacturing,Female,52,5,Unsatisfied,8,23
4,Healthcare,Female,31,1,Unsatisfied,1,22
4,Manufact.,Non-binary,51,4,Neutral,1,45
4,Finance,Female,36,3,Neutral,5,25
3,Finance,Male,59,9,Neutral,4,44
3,Consulting,Female,43,3,Neutral,4,36
3,Consulting,Female,54,1,Neutral,2,37
2,Healthcare,Male,43,4,Unsatisfied,2,45
5,Retail,Female,22,4,Satisfied,5,48
4,Finance,Non-binary,34,5,Satisfied,5,42
3,Manufacturing,Non-binary,23,4,Satisfied,3,24
4,Healthcare,Non-binary,27,1,Unsatisfied,2,58
1,YW_Finance,Female,45,3,Neutral,1,50
2,Retail,Prefer not to say,42,4,Neutral,2,46
4,Retail,Non-binary,40,5,Satisfied,8,56
4,Education,Male,46,3,Neutral,8,27
2,Retail,Female,37,2,Unsatisfied,2,75
4,Consulting,Non-binary,36,2,Unsatisfied,3,56
2,IT,Female,35,3,Unsatisfied,5,57
3,Retail,Prefer not to say,24,1,Satisfied,1,22
3,Manufacturing,Prefer not to say,98,4,Satisfied,2,45
1,Manufacturing,Male,37,5,Satisfied,1,33
1,Manufacturing,Non-binary,28,1,Neutral,2,37
3,IT,Non-binary,56,5,Neutral,4,29
3,Ret.,Female,36,1,Satisfied,4,51
2,Finance,Prefer not to say,35,1,Satisfied,4,43
1,IT,Non-binary,41,5,Unsatisfied,3,49
1,Healthcare,Female,40,7,Unsatisfied,7,75
1,IT,Female,37,5,Satisfied,2,28
3,Finance,Prefer not to say,27,1,Neutral,3,23
3,w_IT,Male,51,2,Neutral,5,32
1,xjNl_Retail,Male,35,5,Satisfied,5,58
5,Consulting,Male,46,9,Unsatisfied,3,57
2,Consulting,Female,50,5,Unsatisfied,5,27
1,R.,Non-binary,26,3,Neutral,1,40
5,Fin.,Male,38,4,Unsatisfied,4,55
4,Healthcare,Male,57,5,Satisfied,2,54
4,Retail,Non-binary,26,2,Neutral,2,54
1,Finance,Non-binary,41,4,Satisfied,2,26
4,Retail,Male,41,9,Satisfied,5,48
4,IT,Male,25,2,Satisfied,4,32
4,Consulting,Male,56,3,Unsatisfied,1,52
2,Education,Prefer not to say,43,3,Unsatisfied,2,57
3,Education,Female,39,5,Satisfied,3,36
1,Healthcare,Prefer not to say,39,1,Unsatisfied,1,54
2,IT,Prefer not to say,93,3,Neutral,5,40
2,Consulting,Non-binary,27,2,Neutral,4,49
1,Retail,Prefer not to say,47,2,Neutral,3,24
4,Manufacturing,Non-binary,29,3,Neutral,1,54
5,Consulting,Male,41,5,Satisfied,2,35
1,Healthcare,Non-binary,22,5,Neutral,1,55
5,Healthc.,Female,94,2,Satisfied,2,94
1,Healthcare,Male,44,4,Unsatisfied,3,43
3,Consulting,Prefer not to say,57,5,Neutral,9,25
3,Retail,Female,43,3,Neutral,1,42
2,Consulting,Female,43,1,Satisfied,2,24
1,Retail,Female,20,3,Unsatisfied,4,48
3,Retail,Male,55,3,Unsatisfied,1,47
4,IT,Prefer not to say,44,9,Unsatisfied,2,54
3,Retail,Non-binary,37,4,Neutral,3,82
2,Manufacturing,Prefer not to say,79,1,Unsatisfied,2,29
3,IT,Male,43,2,Neutral,5,37
3,Manufacturing,Male,57,5,Unsatisfied,2,39
2,Education,Female,51,5,Unsatisfied,4,46
3,Retail,Male,39,1,Unsatisfied,4,44
3,Heal.,Non-binary,56,1,Satisfied,3,36
1,Finance,Non-binary,53,3,Satisfied,1,91
1,IT,Female,33,1,Satisfied,3,95
5,Retail,Prefer not to say,47,3,Satisfied,5,60
3,IT,Prefer not to say,42,5,Unsatisfied,2,55
5,Education,Male,32,10,Satisfied,3,88
5,Finance,Prefer not to say,58,3,Neutral,10,30
1,Education,Female,46,1,Satisfied,3,26
3,Retail,Male,29,9,Satisfied,5,97
1,IT,Prefer not to say,39,4,Neutral,2,24
4,Healthcare,Male,24,5,Satisfied,2,59
3,Consulting,Male,30,5,Satisfied,3,60
2,Consulting,Female,76,3,Unsatisfied,1,32
4,Consulting,Prefer not to say,32,5,Unsatisfied,2,49
4,IT,Female,82,3,Neutral,5,36
5,Manufacturing,Female,24,2,Neutral,5,40
2,Finance,Non-binary,20,2,Satisfied,4,49
3,Consulting,Female,41,8,Satisfied,2,26
5,Finance,Prefer not to say,27,5,Neutral,5,49
2,Manufacturing,Prefer not to say,83,5,Satisfied,4,60
3,IT,Male,34,9,Unsatisfied,5,42
5,SGL_Consulting,Female,20,2,Satisfied,2,28
3,Finance,Prefer not to say,49,2,Unsatisfied,1,95
3,Finance,Prefer not to say,39,2,Unsatisfied,5,27
3,AncA_Healthcare,Female,56,3,Unsatisfied,4,44
4,Retail,Male,55,8,Satisfied,3,28
4,Retail,Male,59,4,Neutral,1,43
5,Manufacturing,Non-binary,33,3,Neutral,2,24
3,IT,Female,42,2,Satisfied,3,53
1,IT,Prefer not to say,22,2,Unsatisfied,5,41
1,IT,Male,99,1,Satisfied,2,59
3,Healthcare,Female,31,2,Neutral,4,45
3,Finance,Non-binary,40,5,Unsatisfied,3,26
4,Manufacturing,Prefer not to say,20,1,Satisfied,2,84
3,Consulting,Prefer not to say,28,4,Neutral,5,48
1,IT,Prefer not to say,35,1,Neutral,2,22
1,Manufacturing,Non-binary,60,3,Neutral,4,41
3,Retail,Non-binary,58,4,Unsatisfied,4,50
3,20_Finance,Female,28,3,Neutral,5,29
2,IT,Male,44,1,Unsatisfied,8,27
5,Consulting,Prefer not to say,50,4,Neutral,4,43
4,Finance,Non-binary,60,3,Neutral,5,84
5,Finance,Female,53,3,Unsatisfied,5,47
4,IT,Male,36,2,Satisfied,9,44
3,Retail,Prefer not to say,24,3,Neutral,4,44
3,Retail,Female,25,7,Unsatisfied,5,43
5,Consulting,Female,47,2,Neutral,3,77
4,Consulting,Prefer not to say,50,1,Neutral,4,40
5,IT,Non-binary,40,5,Neutral,4,34
1,Finance,Female,39,4,Neutral,2,59
4,Consulting,Female,54,3,Neutral,5,26
3,manufacture,Male,87,4,Neutral,3,40
2,Retail,Female,33,5,Neutral,8,47
5,Healthcare,Female,25,3,Neutral,5,54
2,IT,Male,33,9,Unsatisfied,2,89
3,Education,Non-binary,31,4,Unsatisfied,8,52
3,education department,Male,36,1,Satisfied,5,38
2,Consulting,Non-binary,35,5,Satisfied,2,34
2,Finance,Prefer not to say,24,2,Satisfied,4,39
3,nv2_Manufacturing,Non-binary,50,5,Unsatisfied,5,60
3,Retail,Female,30,5,Satisfied,3,93
3,Consulting,Prefer not to say,38,4,Satisfied,3,49
1,Consulting,Non-binary,40,5,Unsatisfied,3,45
3,Retail,Male,40,1,Unsatisfied,4,28
5,IT,Female,29,2,Neutral,1,34
1,Manufacturing,Non-binary,42,4,Satisfied,3,27
4,Consulting,Female,50,9,Neutral,2,35
4,Retail,Prefer not to say,23,3,Unsatisfied,2,47
3,Retail,Prefer not to say,31,1,Neutral,3,51
4,IT,Prefer not to say,44,5,Neutral,10,25
4,Retail,Female,27,2,Satisfied,1,36
3,Education,Female,59,3,Satisfied,4,47
3,IT,Male,36,1,Unsatisfied,4,60
4,Finance,Female,80,4,Unsatisfied,5,25
3,Retail,Female,32,1,Satisfied,1,26
4,Consulting,Male,23,3,Satisfied,3,87
3,Manufacturing,Non-binary,30,5,Satisfied,1,31
5,Manufacturing,Male,24,4,Unsatisfied,3,36
5,Education,Non-binary,37,4,Satisfied,5,23
1,Education,Male,41,2,Unsatisfied,8,56
2,Finance,Non-binary,42,9,Unsatisfied,3,36
3,Manufacturing,Female,83,5,Neutral,4,33
2,Manufacturing,Prefer not to say,54,5,Neutral,9,50
2,Education,Prefer not to say,29,3,Satisfied,5,97
1,Finance,Non-binary,58,2,Unsatisfied,7,55
5,Consulting,Non-binary,57,1,Neutral,1,34
3,Finance,Non-binary,39,4,Unsatisfied,3,84
1,Retail,Female,50,3,Neutral,1,51
4,Finance,Non-binary,42,5,Neutral,1,31
1,Manufacturing,Prefer not to say,35,4,Unsatisfied,8,22
5,Finance,Male,54,5,Satisfied,3,23
2,Consulting,Prefer not to say,36,3,Neutral,3,55
4,IT,Prefer not to say,26,5,Satisfied,3,52
4,Education,Prefer not to say,82,9,Neutral,2,47
1,jV_Finance,Male,23,3,Satisfied,5,46
2,Consulting,Non-binary,43,1,Neutral,2,28
3,Retail,Prefer not to say,44,5,Satisfied,4,57
5,Healthcare,Female,36,2,Satisfied,2,26
1,IT,Non-binary,59,4,Unsatisfied,3,79
2,Manufacturing,Non-binary,24,5,Unsatisfied,5,54
2,education department,Prefer not to say,40,8,Unsatisfied,2,25
1,Manufacturing,Prefer not to say,30,3,Unsatisfied,3,40
1,Retail,Non-binary,51,9,Neutral,4,56
5,Consulting,Female,37,4,Satisfied,2,32
4,Education,Non-binary,54,5,Unsatisfied,4,34
1,Education,Male,27,4,Neutral,5,57
1,Consulting,Prefer not to say,35,3,Satisfied,5,54
1,IT,Non-binary,97,5,Neutral,4,29
1,Education,Prefer not to say,22,3,Neutral,4,45
5,IT,Male,59,3,Unsatisfied,2,40
3,Manufact.,Non-binary,22,3,Neutral,5,42
2,Finance,Prefer not to say,43,2,Neutral,9,40
5,Healthcare,Female,57,5,Neutral,3,46
4,IT,Prefer not to say,56,5,Satisfied,4,26
5,Finance,Female,45,10,Neutral,2,94
3,IT,Male,40,3,Satisfied,9,38
1,Education,Prefer not to say,56,4,Neutral,5,57
1,Healthcare,Male,89,3,Unsatisfied,5,37
5,Education,Female,35,1,Satisfied,8,37
3,N0D_Finance,Prefer not to say,47,4,Neutral,4,93
1,Finance,Prefer not to say,59,4,Satisfied,3,39
2,Education,Female,27,3,Neutral,4,23
5,Manufacturing,Prefer not to say,22,5,Neutral,5,55
3,Manufacturing,Non-binary,23,4,Neutral,2,53
4,Manufacturing,Male,60,3,Neutral,5,37
5,IT,Non-binary,40,2,Unsatisfied,1,29
2,Education,Prefer not to say,60,8,Satisfied,1,51
3,Retail,Prefer not to say,41,1,Satisfied,1,75
4,Healthcare,Male,41,4,Satisfied,5,22
5,IT,Prefer not to say,26,5,Unsatisfied,4,51
1,Finance,Male,50,10,Satisfied,7,32
4,Finance,Male,26,3,Unsatisfied,4,24
5,Finance,Prefer not to say,29,5,Satisfied,2,39
1,He.,Non-binary,28,4,Satisfied,3,34
3,Manufacturing,Male,22,9,Neutral,3,47
5,Finance,Female,52,4,Unsatisfied,5,44
2,KS19_Finance,Non-binary,51,3,Neutral,5,35
2,Healthcare,Female,24,4,Neutral,2,41
2,Re.,Non-binary,41,4,Unsatisfied,1,34
4,Education,Male,37,3,Unsatisfied,5,57
4,Consulting,Prefer not to say,53,5,Unsatisfied,3,31
4,Healthcare,Prefer not to say,29,2,Neutral,3,41
2,Retail,Male,49,5,Satisfied,3,37
5,Consul.,Prefer not to say,76,3,Unsatisfied,8,38
4,Manufacturing,Prefer not to say,21,5,Neutral,9,53
3,Finance,Male,20,2,Satisfied,5,50
4,Manufacturing,Male,25,2,Neutral,2,30
5,Retail,Non-binary,24,3,Unsatisfied,3,50
4,Consulting,Male,51,4,Satisfied,5,55
3,Manufacturing,Male,90,3,Unsatisfied,7,35
3,Manufacturing,Prefer not to say,21,4,Unsatisfied,2,53
3,1T,Prefer not to say,34,3,Unsatisfied,8,49
4,Retail,Male,46,3,Satisfied,4,34
3,Consulting,Non-binary,32,3,Unsatisfied,4,44
3,Finance,Prefer not to say,25,2,Satisfied,1,58
1,Retail,Prefer not to say,51,1,Neutral,1,28
1,Consulting,Female,31,4,Neutral,10,46
5,manufacture,Female,41,5,Satisfied,3,50
3,Manufacturing,Male,54,5,Satisfied,2,39
1,Retail,Non-binary,85,1,Neutral,8,37
1,IT,Male,60,4,Neutral,9,60
5,Finance,Male,47,3,Neutral,3,58
3,Consulting,Non-binary,55,2,Unsatisfied,2,47
2,Retail,Female,37,3,Neutral,1,49
1,IT,Male,42,4,Unsatisfied,3,58
1,IT,Female,97,3,Neutral,2,47
4,Education,Non-binary,21,1,Neutral,4,30
5,H8s_Consulting,Female,38,8,Neutral,3,25
3,Manufacturing,Prefer not to say,20,8,Neutral,4,35
3,Retail,Non-binary,44,4,Satisfied,5,53
4,Consulting,Female,24,5,Neutral,5,32
1,Consulting,Male,48,10,Neutral,1,37
3,IT,Prefer not to say,60,5,Unsatisfied,5,40
3,IT,Male,26,3,Unsatisfied,2,40
3,IT,Female,79,3,Neutral,5,85
3,Healthcare,Male,41,3,Satisfied,1,47
2,IT,Male,27,5,Satisfied,3,57
4,Education,Non-binary,38,1,Unsatisfied,1,38
4,IT,Female,41,9,Satisfied,2,39
4,Finance,Female,20,2,Neutral,5,37
3,Retail,Female,22,2,Neutral,5,41
1,IT,Female,22,1,Neutral,5,34
5,Education,Prefer not to say,24,4,Neutral,2,28
3,IT,Prefer not to say,50,2,Neutral,2,30
3,Healthcare,Prefer not to say,25,5,Satisfied,3,37
5,Education,Non-binary,35,2,Satisfied,1,46
4,Manufact.,Male,40,2,Unsatisfied,7,38
4,Retail,Male,50,1,Unsatisfied,2,58
4,Manufacturing,Non-binary,51,3,Satisfied,5,37
2,Consulting,Non-binary,52,4,Satisfied,4,44
4,Healthcare,Male,42,9,Unsatisfied,1,45
1,Manufacturing,Non-binary,23,4,Unsatisfied,2,41
5,Education,Male,26,2,Unsatisfied,4,45
1,Co.,Female,44,5,Satisfied,1,43
4,Healthcare,Prefer not to say,44,4,Satisfied,2,37
5,Manufacturing,Non-binary,56,1,Unsatisfied,2,35
2,Finance,Non-binary,21,3,Neutral,5,37
5,Healthcare,Non-binary,29,4,Satisfied,4,52
3,Retail,Male,23,1,Neutral,1,47
5,Healthcare,Prefer not to say,34,8,Satisfied,5,44
1,Healthc.,Female,55,2,Unsatisfied,4,43
2,Education,Female,51,1,Satisfied,10,41
