Hours_Worked_Per_Week,Company_Support_for_Remote_Work,Age,Employee_ID,Social_Isolation_Rating,tenseness horizontal surface,Gender,Industry,Number_of_Virtual_Meetings,Work_Life_Balance_Rating
52,4,54,EMP1027,4,High,Male,IT,12,3
22,4,53,EMP1028,3,High,Non-binary,Healthcare,8,3
83,4,41,EMP10.,4,low-toned,Female,Finance,11,4
44,9,24,EMP1030,3,High,Prefer not to say,Finance,1,3
25,4,25,EMP1031,3,Medium,Prefer not to say,Finance,5,4
46,4,47,EMP1032,2,Medium,Female,manufacture,12,4
32,5,24,EMP1033,4,Medium,Non-binary,Education,6,2
75,3,60,EMP1034,5,High,Prefer not to say,Finance,7,2
82,3,59,EMP1035,2,High,Male,Retail,5,4
32,5,26,EMP1036,8,Low,Non-binary,Consulting,9,4
30,3,22,EMP1037,5,Low,Male,Education,13,5
59,2,28,EMP1038,2,High,Non-binary,Consulting,15,4
23,4,52,EMP1039,2,Medium,Male,Consulting,10,4
48,1,57,EMP1040,3,Medium,Male,IT.,7,3
37,5,57,EMP10.,5,Me.,Non-binary,Manufacturing,7,1
27,10,50,EMP1042,4,Medium,Female,Education,11,3
39,1,46,EMP1043,3,Low,Non-binary,Retail,15,4
31,3,37,EMP1044,3,Medium,Male,Healthcare,2,5
52,3,55,EMP1045,5,High,Non-binary,Retail,1,2
55,3,37,EMP1046,2,w_Low,Male,Healthcare,1,1
29,1,22,EMP1047,3,High,Prefer not to say,Healthcare,11,2
23,3,50,EMP1048,3,Medium,Male,Manufacturing,15,2
46,3,45,EMP1049,3,High,Non-binary,Manufacturing,10,4
47,5,36,EMP1050,5,Low,Non-binary,Retail,2,1
84,2,45,EMP1051,2,High,Non-binary,Education,2,2
46,2,40,EMP1052,3,High,Male,Manufacturing,5,2
41,4,29,EMPI053,4,Medium,Male,Y_IT,12,3
29,2,24,EMP1054,1,High,Female,IT,6,2
31,9,42,EMP1055,5,Low,Non-binary,IT,1,4
25,1,34,EMP1056,3,High,Female,Healthcare,4,1
60,5,40,EMP1057,8,High,Non-binary,Consulting,13,1
95,1,27,EMP1058,2,Medium,Non-binary,Retail,10,4
34,1,33,EMP1059,4,High,Female,Finance,14,4
35,4,24,EMP1060,2,high-topped,Male,Retail,13,5
20,2,36,EMP1061,1,Medium,Non-binary,Manufacturing,8,2
26,2,45,EMP1062,5,High,Female,IT,7,3
45,1,23,NR_EMP1063,1,Low,Non-binary,IT,11,1
60,10,59,EMP1064,1,low-toned,Prefer not to say,IT,2,3
41,5,54,Dgal_EMP1065,3,L.,Male,Finance,0,5
42,1,38,EMP1066,2,Low,Prefer not to say,Consulting,2,5
41,2,52,EMP1067,5,Medium,Male,Education,0,1
23,8,47,EMP1068,1,Low,Male,Manufacturing,2,1
82,2,44,EMP1069,4,Low,Female,Consulting,13,5
53,1,56,EMP1070,4,Medium,Female,Finance,6,4
33,5,27,EMP1071,3,High,Non-binary,hH1y_Finance,2,5
50,2,48,EMP1072,1,QPR_High,Male,Education,6,1
41,2,23,EMP1073,8,Low,Prefer not to say,Finance,15,2
48,2,50,EMP1074,2,Medium,Non-binary,Healthcare,2,3
58,3,50,EMP1075,2,Low,Non-binary,Manufacturing,6,1
33,2,56,EMP1076,4,Low,Non-binary,Consulting,5,3
49,2,28,EMP1077,4,High,Male,Educa.,15,3
60,5,51,EMP1078,3,Medium,Non-binary,Consulting,15,2
40,2,41,EMP1O79,2,High,Female,Education,15,4
60,10,23,EMP1080,1,L.,Female,IT,8,1
48,5,23,EMP1081,2,Medium,Non-binary,Manufacturing,5,2
50,5,60,EMP1082,8,Lo.,Female,Manufacturing,4,1
33,4,26,EMP1083,1,Medium,Male,Consulting,1,2
91,4,25,EMP1084,3,Low,Male,He.,15,3
89,1,33,EMP1085,4,High,Male,Consulting,5,4
31,2,45,EMP1086,2,V_Medium,Male,Retail,0,2
43,1,25,EMP1087,3,Low,Male,IT,12,4
40,5,24,EMP1088,3,Low,Female,Manufacturing,9,1
34,5,52,EMP1089,8,High,Prefer not to say,1T,13,4
40,4,30,EMP1090,2,High,Non-binary,Retail,4,1
33,1,44,EMP1091,3,High,Female,IT,2,4
20,4,40,EMP1092,1,Medium,Prefer not to say,Finance,13,4
34,3,31,EMP1093,5,Low,Prefer not to say,Education,4,3
25,3,23,EMP1094,5,Low,Non-binary,Education,14,4
35,5,49,EMP1095,5,Low,Prefer not to say,Education,11,1
45,5,23,EMP1096,4,Me.,Female,Healthcare,6,3
28,4,58,EMP1097,2,Low,Male,Finance,15,1
82,3,60,EMP1098,1,High,Prefer not to say,Consu.,12,3
23,3,54,EMP1099,2,Low,Non-binary,Manufacturing,13,2
57,3,27,EMP1100,1,High,Female,Manufacturing,15,3
28,5,60,EMP1101,2,High,Prefer not to say,Retail,14,5
50,8,51,EMP1102,2,Low,Female,Manufacturing,1,2
46,9,24,EM.,8,Medium,Female,iS_Retail,5,4
60,4,27,EMP1104,4,High,Female,Education,7,3
25,5,30,EMP1105,5,High,Non-binary,Re.,3,5
76,8,53,EMP1106,1,High,Male,Healthcare,13,3
50,4,47,EMP1107,2,Medium,Male,Education,2,4
25,4,31,EMP1108,4,Low,Male,Manufacturing,3,3
49,5,35,EMP1109,4,Low,Male,Manufacturing,15,4
23,8,26,EMP1110,5,High,Non-binary,Education,4,3
26,2,43,EMP1111,5,Medium,Female,Finance,11,1
46,2,46,EMP1112,8,Medium,Prefer not to say,Consulting,1,4
42,4,32,EMP1113,4,culture medium,Non-binary,IT,5,1
46,5,58,w_EMP1114,3,Medium,Female,Healthcare,15,3
98,2,35,EMP1115,3,Low,Male,Finance,10,5
43,4,48,EMP1116,4,Medium,Male,IT,5,2
33,2,42,EMP1117,4,Low,Non-binary,Education,7,4
87,1,36,EMP1118,2,High,Non-binary,Healthcare,14,1
30,5,60,EMP1119,3,Medium,Male,Education,8,2
29,3,24,EM.,5,Medium,Male,Healthcare,1,5
23,2,35,EMP1121,2,Low,Male,Finance,2,5
43,1,57,EMP1122,4,High,Female,Consulting,9,5
28,1,54,EMP1123,10,Medium,Male,Consulting,4,5
22,3,52,EMP1124,2,Low,Male,Retail,11,3
58,5,51,EMP1125,4,Medium,Female,Education,10,4
39,5,33,EMP1126,2,Low,Male,Consulting,10,1
49,5,53,EMP1127,2,Medium,Non-binary,Healthcare,8,5
91,1,39,EMP1128,9,Medium,Non-binary,Education,10,1
39,7,56,EMP1129,9,Medium,Non-binary,Healthcare,7,3
92,4,26,EMP1130,2,High,Prefer not to say,Healthcare,1,5
22,4,52,EMP1131,2,low-toned,Prefer not to say,IT,9,4
53,5,47,EMP1132,3,Hig.,Prefer not to say,Retail,8,3
26,3,59,EMP1133,8,High,Female,Retail,7,2
24,4,27,Q_EMP1134,4,High,Non-binary,Education,15,5
47,3,23,EMP1135,4,ezIP_High,Female,Retail,12,4
43,2,22,EMP1136,2,Medium,Prefer not to say,Consulting,14,5
56,4,22,EMP1137,1,Low,Non-binary,Education,3,5
80,1,28,EMP1138,1,Low,Female,Finance,0,4
35,8,36,EMP1139,1,Low,Prefer not to say,Retail,10,5
36,1,52,EMP1140,1,WPcg_Low,Non-binary,IT,11,5
25,3,57,EMP1141,2,High,Male,H.,9,2
54,3,59,S8e_EMP1142,1,High,Prefer not to say,IT,11,1
52,5,22,EMP1143,1,Medium,Prefer not to say,Consulting,6,3
23,1,49,EMP1144,1,High,Female,Retail,13,5
57,1,42,EMP1145,4,Low,Prefer not to say,Manufacturing,15,4
50,4,35,EMP1146,8,Medium,Male,Retail,10,3
59,9,60,EMP1147,4,High,Non-binary,Retail,8,1
30,2,22,EMP1148,4,Medium,Non-binary,Finance,8,3
20,9,30,EMP1149,1,Low,Male,Consulting,4,3
51,3,57,EMP1150,10,Low,Male,Education,1,5
82,5,50,EMP1151,1,High,Male,Healthcare,12,3
36,10,26,EMP1152,4,High,Non-binary,Healthcare,14,1
33,8,49,EMP1153,1,High,Non-binary,Consulting,4,5
58,2,48,EMP1154,4,Low,Prefer not to say,Consulting,12,3
27,4,48,EMP1155,4,High,Prefer not to say,Healthcare,7,2
45,2,58,EMP1156,3,Low,Male,IT,12,2
58,4,59,EMP1157,2,Low,Female,Manufacturing,5,1
37,4,28,EMP1158,1,Low,Non-binary,Finance,7,1
59,5,34,EMP1159,4,Medium,Prefer not to say,Retail,1,2
35,1,42,EMP.,2,Low,Male,IT,3,3
31,9,34,EMP1161,1,High,Prefer not to say,Retail,1,1
44,2,56,EMP1162,3,High,Male,Retail,2,3
42,5,28,EMP1163,3,Medium,Male,Healthcare,7,2
27,1,53,EMP1164,2,Medium,Prefer not to say,Consulting,1,1
39,2,60,EMP1165,5,High,Non-binary,Healthcare,7,1
45,2,31,EMP1166,3,Medium,Male,Healthcare,5,1
59,2,22,EMP1167,4,Medium,Male,Retail,7,3
42,4,31,EMP116B,3,Low,Non-binary,Manufacturing,15,2
55,3,40,EMP1169,4,65AV_High,Female,Retail,5,2
41,5,54,EMP1170,2,Low,Prefer not to say,IT,15,5
37,3,35,EMP1171,4,Medium,Non-binary,Consulting,9,3
30,2,48,EMP1172,5,Low,Non-binary,Manufacturing,6,3
58,4,38,EMP1173,5,Medium,Female,Education,8,3
36,3,56,EMP1174,4,Medium,Non-binary,u_Finance,7,2
41,1,24,EMP1175,4,Medium,Non-binary,Healthcare,8,2
82,1,30,EMP1176,9,Medium,Non-binary,Finance,5,1
31,9,28,EMP1177,5,High,Female,Hea.,11,4
89,4,27,EMP1178,2,High,Prefer not to say,Retail,7,5
33,3,23,EMPI179,4,High,Non-binary,IT,7,4
45,2,48,EMP1180,2,Low,Female,Retail,11,5
39,5,56,EMP1181,2,Medium,Non-binary,Healthcare,1,3
40,1,38,EMP1182,4,High,Prefer not to say,Finance,14,1
49,4,57,EMP1183,7,Low,Non-binary,IT,0,5
49,4,23,EMP1184,2,Medium,Female,Finance,15,3
53,1,36,EMP1185,1,Medium,Non-binary,IT,15,1
23,4,52,EMP1186,4,High,Non-binary,Education,5,5
34,3,30,EMP1187,1,S_High,Female,Finance,13,5
55,2,51,EMP1188,3,Low,Prefer not to say,IT,0,3
44,4,39,EMP1189,4,Medium,Female,Finance,2,4
54,2,46,EMP1190,2,Low,Prefer not to say,Finance,8,1
29,5,44,M8o_EMP1191,5,Medium,Female,Finance,9,5
32,10,22,EMP1192,4,Medium,Male,Consulting,2,1
45,4,38,EMP1193,4,Low,Non-binary,IT,3,5
59,5,26,EMP1I94,3,High,Non-binary,Educat.,0,5
35,5,48,EMP1195,4,High,Female,Retail,8,3
36,4,49,EMP1196,8,High,Prefer not to say,Retail,2,5
79,1,32,EMP1197,5,High,Male,manufacture,5,2
43,3,32,EMP1198,2,Medium,Prefer not to say,Healthcare,15,2
49,3,57,EMP1199,2,High,Prefer not to say,Fi.,13,2
52,8,35,EMP1Z00,2,Medium,Non-binary,Education,11,4
54,4,53,EMP1201,2,Low,Male,Consulting,15,1
33,8,41,EMP1202,3,Medium,Male,Finance,11,5
93,4,46,EMP1203,3,Medium,Male,Qp_Retail,9,1
45,3,30,EMP1204,1,Medium,Non-binary,Education,10,2
52,4,51,EMP1205,4,Low,Non-binary,Healthcare,4,4
94,1,48,EMP1206,9,High,Prefer not to say,Consulting,7,3
54,4,56,EMP1207,3,Low,Male,Consulting,14,2
38,2,60,EMP1208,7,Medium,Female,Finance,8,5
96,4,24,EMP1209,1,High,Female,IT,5,2
27,4,50,EMP1210,5,5N_High,Prefer not to say,IT,2,4
45,4,22,EMP1211,5,Medium,Female,Education,1,5
29,5,25,EMP1212,5,Medium,Prefer not to say,Manufact.,9,1
31,7,32,EMP1213,5,Medium,Prefer not to say,Finance,3,4
45,4,42,EMP1214,3,High,Female,Manufacturing,12,5
28,2,39,EMP1215,7,Low,Female,Education,3,2
86,5,28,EMP1216,4,Medium,Male,Manufacturing,2,1
56,4,50,EMP1217,4,Hig.,Male,Education,0,3
46,1,45,EMP1218,7,Low,Prefer not to say,Finance,1,2
29,3,54,EMP1219,10,V_Medium,Female,Consulting,0,2
51,3,57,EMP1220,2,Medium,Male,Education,0,1
35,1,33,EMP1221,4,Low,Non-binary,Retail,6,5
77,3,30,EMP1222,2,Low,Female,Finance,13,5
50,2,27,EMP1223,2,Medium,Female,Education,12,2
58,1,25,EMP1Z24,2,Low,Prefer not to say,Retail,14,1
45,5,49,EMP1225,1,Low,Prefer not to say,manufacture,6,3
54,3,45,EMP1226,4,High,Female,Retail,9,4
54,2,42,EMP1.,4,High,Male,IT,15,3
27,5,33,EMP1228,3,Medium,Female,Manufacturing,3,1
96,5,46,EMP1Z29,4,High,Male,Healthcare,2,5
98,3,43,EMP1230,2,0o_Medium,Prefer not to say,Retail,7,3
60,4,23,EMP1231,1,Low,Male,Healthcare,15,3
50,5,48,EMP1232,10,Medium,Non-binary,Finance,11,1
41,2,30,EMP1233,2,Low,Prefer not to say,IT,0,1
41,9,46,EMP1234,3,Low,Non-binary,Healthcare,5,1
56,3,59,EMP1235,4,Low,Prefer not to say,Consulting,1,2
23,4,36,EMP1236,5,Medium,Prefer not to say,Consult.,4,2
32,1,51,EMP1237,5,High,Non-binary,Manufacturing,7,4
22,4,26,EMP1238,5,High,Non-binary,Retail,13,3
48,7,41,EMP1239,8,High,Prefer not to say,Finance,12,5
22,4,29,EMP1240,1,High,Non-binary,IT,7,5
22,5,53,EMP1241,2,Low,Non-binary,Retail,12,1
60,2,30,EMP1242,3,High,Female,Finance,8,5
38,5,48,EMP1243,5,Medium,Female,Education,9,2
34,2,31,EMP1244,5,High,Non-binary,Retail,9,1
23,3,44,EMP1245,1,High,Prefer not to say,Manufacturing,14,4
52,1,42,EMP1246,4,H.,Female,IT,3,5
24,5,42,EMP1247,8,Medium,Non-binary,Ed.,14,2
38,1,52,EMP1248,4,Medium,Prefer not to say,Finance,10,4
46,3,49,EMP1Z49,5,High,Male,Healthcare,2,5
86,4,28,EMP1250,5,Low,Non-binary,Retail,3,3
31,4,53,EMP1251,3,D_Low,Female,Finance,7,2
32,4,49,EMP1252,3,High,Male,Healthcare,3,1
92,5,23,EMP1253,5,High,Non-binary,Retail,2,4
20,2,23,EMP1254,1,High,Male,IT,10,3
42,4,46,EMP1255,3,Low,Female,Consulting,5,2
36,3,48,EMPI256,1,High,Prefer not to say,3ui_Education,4,3
44,3,48,fiUq_EMP1257,2,High,Female,Finance,2,3
46,2,39,EMP1258,1,High,Female,Finance,13,5
55,4,59,EMP1259,5,low-toned,Non-binary,Manufacturing,9,3
40,4,25,EMP1260,3,Low,Prefer not to say,Finance,4,1
40,4,24,EMP1261,8,High,Non-binary,Finance,13,5
38,4,28,EMP1262,4,Medium,Female,Consulting,7,1
57,3,50,EMP1263,3,High,Male,Manufacturing,12,2
22,1,54,EMP1264,1,Lo.,Prefer not to say,Retail,10,4
45,2,33,EMP1265,4,High,Male,IT,8,4
41,4,30,EMP1266,3,High,Prefer not to say,Finance,11,5
49,2,40,EMP1267,2,Low,Prefer not to say,Healthcare,11,2
32,5,27,EMP1268,2,Low,Female,Consulting,15,4
25,3,50,EMP1269,5,Medium,Non-binary,Finance,9,1
24,5,23,yUl_EMP1270,3,High,Prefer not to say,Finance,14,3
49,5,27,E.,8,High,Male,Consulting,12,4
59,2,41,EMP1272,3,Medium,Male,education department,4,5
91,5,50,EMP1273,5,High,Prefer not to say,IT,8,2
34,4,32,EMP1274,4,Medium,Non-binary,Consulting,14,1
55,3,52,EMP1275,4,Low,Female,Healthcare,10,2
90,5,51,EMP1276,5,Low,Prefer not to say,Retail,9,4
39,5,26,EMP1277,1,culture medium,Male,Finance,0,3
43,2,59,EMP1278,2,Medium,Non-binary,Finance,6,1
57,5,52,EMP1279,5,Medium,Female,Education,6,1
32,7,55,EMP1280,3,Low,Non-binary,Healthcare,1,1
25,2,36,EMP1281,8,Medium,Prefer not to say,Finance,15,1
22,5,32,EMP1282,8,Low,Prefer not to say,Education,7,2
59,2,41,EMPI283,4,Low,Prefer not to say,Consulting,15,2
22,2,29,WqB_EMP1284,2,Low,Non-binary,Education,6,3
46,5,41,EMP1285,3,Medium,Male,Education,8,3
43,10,55,EMP1286,5,High,Female,Finance,0,1
48,4,38,M_EMP1287,1,High,Female,IT,6,4
39,3,59,EMP1288,3,High,Male,Healthcare,15,4
49,1,32,EMP1289,3,High,Prefer not to say,Consulting,15,1
38,2,28,EMP1290,5,Low,Prefer not to say,Healthcare,11,4
32,4,25,EMP1291,3,Low,Prefer not to say,Healthcare,10,2
47,2,45,NAE_EMP1292,2,High,Prefer not to say,R.,7,4
39,2,27,EMP1293,1,Low,Non-binary,Consulting,3,1
47,2,40,EMP1294,4,Medium,Male,Consulting,9,3
53,3,25,EMP1295,4,Low,Female,Healthcare,6,4
49,1,30,EMP1296,3,Lo.,Male,IT,2,2
47,2,45,EMP1297,3,High,Male,Manufacturing,9,2
25,4,48,EMP1298,4,Low,Prefer not to say,Retail,13,3
55,3,57,EMP1299,2,High,Female,Consulting,7,2
35,5,32,EMP1300,2,Low,Prefer not to say,Retail,4,3
57,5,31,EMP1301,4,High,Male,Consulting,2,4
58,3,56,EMP1302,5,Medium,Non-binary,Retail,13,4
44,5,55,EMP1303,4,Low,Non-binary,IT,12,1
28,1,56,EMP1304,2,Medium,Non-binary,F.,4,2
25,5,31,EMP1305,4,Low,Non-binary,Healthcare,6,1
58,2,55,EMP1306,1,Low,Female,Retail,15,3
44,9,48,F_EMP1307,4,High,Prefer not to say,SIGy_Finance,11,1
25,2,50,EMP1308,5,High,Male,IT,1,3
48,9,28,EMP1309,4,High,Non-binary,Healthcare,0,2
34,3,60,EMP1310,2,mm_Low,Male,Education,4,4
38,4,47,EMP1311,5,Medium,Male,Finance,1,1
37,8,23,EMP1312,3,Low,Prefer not to say,Healthcare,14,2
98,2,23,EMP1313,3,High,Male,Finance,5,4
22,4,35,EMP1314,10,Low,Prefer not to say,Finance,3,2
52,3,53,EMP1315,5,Low,Non-binary,Healthcare,3,5
28,5,49,EMP1316,2,L.,Female,zU_Finance,3,3
43,5,43,EMP1317,3,Medium,Non-binary,Manufacturing,3,1
41,2,41,EMP1318,2,Low,Male,manufacture,8,3
48,2,59,EMP1319,9,High,Non-binary,Finance,3,3
30,2,52,EMP1320,3,Low,Non-binary,Education,9,2
29,1,53,yTiE_EMP1321,8,Medium,Male,Consulting,1,1
31,3,42,EMP1322,4,High,Prefer not to say,Consulting,0,3
43,8,24,EMP1323,3,culture medium,Prefer not to say,Healthcare,4,5
80,4,37,EMP.,5,Medium,Non-binary,Manufacturing,2,2
58,4,58,EMP1325,5,RfHE_High,Non-binary,IT,9,2
53,3,33,EMP1326,4,High,Male,Consulting,7,4
36,2,24,EMP1327,5,culture medium,Prefer not to say,Retail,3,5
40,2,46,EMP1328,1,Medium,Male,Healthcare,9,2
60,4,27,EMP1329,8,High,Female,Retail,8,1
44,4,35,EMP1330,8,Medium,Non-binary,IT,2,5
33,4,24,EMP1331,5,Low,Non-binary,education department,15,4
50,2,60,EMP1332,3,xbT_Low,Female,Healthcare,7,5
83,1,59,EMP1333,5,High,Non-binary,Manufacturing,10,5
51,1,23,EMP1334,3,Medium,Prefer not to say,Healthcare,14,3
59,4,55,EMP1335,1,L.,Male,Finance,6,2
54,4,40,EMP1336,5,Medium,Female,Education,0,4
34,3,39,EMP1337,8,High,Non-binary,Consulting,8,3
37,5,51,EMP1338,2,Low,Male,Healthcare,3,2
86,10,40,EMP1339,1,High,Male,Finance,5,3
60,2,34,EMPI340,2,Medium,Female,Education,0,2
34,7,49,EMP1341,9,Low,Non-binary,Finance,5,2
25,1,24,EMP1342,4,H.,Non-binary,IT,0,3
41,3,48,EMP1343,2,Low,Non-binary,IT,13,3
54,2,40,EMP1344,2,High,Non-binary,IT,15,2
39,3,45,EMP1345,2,Low,Prefer not to say,IT,2,1
52,4,30,EMP1346,1,High,Female,Healthcare,15,2
54,2,25,EMP1347,8,High,Prefer not to say,IT,5,1
22,3,57,EMP1348,5,Medium,Non-binary,Healthcare,15,5
43,5,53,EMP1349,4,Low,Female,Consulting,11,4
77,1,56,EMP1350,4,Hig.,Male,Retail,14,5
94,3,26,EMP1351,2,Low,Prefer not to say,Manufacturing,0,1
32,4,58,EMP1352,2,Low,Male,Consulting,13,4
53,2,57,EMP1353,9,Medium,Non-binary,IT,9,3
32,5,44,EMP1354,3,High,Prefer not to say,Healthcare,15,3
35,5,32,EMP1355,4,High,Male,Education,1,5
44,3,42,EMP1356,3,High,Non-binary,Manufacturing,6,5
24,4,43,EMP13S7,5,High,Non-binary,O3a_Consulting,5,3
47,1,58,EMP.,4,High,Male,Manufacturing,14,5
32,1,27,EMP1359,3,Low,Female,Retail,1,5
32,4,25,EMP1360,4,Medium,Female,5_Finance,0,2
39,3,30,EMP1361,2,Low,Prefer not to say,Manufacturing,4,1
49,3,44,EMP1362,2,Medium,Female,Healthcare,11,2
59,9,28,EMP1363,3,High,Non-binary,Education,7,4
23,1,36,EMP1364,5,Medium,Male,1T,13,5
34,2,35,EMP1365,2,Medium,Prefer not to say,Retail,0,1
49,1,29,EMP1366,4,High,Prefer not to say,IT,4,4
39,3,56,EMP1367,5,Medium,Male,Finance,11,4
26,5,45,EMP1368,3,High,Male,Healthcare,13,3
50,1,47,EMP1369,5,Medium,Male,Consulting,7,1
46,1,41,EMP1370,9,sJL_Medium,Female,Finance,4,2
46,4,47,EMP1371,1,Medium,Prefer not to say,Consulting,6,5
22,2,32,EMP1372,3,Low,Male,IT,7,2
56,5,56,EMP1.,9,Low,Non-binary,Rvlz_IT,13,5
35,2,60,EMP1374,2,High,Prefer not to say,Education,8,5
54,4,42,EMP1375,3,Low,Non-binary,Manufacturing,15,3
51,3,36,EMP1376,4,Medium,Non-binary,Retail,5,5
45,5,40,EMP1377,1,Medium,Non-binary,Finance,4,4
42,5,32,EMP1.,10,High,Male,Education,4,2
90,9,32,EMP1.,3,Low,Female,Retail,9,3
21,3,49,EMP1380,8,High,Non-binary,Retail,5,1
41,4,42,EMP1381,1,Low,Non-binary,Healthcare,15,5
49,2,39,EMP1382,3,High,Prefer not to say,Healthcare,13,5
47,2,29,EMP1383,7,High,Non-binary,Finance,7,2
29,3,52,EMP1384,2,high-topped,Non-binary,Healthcare,8,2
20,8,25,EMP1385,5,Low,Prefer not to say,Manufacturing,5,3
20,3,58,EMP1386,2,Medium,Male,Consulting,5,5
25,1,59,EMP13.,4,Medium,Prefer not to say,IT,15,3
23,4,60,EMP1388,4,High,Male,Education,10,5
43,2,24,EMP1389,1,Low,Male,IT,9,5
39,4,49,EMP1390,1,5_High,Prefer not to say,Retail,0,1
98,4,25,EMP1391,1,Low,Female,Healthcare,11,3
20,2,56,EMP1392,5,Medium,Female,Education,15,1
58,3,34,P9u_EMP1393,5,High,Prefer not to say,Education,10,3
80,2,43,EM.,1,High,Prefer not to say,F.,0,5
32,1,56,EMP1395,1,Low,Non-binary,Manufacturing,5,4
45,2,46,EMP1396,4,High,Male,Finance,15,4
35,5,35,EMP.,3,Medium,Non-binary,Education,11,1
22,5,56,EMP1398,2,dsyi_High,Male,IT,15,5
21,2,27,EMP1399,4,low-toned,Male,IT,12,2
23,3,58,EMP1400,4,Low,Prefer not to say,IT,1,1
39,1,26,EMP1401,3,Medium,Female,Healthcare,0,5
43,5,31,EMP1402,1,Low,Non-binary,C.,3,3
32,5,53,EMP1403,9,Hig.,Female,Consulting,13,4
27,5,41,EMP1404,1,High,Prefer not to say,Finance,8,1
45,5,24,EMP1405,3,Low,Prefer not to say,Healthcare,3,4
26,3,46,EMP14O6,4,Low,Prefer not to say,Healthcare,12,3
28,1,45,EMP1407,2,High,Female,Finance,1,3
43,1,23,EMP1408,5,High,Non-binary,Finance,13,5
28,1,55,EMP1409,5,High,Non-binary,manufacture,12,2
37,3,38,EMP1410,4,High,Male,IT,0,3
21,4,34,EMPI411,4,High,Non-binary,IT,13,3
38,1,24,EMP1412,4,Lo.,Female,Education,1,5
28,4,46,EMP1413,1,High,Non-binary,Finance,5,3
85,10,36,EMP1414,3,O_Medium,Prefer not to say,Healthcare,0,2
25,3,30,EMP1415,7,High,Male,IT,4,4
44,2,34,EMP1416,5,Low,Male,Manufacturing,9,1
49,3,40,EMP1417,4,Low,Female,Education,15,5
60,4,37,EMP1418,5,High,Male,Consulting,0,5
96,4,37,EMP1419,3,Low,Non-binary,IT,3,2
41,2,33,EMP1420,4,Medium,Non-binary,IT,5,3
86,1,53,EMP1421,7,Lo.,Prefer not to say,IT,13,1
75,9,23,EMP1422,2,GNAr_Low,Female,Manufacturing,9,5
31,1,22,EMP1423,1,High,Female,Healthcare,10,4
51,4,45,EMP1424,1,Low,Non-binary,Manufacturing,3,4
36,3,25,EMP1425,5,L.,Female,Finance,9,4
59,1,44,EMP1426,9,High,Male,Finance,10,3
43,3,36,EMP1427,4,High,Female,C.,7,3
54,7,37,EMP1428,2,Low,Female,Consulting,13,3
83,4,45,EMP1429,2,Medium,Male,Healthcare,7,2
22,4,48,EMP1430,5,High,Female,Retail,2,5
34,5,42,EMP1431,5,Low,Non-binary,Finance,8,4
23,4,24,EMP1432,3,High,Non-binary,Manufacturing,5,3
27,1,58,z_EMP1433,7,High,Non-binary,Healthcare,3,4
45,3,50,EMP1434,1,Medium,Female,Finance,1,1
42,4,46,EMP1435,2,Low,Prefer not to say,Retail,7,2
40,5,56,EMP1436,4,4_High,Non-binary,Retail,7,4
46,3,27,EMP1437,5,Medium,Male,Education,6,4
37,2,38,EMP1438,2,Low,Female,Retail,6,2
36,2,56,EMP1439,3,Medium,Non-binary,Consulting,9,4
35,3,57,UM_EMP1440,5,Lo.,Female,1T,6,2
24,1,22,EMP1441,1,Medium,Prefer not to say,Retail,4,3
22,10,45,EMP1442,2,Medium,Prefer not to say,Manufacturing,1,3
37,5,33,EMP1443,10,Low,Male,Manufacturing,8,1
28,1,37,EMP1444,2,Low,Non-binary,manufacture,13,1
56,5,29,EMP1445,4,Hig.,Non-binary,IT,7,3
36,1,51,EMP1446,4,High,Female,Retail,9,3
35,1,43,EMP1447,9,Medium,Prefer not to say,LHR_Finance,1,2
41,5,49,EMP1448,3,Low,Non-binary,IT,10,1
40,4,28,EMP1449,4,Low,Female,Hea.,13,1
37,5,28,EMP1450,2,Medium,Female,IT,10,1
27,1,23,EMP1451,3,Medium,Prefer not to say,Fi.,12,3
51,2,32,EMP1452,5,Low,Male,IT,11,3
35,5,58,EMP1453,5,High,Male,Retail,4,1
46,1,57,EMP.,3,Medium,Male,Consulting,7,5
50,5,27,EMP1455,5,Low,Female,Consulting,7,2
26,3,40,EMP1456,1,Low,Non-binary,Retail,2,1
38,4,55,EMP1457,4,Medium,Male,Finance,14,5
57,5,54,EMP1458,2,Low,Male,Healthcare,2,4
26,2,54,EM.,2,Medium,Non-binary,Retail,15,4
41,4,26,EMP1460,2,Low,Non-binary,Finance,11,1
41,1,48,EMP1461,5,High,Male,Retail,5,4
25,2,32,EMP1462,4,Medium,Male,IT,9,4
56,3,52,EMP1463,1,Medium,Male,Consulting,10,4
43,3,57,EMP1464,2,Medium,Prefer not to say,Education,8,2
39,5,36,EMP1465,3,High,Female,Education,5,3
39,1,54,EMP1466,1,Medium,Prefer not to say,Healthcare,12,1
53,3,40,kd_EMP1467,5,High,Prefer not to say,IT,4,2
27,2,49,EMP1468,4,Medium,Non-binary,Consulting,6,2
47,9,24,EMP1469,8,Low,Prefer not to say,Retail,10,1
29,3,54,EMP1470,10,High,Non-binary,Manufacturing,14,4
41,5,35,EMP1471,2,Low,Male,Consulting,4,5
22,5,55,EMP1472,1,Low,Non-binary,Healthcare,7,1
90,2,36,EMP1473,2,Medium,Female,Healthcare,13,5
44,4,43,EMP1474,3,Medium,Male,Healt.,14,1
57,5,25,EMP1475,5,Low,Prefer not to say,Consulting,14,3
