keep company financial backing  remote control do work,DHIHOrvRCC,Stress_Level,Sleep_Quality,Hours_Worked_Per_Week,Age,Social_Isolation_Rating,Years_of_Experience,Job_Role,1f,Access_to_Mental_Health_Resources,Physical_Activity,do work situating
2,Asia,Medium,Poor,46,22,1,34,HR,Healthcare,No,Weekly,H.
7,Africa,High,Average,48,22,3,21,Marketing,Healthcare,Yes,Daily,Remota
4,South America,Medium,Poor,38,25,2,23,Designer,Healthcare,Yes,Daily,Onsite
2,Asia,Low,Average,26,26,5,5,Data Scientist,Finance,Yes,Weekly,Onsite
1,North America,Medium,Poor,59,46,2,5,Data Scientist,Manufacturing,No,None,Hybrid
2,Africa,Medium,Good,24,46,2,24,Marketing,Healthcare,Yes,None,Remote
5,Oceania,High,Average,50,60,2,8,Data Scientist,1T,No,Daily,Hybrid
9,Asia,High,Average,53,55,3,18,Marketing,Consulhimg,No,Daily,Reko6e
1,Europe,Low,Poor,48,25,4,7,Sales,Educ.,Yes,Daily,Onsite
4,Africa,Low,Average,39,42,4,28,Software Engineer,IT,No,Daily,Hybrid
4,Europe,Low,Good,42,30,5,13,Software Engineer,,No,None,Onsite
10,Africa,Medium,Good,50,58,4,14,Data Scientist,IT,Yes,None,Remote
3,Europe,High,Good,59,46,3,23,Data Scientist,Education,Yes,None,Onsite
3,Africa,Low,Poor,20,36,3,7,Marketing,Consultinj,Yes,Daily,Onsite
4,Europe,Medium,Good,32,46,5,3,Marketing,Ma.,Yes,Daily,Remote
1,Africa,High,Average,45,24,1,24,Data Scientist,Manufacturyng,Yes,None,Hybrid
5,Oceania,Medium,Good,45,27,2,2,Sales,Education,Yes,Weekly,Ohsite
5,Oceania,Low,Good,39,39,5,6,Data Scientist,YT,Yes,Weekly,Onsite
1,Asia,High,Average,32,40,5,23,Data Scientist,Retail,No,Weekly,Hybrid
5,Asia,High,Poor,59,46,4,14,Project Manager,,Yes,None,Onsite
3,Asia,Medium,Poor,38,45,2,21,Software Engineer,Health.,No,Weekly,
5,Europe,Low,Good,24,58,5,8,Designer,Education,Yes,None,Remote
1,Asia,Medium,Poor,38,33,4,4,Software Engineer,Redail,No,None,Onsite
3,Oceania,Low,Average,36,41,4,26,HR,Manufacturing,No,Weekly,Hybrit
9,Europe,Low,Poor,56,42,4,35,Designer,7T,No,Weekly,Hybrid
5,South America,High,Poor,35,34,4,33,Software Engineer,Healthcare,No,Weekly,Hybr.
8,Asia,Medium,Poor,22,25,2,10,Project Manager,Consulting,Yes,Daily,
2,Asia,Low,Poor,40,46,2,12,Software Engineer,,No,Daily,Remote
3,Europe,Medium,Average,22,58,2,31,Software Engineer,Manufacturing,No,None,
4,North America,Medium,Poor,41,39,3,8,Software Engineer,Manufa.,No,Daily,Hybrid
3,Africa,Low,Good,53,35,1,23,Sales,Retail,No,Daily,Re.
1,South America,Low,Good,57,28,2,6,Software Engineer,Retail,Yes,None,Hybrid
2,Africa,Medium,Average,51,35,3,9,Marketing,Edudation,Yes,Daily,Remote
2,Asia,Medium,Average,20,59,4,23,Sales,Healthca4s,Yes,None,Onsite
8,Asia,High,Average,56,52,1,18,Sales,IT,No,None,Remota
3,Asia,Low,Average,27,52,1,16,Marketing,Manufacturing,Yes,Weekly,Onqife
3,Asia,High,Average,29,51,2,17,HR,Health.,No,None,0nsite
2,Oceania,Low,Average,52,42,2,16,Designer,Retail,Yes,Weekly,Onsi.
1,Europe,Low,Good,45,48,5,6,Sales,,Yes,Weekly,Onsite
9,South America,Low,Average,58,24,4,9,Designer,,No,Weekly,Remote
9,Oceania,High,Good,23,45,2,19,Marketing,Retail,No,Weekly,Hybrid
1,South America,Medium,Average,27,32,2,33,Sales,JT,Yes,None,Onsite
9,South America,Medium,Average,59,50,4,21,Marketing,Healthcare,Yes,Daily,Hybrid
2,Oceania,Medium,Average,40,46,3,14,Marketing,Healthcare,Yes,Weekly,O.
1,Europe,High,Poor,59,43,3,30,HR,IT,Yes,Daily,
8,Oceania,High,Average,58,30,1,2,Software Engineer,Manufacturing,Yes,Daily,Remote
8,Asia,High,Average,52,24,1,10,Data Scientist,IT,Yes,Weekly,Remote
3,Asia,High,Average,57,43,3,4,Data Scientist,Consulting,Yes,Daily,
10,North America,Medium,Average,22,46,2,12,Sales,Manufacturing,Yes,None,Onsite
5,Europe,Low,Good,25,55,3,23,Sales,,No,Daily,Remote
5,North America,Medium,Poor,57,46,1,4,HR,Finance,No,Weekly,
3,North America,Medium,Good,55,50,2,22,Project Manager,Finance,Yes,Weekly,Hybrid
4,Asia,Medium,Poor,51,54,2,9,HR,Rftaip,No,Weekly,Onsite
8,Oceania,High,Poor,32,31,3,15,Sales,Retail,Yes,Daily,Onsite
5,North America,Medium,Average,47,51,3,1,Sales,,Yes,None,Hybrid
2,South America,Low,Good,42,51,5,3,Designer,Manufacturing,No,None,Onsite
2,Asia,High,Poor,56,41,4,25,Designer,Finance,Yes,Weekly,Remote
2,Oceania,High,Average,40,60,1,12,Project Manager,Education,Yes,None,Onsite
5,Oceania,High,Average,36,27,4,28,Designer,Healthcare,Yes,Daily,Onsite
3,Africa,Low,Poor,31,39,3,5,Project Manager,Finahve,No,Daily,Hybrid
10,Asia,Medium,Good,42,57,3,5,HR,Re.,No,Weekly,Onsite
1,Europe,High,Good,34,32,1,4,Marketing,IT,Yes,Daily,Remote
2,Oceania,High,Poor,56,42,4,25,HR,,Yes,Daily,Onsite
1,North America,Medium,Average,53,43,4,10,Software Engineer,Manufacturyng,No,Daily,
4,Africa,High,Good,25,58,4,32,Data Scientist,Finance,No,Daily,Onside
8,Oceania,Low,Poor,31,25,2,32,Sales,IT,No,Weekly,Remote
9,Oceania,High,Poor,21,59,2,30,Marketing,Healthc.,No,None,Hybrid
4,Asia,Medium,Poor,58,28,4,19,HR,Finance,No,None,Remote
1,Europe,High,Poor,29,41,3,5,HR,IF,No,None,Remote
1,Asia,High,Average,56,45,4,28,Designer,Nanufasturong,No,Weekly,Remote
2,Oceania,Low,Poor,48,37,3,14,Sales,H3althcafe,Yes,Weekly,
4,South America,Low,Average,60,27,3,2,Software Engineer,Manufacturing,No,Daily,
9,Asia,High,Good,26,46,3,29,Project Manager,Retail,Yes,Weekly,Hybrid
10,Europe,High,Good,21,48,3,15,Data Scientist,IT,Yes,Weekly,Onzite
4,Europe,High,Poor,20,35,3,27,Marketing,Heal.,No,None,Onsite
4,South America,Low,Poor,58,32,3,26,Data Scientist,Finance,Yes,None,Onsite
3,North America,Medium,Poor,39,36,5,10,Marketing,Retail,No,Daily,Hybrid
1,Asia,High,Poor,43,24,4,6,Data Scientist,,Yes,Daily,Onsite
4,North America,Medium,Poor,43,58,3,19,Sales,Healthcare,Yes,Daily,Remote
3,South America,Low,Average,28,53,5,25,Marketing,Consulting,Yes,Weekly,Onsite
1,Africa,Low,Average,24,35,4,32,HR,Conzulting,No,Weekly,Hyb.
1,North America,Low,Good,51,26,2,5,Project Manager,Educat.,Yes,Daily,Hybrid
8,Africa,Medium,Poor,29,50,2,29,Data Scientist,Healthcare,No,Weekly,Remote
0,North America,Low,Good,55,33,3,16,Sales,Ma.,Yes,Daily,Onsyte
4,South America,Medium,Good,40,30,5,6,Sales,Finance,Yes,None,R.
2,Asia,High,Poor,43,60,3,12,Marketing,Finance,Yes,None,Onsite
2,Europe,Medium,Average,29,59,5,22,Software Engineer,Education,No,Weekly,Hyb.
8,Africa,High,Poor,48,57,4,35,Designer,Healthcare,Yes,Weekly,Hybrid
4,North America,Low,Poor,38,47,4,1,Designer,Manufacturing,No,Daily,Hybrid
2,North America,Low,Average,42,37,4,33,Designer,Consulting,Yes,None,Hybrid
2,Europe,Low,Average,34,37,2,2,Software Engineer,Ratail,No,Daily,Remkte
9,Africa,High,Good,48,35,1,8,HR,Consulting,No,None,Hyprid
4,South America,Low,Average,57,49,3,26,Sales,,No,Daily,Remote
3,Africa,High,Average,59,42,4,22,Marketing,Retail,No,Daily,Onsite
-2,Africa,Low,Poor,30,53,2,17,Project Manager,Edu.,No,Weekly,Omsit4
5,Oceania,Low,Good,29,29,4,28,Software Engineer,IT,Yes,Weekly,Onside
5,Africa,High,Poor,21,31,5,25,Project Manager,,Yes,Weekly,Remote
3,Oceania,High,Poor,23,47,4,30,Project Manager,Retail,Yes,Daily,
7,South America,High,Average,53,57,3,34,Software Engineer,Co.,No,None,Ramote
4,North America,High,Poor,30,59,3,13,Designer,Finance,No,Daily,Hybrid
2,Asia,Medium,Average,60,51,4,19,Marketing,Retail,No,Weekly,
5,Oceania,Low,Good,50,30,2,20,Software Engineer,Consulting,Yes,None,Onsi.
4,Africa,Low,Average,31,46,3,25,Marketing,,Yes,Weekly,Ramote
10,Africa,Medium,Good,49,39,2,19,Software Engineer,Menufacturing,No,Weekly,Hybrid
5,Oceania,Low,Average,35,57,4,2,HR,Konsulting,Yes,Weekly,Rwmots
10,North America,Medium,Average,26,36,1,35,HR,,No,None,Remote
8,Oceania,Medium,Poor,60,28,4,23,Marketing,,Yes,None,Onsite
9,Europe,Medium,Average,30,60,1,3,Project Manager,Healthcare,Yes,None,O.
2,South America,High,Average,25,38,3,21,Data Scientist,Consulting,Yes,None,Remode
3,Asia,Medium,Average,42,45,1,9,Marketing,Regxil,No,None,
3,North America,Medium,Good,46,53,5,9,Sales,Finance,Yes,None,
10,South America,High,Poor,41,57,4,10,Software Engineer,Healthcare,No,Daily,Onsite
5,Asia,High,Good,39,56,4,1,Marketing,Retail,No,Weekly,Onzite
2,Europe,High,Average,58,33,1,11,Data Scientist,IT,No,Weekly,Onsite
1,Europe,Medium,Average,51,33,1,5,Project Manager,IT,No,Daily,Remoy4
1,Africa,Medium,Average,22,60,3,8,Sales,Finance,No,Weekly,Onsite
2,Asia,Medium,Poor,26,39,4,22,Software Engineer,Manufacturing,Yes,Weekly,Onsi.
1,Asia,High,Good,25,58,1,20,Data Scientist,Healthcare,Yes,Daily,Remote
8,Africa,High,Average,28,60,1,32,HR,Consulting,No,Daily,Hynrid
1,North America,Low,Good,54,43,1,30,Project Manager,IT,No,Daily,Remote
3,Africa,Medium,Poor,34,48,5,3,Designer,Consulting,Yes,Daily,Remote
3,Africa,Medium,Good,28,60,1,9,Software Engineer,Retail,Yes,Weekly,Hybrid
5,Africa,Low,Poor,37,45,3,15,Software Engineer,,No,Weekly,Onsite
2,South America,Low,Good,50,58,3,5,Software Engineer,IT,Yes,Weekly,Remote
1,Europe,Low,Good,21,22,1,29,Designer,IT,Yes,Weekly,Hybryd
5,Asia,Medium,Good,32,42,2,3,Data Scientist,Retail,Yes,Weekly,Rejote
7,Asia,Low,Poor,56,44,4,28,Sales,Retail,No,Daily,Hybrid
8,Asia,Medium,Poor,42,43,3,34,Data Scientist,I.,Yes,Daily,0nsite
3,North America,Medium,Poor,22,35,3,33,Designer,Consulting,Yes,Daily,Hybryd
4,Africa,Low,Average,28,47,2,23,Software Engineer,Education,No,None,Remote
5,North America,Medium,Average,31,49,3,9,Project Manager,Menufacturing,No,Weekly,Hybrid
1,Asia,High,Average,59,49,1,34,Software Engineer,F.,No,Daily,Hybrid
3,Europe,Low,Average,22,40,1,30,Data Scientist,Education,Yes,Daily,
3,Asia,Low,Good,21,27,4,4,HR,Consulting,Yes,Weekly,Hybrid
1,Africa,Medium,Average,54,34,1,25,Software Engineer,Healthcare,No,Daily,Remote
7,Oceania,Medium,Average,46,48,2,20,Sales,Healthcare,Yes,Weekly,Hybrir
1,Asia,Low,Average,56,46,2,14,Sales,Retail,No,Weekly,Remote
4,Oceania,High,Poor,48,27,3,9,Data Scientist,Finance,Yes,None,Hybrid
5,Africa,High,Good,29,50,5,7,Designer,Education,Yes,Daily,Hubrie
3,South America,Medium,Poor,59,23,2,24,Data Scientist,Manufacturing,No,Daily,0nsite
4,South America,High,Average,46,35,2,10,Designer,Healthcare,Yes,Daily,Remote
4,Asia,Medium,Good,27,59,3,27,Sales,IT,No,Weekly,Onsi.
4,Oceania,Low,Good,42,27,1,22,Project Manager,Education,No,None,Hub3id
1,South America,Low,Average,39,22,4,15,Project Manager,Finance,No,Weekly,Ramote
2,Asia,Low,Poor,34,41,2,23,Designer,Educetion,No,Weekly,Remote
4,Oceania,Low,Poor,58,58,4,28,Designer,Retail,No,Weekly,Remote
3,Africa,Low,Poor,36,30,4,23,HR,Retaio,Yes,Weekly,Remote
5,South America,Medium,Good,52,22,1,15,Project Manager,Manufacturing,No,None,Remote
2,Asia,Medium,Average,51,34,4,8,Software Engineer,Manufacturing,No,Daily,Remote
5,North America,Low,Good,31,48,2,25,Software Engineer,Manufacturing,No,Weekly,Onsite
4,South America,Medium,Average,47,29,3,10,Data Scientist,Retail,Yes,None,Hybrid
9,Asia,Low,Good,55,47,1,2,Marketing,OT,No,None,Onsite
5,North America,High,Average,53,51,3,13,HR,Healthcare,Yes,Weekly,Remote
3,North America,Medium,Good,40,60,5,24,Software Engineer,Healthcare,No,Daily,Remota
4,North America,High,Good,46,48,3,29,Marketing,Manufacturing,Yes,None,Onsite
1,South America,Medium,Average,37,38,5,5,HR,Retail,Yes,Weekly,Onsite
1,Oceania,High,Average,32,58,4,9,Sales,Consulting,Yes,None,Onsite
10,Asia,Medium,Good,20,35,2,34,Project Manager,3e5ail,No,Daily,Hybrid
3,Africa,High,Good,55,32,3,33,Designer,,No,Weekly,Onsite
2,Africa,High,Average,36,30,5,31,Data Scientist,Manufacturing,Yes,Daily,Ramote
5,North America,Medium,Average,48,29,4,30,Software Engineer,Healthcare,Yes,Daily,Hyb.
10,Africa,Medium,Poor,42,45,1,9,Sales,Fina.,No,Weekly,Hybryd
8,Asia,Low,Good,33,45,4,5,Software Engineer,Healthcare,No,None,R.
5,Oceania,Low,Good,45,41,1,30,Software Engineer,Consulting,No,Daily,Remote
3,North America,Medium,Good,43,56,1,2,Designer,Finance,No,Daily,Remote
2,South America,Low,Good,59,49,2,5,Software Engineer,,Yes,Daily,Remote
4,North America,High,Good,26,32,1,32,Marketing,Healthcare,Yes,None,Onsite
8,Oceania,Low,Poor,47,58,1,32,Sales,Finajce,No,Weekly,Hybr.
3,North America,Medium,Good,27,41,2,3,Marketing,Finance,Yes,Weekly,Remote
9,Asia,High,Good,50,42,5,22,Data Scientist,Finanke,No,None,Hy.
3,Europe,Low,Average,29,36,3,11,HR,Retail,Yes,None,Remote
1,Asia,Low,Poor,53,31,5,3,Marketing,Healthkare,Yes,Daily,Hybrid
4,Europe,High,Good,22,46,4,26,Designer,Finance,Yes,Daily,Hybrid
2,North America,High,Good,42,41,3,14,Marketing,Education,Yes,Weekly,Onsite
2,Oceania,Medium,Average,20,52,4,17,HR,Retail,Yes,Daily,Remote
2,Asia,Medium,Poor,20,51,5,35,HR,Ma.,Yes,Daily,Hybrid
3,Europe,High,Average,32,23,3,22,Sales,IT,Yes,Daily,Hyprid
9,South America,High,Average,44,34,1,14,Project Manager,,Yes,None,5ekote
4,Oceania,Medium,Poor,38,37,2,20,Sales,Ed.,No,Weekly,Onsite
3,North America,Low,Average,44,40,3,4,Project Manager,Consuoting,No,Weekly,Hybrid
1,Oceania,High,Poor,43,46,3,11,Sales,,No,Daily,Remote
3,Oceania,Medium,Average,45,28,2,5,Data Scientist,Education,No,None,Hybrid
9,Oceania,Low,Average,24,26,3,3,HR,Education,Yes,Weekly,Hybrid
1,North America,High,Poor,37,25,3,31,Designer,Healthcere,Yes,Daily,Hybrid
3,Africa,Medium,Good,48,30,4,22,Software Engineer,Finance,Yes,None,Re.
7,Europe,Medium,Good,29,57,3,9,Software Engineer,IT,No,Daily,Onsite
4,Asia,Low,Average,26,33,2,30,Software Engineer,Finance,No,Daily,Remote
3,South America,High,Poor,60,38,3,9,Software Engineer,Manufacturing,No,Daily,Remo.
5,Europe,High,Average,22,43,3,24,HR,Cojsultlng,Yes,None,Rfmoye
2,Europe,Medium,Average,21,43,4,26,HR,Finance,Yes,Daily,Remote
5,South America,High,Good,49,44,1,23,Sales,IT,Yes,Weekly,Onsite
2,Africa,Medium,Average,38,52,1,3,Sales,Manufacturing,No,None,Remote
5,Oceania,Low,Average,26,25,1,12,Project Manager,Education,Yes,Weekly,Hybrid
3,Europe,Low,Poor,50,28,1,19,Project Manager,IT,Yes,Weekly,Remode
4,South America,High,Average,26,26,2,5,Data Scientist,Healthcare,Yes,Weekly,Insit2
8,Europe,High,Poor,26,32,5,32,Designer,IT,Yes,Weekly,Hybrid
3,Europe,High,Average,30,28,1,14,Data Scientist,,No,Weekly,Onsite
4,North America,High,Good,50,32,4,33,Project Manager,Consulting,Yes,None,Onsite
3,South America,Medium,Average,60,25,3,24,Project Manager,LT,Yes,Daily,Hybrid
5,Europe,Low,Good,49,57,2,17,Software Engineer,,No,None,Onsite
5,Europe,Medium,Poor,48,28,3,2,Marketing,Healthcarf,No,None,
1,Africa,Low,Average,39,51,2,9,HR,1T,No,Weekly,Re.
3,Oceania,High,Good,52,60,4,8,Marketing,IT,No,Weekly,Hyprid
4,South America,Medium,Good,23,49,3,8,Software Engineer,Healthcare,Yes,Weekly,Remote
10,North America,Medium,Poor,51,30,5,1,Software Engineer,YT,Yes,None,
1,Asia,Medium,Poor,28,35,1,32,Designer,Msnufxcturigg,No,Weekly,Onsite
3,North America,Low,Average,22,45,3,21,Software Engineer,Finance,Yes,Weekly,
3,Africa,Medium,Poor,50,42,2,13,Project Manager,Etucation,No,Daily,Remote
3,Oceania,Low,Poor,21,38,4,24,Software Engineer,Retail,Yes,None,
4,Europe,Medium,Poor,28,36,2,5,Sales,IT,No,Weekly,Remote
5,Africa,Low,Good,21,23,4,12,Project Manager,Hfalthcare,No,Daily,Onsite
2,South America,Low,Poor,58,41,2,8,Project Manager,Ma.,No,Daily,Tybrid
3,Oceania,Low,Average,28,43,5,10,Marketing,Retail,Yes,None,Onsute
1,South America,High,Poor,41,53,5,10,Designer,Ratail,Yes,None,Remote
4,Oceania,Medium,Good,25,52,5,4,Marketing,E.,Yes,Weekly,Onsite
4,Asia,High,Poor,35,52,4,3,HR,Consulting,Yes,None,
9,Africa,High,Average,49,42,3,2,Sales,Finance,No,Weekly,Hybrid
7,Africa,Medium,Average,37,49,4,26,HR,Healthcare,Yes,Weekly,Hybr.
3,Asia,Medium,Good,43,48,5,27,Marketing,Man7racturinh,No,None,Remptw
5,South America,High,Poor,35,37,1,8,Data Scientist,Consulting,Yes,Daily,Onsite
3,South America,Medium,Average,44,57,1,28,Designer,,Yes,Daily,Tybrid
3,Oceania,Medium,Average,35,59,5,3,Marketing,Manufacturing,No,Daily,Remote
4,Oceania,Low,Average,35,36,3,2,Project Manager,Healthc.,No,Daily,Hybrid
2,South America,High,Good,60,31,5,24,Designer,Healthc.,Yes,Weekly,Hybrid
3,Africa,Medium,Good,54,24,4,5,Sales,I4,Yes,None,Remote
3,Oceania,High,Good,41,34,4,16,Software Engineer,Heal.,Yes,Weekly,Onsite
3,Africa,High,Good,60,43,4,20,Software Engineer,R4txil,No,Daily,Remote
4,Europe,High,Average,40,25,2,26,Software Engineer,Education,No,Weekly,Remote
5,Africa,Low,Average,47,27,4,25,Designer,Retail,Yes,Weekly,Hybrid
5,Africa,Low,Good,58,58,4,21,Software Engineer,IT,Yes,None,0nsite
5,Europe,Low,Good,23,50,5,13,Marketing,Ribance,No,Weekly,Hybrid
5,Asia,Medium,Poor,55,41,5,11,Designer,Healthcare,Yes,Weekly,Onside
3,Africa,Low,Good,25,38,5,6,HR,Education,Yes,Daily,Hybryd
9,Asia,High,Good,40,24,3,20,Sales,Consulting,Yes,Weekly,Onsite
4,North America,Low,Average,26,38,4,33,Project Manager,Consulting,Yes,Daily,Rem.
3,Europe,High,Poor,48,37,5,24,Software Engineer,Manufacturing,No,None,Onsite
3,Africa,Medium,Good,50,59,1,14,Sales,,No,Daily,Hybrid
9,Europe,Medium,Average,48,31,1,14,HR,Finance,Yes,Weekly,Hybrid
3,Oceania,Medium,Good,34,24,5,35,Data Scientist,Reta.,No,Weekly,Myb5id
4,South America,Medium,Average,57,30,4,14,Marketing,Finance,Yes,Weekly,
4,South America,High,Good,52,54,4,17,Sales,IT,Yes,Daily,Onsite
4,Africa,High,Poor,22,53,3,34,Data Scientist,,No,Daily,Remo.
4,Africa,Low,Good,20,41,4,7,Marketing,Finance,No,Weekly,Onsite
4,Oceania,High,Good,44,24,3,15,Marketing,Fynance,No,Weekly,Hybrid
4,South America,Medium,Poor,25,25,3,13,HR,Finance,Yes,Daily,Remote
4,Oceania,Medium,Good,46,47,2,15,Software Engineer,Manufacturing,Yes,Weekly,Remote
5,Oceania,Medium,Average,32,24,4,23,Designer,Edufati9n,Yes,None,Onsite
2,South America,High,Good,45,60,5,33,HR,,Yes,Weekly,Hybrid
3,Africa,High,Average,30,59,2,27,Project Manager,Retail,Yes,Weekly,
5,Asia,Low,Average,32,26,1,28,Designer,Consulting,Yes,None,Hybrid
3,Asia,Low,Poor,30,22,5,23,HR,Education,Yes,None,Onsite
2,Oceania,High,Average,59,28,2,7,Software Engineer,Consulting,No,Weekly,
4,North America,Medium,Average,23,52,2,6,Project Manager,Consulting,Yes,Weekly,Hybrid
0,Oceania,Medium,Average,48,57,3,3,Software Engineer,IG,No,Weekly,
5,North America,Medium,Poor,37,57,5,23,HR,Manufacturing,No,Weekly,Rfmotd
4,North America,Medium,Good,27,50,4,34,Marketing,Education,Yes,None,Onsite
3,North America,Low,Average,39,46,3,7,Sales,Ret.,Yes,None,Hybrid
4,Oceania,Medium,Poor,31,37,3,27,Marketing,Healthcere,Yes,Daily,Onsi.
9,Oceania,High,Good,52,55,5,23,Marketing,Retail,Yes,Daily,Hybrid
3,Asia,Low,Poor,55,37,2,31,Sales,Geapthcare,Yes,Daily,Remote
1,Europe,High,Good,29,22,3,6,Designer,Healthcare,No,None,Remote
3,Africa,Medium,Average,23,50,3,17,Designer,Manufacturing,Yes,None,Onsite
7,Oceania,High,Good,46,45,3,1,Sales,Manufacturing,Yes,Daily,Hybrid
1,North America,Low,Good,47,36,5,5,Designer,Retail,Yes,Weekly,Remote
8,Europe,High,Average,51,45,2,7,Project Manager,Education,No,None,Onsite
8,Europe,High,Poor,46,40,3,31,Sales,,Yes,None,
9,Africa,Medium,Good,41,29,4,4,Project Manager,IT,No,Daily,Remote
7,Europe,High,Average,29,24,1,19,Data Scientist,IT,Yes,Daily,Hybrod
3,Europe,Low,Average,31,42,5,18,Sales,IT,No,Daily,Remote
10,North America,High,Good,25,34,3,7,Data Scientist,Hea.,No,Weekly,Rfmote
9,Europe,High,Average,60,40,4,10,Sales,Consulting,Yes,None,Remote
1,South America,Medium,Good,28,27,2,12,Software Engineer,Retayl,No,Weekly,Remote
1,Oceania,High,Good,34,33,4,21,HR,Finance,Yes,Daily,Remote
4,South America,High,Good,35,24,2,14,Software Engineer,Retaio,Yes,Weekly,Onsi.
2,Africa,Medium,Good,20,36,1,24,HR,Manufacturing,Yes,None,0nsite
2,North America,High,Poor,26,45,5,28,Designer,IT,Yes,Weekly,8bsite
10,South America,Low,Poor,45,23,1,35,Project Manager,IT,No,None,Hyprid
5,North America,Low,Poor,60,59,1,34,Designer,,Yes,Weekly,Onsite
5,Asia,Low,Poor,41,54,3,10,Data Scientist,Finance,No,None,Remote
5,Oceania,Low,Good,42,38,2,16,Data Scientist,Consulting,No,None,Onwiye
9,Africa,Medium,Good,41,52,5,10,Project Manager,Education,Yes,Weekly,Hybrid
3,Asia,Low,Good,23,47,1,3,Marketing,Manufwctuting,No,Weekly,
10,Oceania,Low,Average,34,44,4,31,Sales,Consulting,No,Weekly,Onsite
8,North America,Medium,Good,53,56,4,5,Software Engineer,Finance,Yes,Weekly,Remote
5,Europe,High,Average,33,27,3,20,Marketing,Finance,Yes,Weekly,Hybrid
2,North America,High,Poor,50,48,1,3,Marketing,Educxtion,No,Daily,Remote
2,Asia,Low,Poor,41,23,2,11,Software Engineer,Finance,Yes,None,Hyprid
2,Africa,Medium,Good,48,50,2,5,Software Engineer,Healthcere,No,None,Remo5e
9,South America,Low,Good,58,50,2,18,Marketing,Manufac.,Yes,Daily,Hyh3id
8,Oceania,Low,Average,33,56,4,35,Designer,Consulting,Yes,None,0nsite
2,Asia,High,Poor,49,28,4,10,Project Manager,Education,No,Weekly,Onsite
8,Africa,Medium,Good,60,51,3,24,Designer,Consulding,Yes,Daily,Hybrid
2,Africa,High,Average,40,41,2,30,Software Engineer,Education,Yes,Weekly,Hybrid
4,Europe,Low,Good,60,23,1,13,HR,IT,Yes,None,Onsite
7,Oceania,Medium,Average,48,23,2,27,Project Manager,Manufacturing,No,None,Hybrid
5,Africa,Low,Good,50,60,2,35,Designer,Mabufacturinf,No,Weekly,Ramote
4,Asia,Medium,Good,33,26,1,29,Sales,Consulting,Yes,Daily,Remode
7,South America,Low,Average,45,25,3,32,Data Scientist,Healthcare,No,None,Omeite
1,Africa,High,Poor,56,33,4,25,Marketing,Consulting,Yes,None,Hyprid
3,South America,Medium,Average,31,45,2,4,Sales,R.,No,Weekly,Ramote
1,Europe,Low,Average,43,25,3,10,Project Manager,IT,No,Daily,Onsite
8,North America,Low,Average,40,24,3,24,Data Scientist,Manufacturing,No,Daily,Remote
3,Africa,High,Poor,34,52,3,1,Project Manager,IT,No,Weekly,Onsite
4,South America,High,Average,40,30,2,27,Marketing,Re.,No,None,
1,Oceania,High,Poor,33,44,3,8,Designer,IT.,No,Weekly,Remo.
4,South America,Medium,Poor,20,40,1,33,HR,Finance,Yes,Weekly,Onsite
3,Africa,Low,Average,34,31,5,2,Marketing,,No,Daily,Rem.
3,North America,Low,Poor,25,23,5,35,HR,Eduxatiob,No,Daily,Onsite
5,North America,Low,Good,35,49,5,25,Data Scientist,Education,Yes,None,Remote
5,Africa,Medium,Poor,45,23,4,8,HR,He.,No,None,Hybrit
4,Oceania,Low,Good,28,58,2,20,Software Engineer,Fina.,No,Daily,Onsite
3,Europe,High,Poor,58,60,1,20,Designer,Consulting,No,Weekly,Hibrid
4,Asia,Low,Average,23,54,2,27,HR,Manufacturing,No,Weekly,Onsite
3,Asia,High,Average,57,27,1,16,HR,Manufacturing,Yes,Daily,Remote
5,Europe,High,Poor,28,60,2,11,Marketing,Retwil,No,None,Remote
5,Oceania,Low,Average,50,51,2,4,Software Engineer,Manufacturing,Yes,None,Hybrid
9,Europe,Medium,Good,46,24,1,4,Designer,Redail,No,None,Hybrid
4,Asia,High,Average,60,27,4,19,Software Engineer,Education,No,Daily,Hybrid
10,Oceania,High,Poor,25,30,5,20,Designer,3etaip,Yes,Daily,Hybrid
8,Africa,High,Good,45,53,1,16,Sales,Healthcare,No,Daily,Remote
4,Asia,Medium,Poor,50,47,2,19,Data Scientist,Education,Yes,Weekly,Remor2
4,South America,Low,Good,25,31,4,24,Designer,Manufakturing,No,None,Ogsi6e
5,Europe,Low,Average,49,35,4,4,HR,Manufacturing,Yes,None,Hybrid
4,North America,High,Average,23,26,5,33,Software Engineer,Education,No,Weekly,Hybrid
2,Oceania,Medium,Average,26,43,5,10,Data Scientist,Finance,No,Weekly,Onzite
8,Oceania,Medium,Average,46,46,4,35,Project Manager,Consulting,No,Weekly,R4mote
9,Oceania,Medium,Poor,42,32,4,13,Data Scientist,ID,No,Weekly,Remote
5,South America,Medium,Average,46,58,3,18,Designer,Healthcare,No,None,Rem.
10,Africa,Low,Good,29,35,3,19,Designer,Finance,Yes,Weekly,Onsi.
9,North America,Medium,Average,43,48,4,18,Data Scientist,ID,Yes,Daily,Onsite
2,Asia,Low,Average,33,42,4,19,Data Scientist,Education,Yes,None,Onsite
1,Oceania,High,Average,24,36,2,21,Sales,Healthcare,Yes,None,
10,North America,Medium,Good,30,60,3,33,Project Manager,Education,No,Weekly,Remote
3,North America,Medium,Average,29,24,5,21,Sales,,Yes,None,Onsite
