Ag,xR_Gender,Wei(k,He(m,MB,Avg_BPM,w_Resting_BPM,Session_Duration (hours),Calories_Burned,t87_Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),N_Experience_Level,BMI
53,Male,115.4,1.92,193,161,50,1.36,1084.0,Yoga,28.3,2.2,4,2,31.3
27,Male,71.2,1.97,181,151,73,0.74,615.0,HIIT,25.18,3.6,3,1,18.35
54,Female,78.1,1.6,182,145,73,1.1,718.0,Yoga,32.9,2.4,4,2,30.51
26,Female,54.2,1.65,172,120,58,1.07,642.0,Cardio,34.9,1.9,4,2,19.91
41,Male,81.6,1.87,174,128,59,1.87,1185.0,HIIT,10.2,3.5,5,3,23.33
49,Female,49.2,1.54,179,153,63,1.28,881.0,HIIT,30.7,2.1,3,2,20.75
30,Female,60.6,1.55,172,120,52,1.3,780.0,Strength,32.9,1.6,3,2,25.22
40,Male,52.1,1.72,198,128,70,0.87,612.0,HIIT,21.3,3.3,2,1,20.1
42,Female,46.6,1.77,184,139,63,0.61,382.0,Yoga,28.1,2.6,2,1,14.87
58,Female,44.2,1.57,183,155,59,1.08,753.0,HIIT,31.9,2.3,3,1,17.93
47,Male,89.1,1.68,168,159,65,1.44,1133.0,Yoga,24.0,3.6,3,2,26.32
34,Male,65.9,1.62,199,164,56,0.81,731.0,Yoga,28.8,2.2,2,1,25.11
37,Female,55.6,1.57,182,123,53,0.97,597.0,Cardio,29.2,2.4,2,1,22.56
42,Male,70.87,1.98,172,128,69,1.37,868.0,Yoga,24.0,3.0,2,1,16.25
39,Male,86.2,1.82,191,160,72,1.96,1725.0,Strength,10.2,3.5,5,3,26.02
30,Female,59.2,1.63,174,141,74,1.85,1304.0,Strength,17.8,2.7,4,3,22.28
24,Female,68.1,1.55,164,131,65,1.41,831.0,HIIT,26.1,2.2,4,2,28.35
29,Female,60.0,1.65,181,161,69,0.85,684.0,Strength,28.1,1.9,2,1,22.86
58,Female,74.8,1.69,175,162,53,1.28,933.0,Strength,32.8,2.3,4,2,26.19
36,Male,90.3,1.65,185,158,71,1.38,1199.0,Cardio,23.7,3.4,4,2,33.17
26,Male,73.7,1.65,177,125,72,0.93,639.0,Yoga,26.7,2.2,2,1,26.75
45,Male,78.3,1.96,166,167,62,1.29,1066.0,Cardio,29.0,2.2,3,1,20.38
31,,48.2,1.65,163,166,60,1.1,913.0,Cardio,26.1,2.5,2,1,17.7
48,Female,56.8,1.51,185,126,52,1.37,777.0,HIIT,32.1,2.1,4,1,24.91
36,Male,112.4,1.63,164,135,58,1.02,757.0,,25.0,3.4,4,2,42.3
52,Female,59.0,1.67,175,124,55,0.9,558.0,Cardio,33.7,1.9,3,1,21.16
22,Male,98.4,1.88,194,135,71,0.52,386.0,Cardio,21.3,2.2,3,1,27.84
52,Male,66.5,1.6,185,120,70,1.34,796.0,HIIT,26.8,2.1,5,2,25.98
42,Male,106.5,1.81,177,156,60,1.29,1107.0,Cardio,25.7,2.5,4,2,32.51
38,Male,88.4,1.79,182,138,55,1.74,1321.0,Yoga,12.5,3.5,5,3,27.59
40,Female,58.1,1.56,174,136,63,0.61,415.0,Yoga,34.4,2.2,2,1,23.87
33,Female,74.2,1.76,192,145,66,1.15,834.0,Strength,25.9,1.5,4,3,23.95
59,Male,78.0,1.92,180,127,53,1.01,453.0,Cardio,28.1,2.7,3,1,21.16
56,Male,89.0,1.68,176,152,65,1.77,1332.0,Yoga,10.5,3.5,5,2,31.53
31,Female,42.7,1.76,182,121,65,1.46,883.0,Strength,34.9,2.2,3,1,13.78
48,Male,83.9,1.82,176,149,70,0.61,1401.0,HIIT,13.1,3.5,5,3,25.33
52,Female,65.9,1.52,188,139,53,1.27,794.0,Cardio,27.0,2.3,3,2,28.52
40,Male,76.41,1.92,179,137,68,1.13,851.0,Yoga,22.4,3.7,4,2,20.86
29,Female,54.9,1.52,172,123,72,1.48,910.0,Strength,27.0,2.0,3,2,23.76
34,,68.4,1.5,192,132,61,1.37,904.0,Cardio,33.7,2.1,4,2,30.4
30,Male,113.4,1.91,177,137,54,1.27,957.0,,22.2,3.7,3,1,31.08
57,Female,61.9,1.52,168,158,51,0.92,592.0,HIIT,28.4,2.6,3,1,26.79
44,Female,72.1,1.66,176,152,55,1.4,958.0,Strength,27.0,2.5,2,1,26.16
46,Male,59.4,1.68,165,147,62,1.16,844.0,Strength,20.2,2.5,4,2,21.05
55,Female,76.3,1.73,196,158,65,1.08,768.0,Yoga,32.0,2.6,3,1,25.49
57,Male,95.8,1.86,193,129,65,1.37,972.0,HIIT,21.2,3.2,3,1,27.69
39,Male,85.3,1.89,163,140,61,0.77,593.0,Strength,27.6,3.6,2,1,23.88
24,Female,52.6,1.57,169,166,60,1.29,1071.0,HIIT,31.9,2.4,2,1,21.34
21,Female,76.3,1.65,180,154,62,1.14,878.0,Strength,31.8,1.7,3,2,28.03
49,Male,61.0,1.63,170,124,74,0.54,331.0,Cardio,20.0,3.4,3,1,22.96
23,Female,67.8,1.61,186,160,66,1.34,1072.0,HIIT,34.3,1.8,2,1,26.16
48,Male,114.9,1.86,175,141,56,1.86,949.0,Cardio,21.1,3.6,3,1,33.21
44,Male,124.8,1.85,175,126,69,0.76,842.0,Strength,24.4,3.5,4,2,36.46
27,Female,53.0,1.58,166,142,62,1.26,895.0,Cardio,34.5,1.8,4,2,21.23
56,Female,50.6,1.7,175,146,58,1.29,848.0,Strength,33.1,2.3,2,1,17.51
20,Female,72.6,1.73,199,160,68,1.27,1016.0,HIIT,34.8,2.5,3,2,24.26
30,Female,70.4,1.56,171,125,62,1.03,644.0,Yoga,34.3,2.4,4,2,28.93
45,Male,52.5,1.88,194,153,72,1.08,818.0,Strength,29.0,2.9,4,2,14.85
47,Male,76.3,1.77,180,128,57,1.36,957.0,HIIT,27.3,2.1,4,2,24.35
25,Female,55.3,1.76,176,152,67,1.56,1186.0,Yoga,15.5,2.7,4,3,17.85
27,Female,49.7,1.67,191,125,72,1.38,776.0,Strength,31.9,2.3,4,2,17.82
56,Male,48.3,1.87,165,156,51,0.68,525.0,HIIT,29.8,3.46,3,1,13.81
20,Male,120.5,1.73,186,153,73,1.01,850.0,Cardio,29.3,3.4,3,2,40.26
45,Female,73.0,1.75,184,148,50,1.14,759.0,Y.,26.6,2.0,4,2,23.84
50,Female,42.7,1.53,168,155,65,1.41,983.0,Strength,28.4,2.4,4,2,18.24
55,Male,129.9,1.73,187,155,60,0.69,529.0,Yoga,21.7,3.1,3,1,43.4
38,Male,46.9,1.74,198,167,64,1.03,946.0,Strength,20.0,2.6,4,2,15.49
36,Male,109.8,1.62,193,122,68,0.84,651.0,HIIT,24.4,3.5,3,1,41.84
35,Male,85.6,1.85,185,135,55,1.78,1322.0,Strength,14.5,3.5,5,3,25.01
31,Female,63.2,1.8,166,157,57,0.59,463.0,Cardio,25.5,2.6,2,1,19.51
32,Female,62.6,1.63,190,161,58,1.67,1344.0,,15.0,2.7,5,3,23.56
48,Male,87.1,1.76,183,156,67,1.81,1398.0,Strength,11.6,2.19,5,3,28.12
54,Male,82.3,1.84,190,148,66,1.73,1408.0,HIIT,13.3,3.5,5,3,24.31
20,F.,64.3,1.78,188,137,61,1.71,1171.0,Cardio,18.7,2.7,4,3,20.29
40,Male,63.0,2.0,176,161,71,1.42,1257.0,Strength,26.8,2.9,4,2,15.75
28,Male,128.4,1.86,173,158,71,1.06,921.0,Strength,23.6,3.3,4,2,37.11
29,Male,74.21,1.89,199,137,54,1.75,1319.0,Cardio,13.3,3.5,5,3,24.64
27,Female,63.7,1.52,195,120,60,1.19,714.0,Strength,25.4,2.1,4,2,27.57
49,Male,83.7,1.87,183,158,53,2,1009.0,HIIT,23.9,2.3,4,2,23.94
25,Female,77.7,1.55,184,120,52,0.55,330.0,Yoga,33.0,1.7,2,1,32.34
55,Male,87.5,1.88,191,133,73,1.19,789.0,Yoga,27.2,2.6,4,2,24.76
45,Female,65.4,1.68,196,129,66,0.76,441.0,HIIT,35.0,2.6,3,1,23.17
25,Female,47.2,1.71,185,142,56,0.89,632.0,Cardio,26.0,2.5,2,1,16.14
45,Female,58.2,1.7,168,160,53,0.95,684.0,Yoga,26.8,2.0,3,1,20.14
43,Female,55.2,1.73,167,165,62,1.67,1240.0,Cardio,16.6,2.7,5,3,18.44
25,Female,64.4,1.66,179,167,61,1.12,935.0,HIIT,27.1,1.8,3,1,22.02
45,Female,73.5,1.74,181,152,50,1.18,807.0,Cardio,30.0,2.3,3,2,24.28
54,Male,86.5,1.76,189,158,68,1.48,1158.0,Yoga,29.0,3.4,3,2,27.92
58,,46.1,1.67,187,129,70,1.28,743.0,Yoga,25.3,1.8,4,2,16.53
44,Male,94.6,1.84,170,120,67,1.26,748.0,H.,26.0,3.1,4,2,27.94
34,Female,54.2,1.52,190,132,60,1.13,746.0,Cardio,31.0,2.2,3,1,23.46
26,Male,47.7,1.77,198,120,69,1.15,759.0,,24.8,2.7,3,2,15.23
37,Male,88.8,1.95,189,135,66,1.58,1173.0,Yoga,10.3,1.91,5,3,23.35
35,Female,78.9,1.64,196,164,70,1.28,1050.0,Cardio,25.3,2.6,4,2,29.34
42,Male,73.5,1.63,188,136,68,0.52,350.0,Strength,26.1,3.2,3,1,27.66
19,Male,127.9,1.93,185,168,70,1.27,1173.0,Strength,21.8,3.0,4,2,34.34
27,Male,88.5,1.98,161,153,53,1.8,1515.0,Cardio,11.1,3.5,4,3,22.57
22,Female,42.8,1.56,174,133,66,1.47,978.0,Strength,32.2,2.6,3,2,17.59
18,Female,50.7,1.53,181,147,52,1.29,948.0,Yoga,33.0,2.1,3,2,21.66
35,Male,59.2,1.66,197,161,59,1.3,1151.0,S.,21.3,3.2,3,1,21.48
49,Female,78.9,1.73,191,151,64,1.38,938.0,Cardio,34.0,2.3,2,1,26.36
28,Female,78.7,1.63,185,154,59,1.1,847.0,Strength,31.7,1.8,3,2,29.62
38,Mal.,68.7,1.92,170,150,73,1.31,1081.0,Cardio,29.0,3.0,4,2,18.64
43,Female,53.1,1.59,187,136,72,1.36,502.0,Strength,29.5,2.5,2,1,21.0
42,Male,64.8,1.65,161,166,67,1.1,904.0,Cardio,24.4,2.8,3,2,23.8
39,Female,50.3,1.61,167,128,50,1.17,749.0,HIIT,32.8,2.5,2,1,19.41
44,Male,102.3,1.63,188,129,52,1.34,856.0,Yoga,20.9,2.6,4,2,38.5
30,Male,62.9,1.92,170,127,70,1.13,789.0,HIIT,25.2,3.6,2,1,17.06
51,Female,74.6,1.55,177,132,50,0.71,422.0,Cardio,33.3,2.1,2,1,31.05
58,Male,52.0,1.79,184,169,52,1.12,937.0,HIIT,29.6,3.0,3,1,16.23
18,Female,72.2,1.54,194,125,54,0.97,606.0,Strength,27.1,1.7,2,1,30.44
23,Male,81.4,1.85,194,150,74,1.6,1320.0,Cardio,12.4,3.5,4,3,23.78
45,Female,50.9,1.95,170,136,50,1.45,887.0,Strength,30.1,2.3,2,1,18.7
34,Male,52.0,1.78,171,130,53,1.38,987.0,Strength,22.4,2.7,4,2,16.41
22,Male,71.0,1.93,162,139,53,1.42,1086.0,Yoga,28.39,2.9,4,2,19.06
39,Male,80.6,1.77,198,167,66,1.51,1248.0,Cardio,12.9,3.5,4,3,25.73
55,Female,63.0,1.7,187,121,67,1.32,719.0,Strength,34.9,2.61,3,1,21.8
40,Female,52.6,1.66,198,120,68,1.27,762.0,Strength,32.9,1.7,3,2,19.09
54,Male,116.4,2.0,184,123,65,1.13,688.0,Yoga,26.2,3.1,3,1,29.1
36,Female,59.3,1.75,178,128,58,0.99,634.0,Strength,34.5,2.3,3,1,19.36
34,Male,75.7,1.94,181,141,72,1.18,915.0,Strength,29.3,2.76,4,2,20.11
38,Female,56.3,1.6,180,142,53,1.21,859.0,Yoga,28.8,1.9,4,2,21.99
30,Female,62.7,1.67,164,162,70,1.02,826.0,HIIT,26.1,2.6,4,1,22.48
18,Male,64.5,1.82,187,149,73,1.2,983.0,HIIT,23.4,2.4,3,2,19.47
57,Male,76.6,1.86,173,141,55,1.14,796.0,Yoga,25.4,2.8,4,2,22.14
28,Male,60.7,1.71,168,169,60,1.14,954.0,Strength,22.1,2.5,2,1,20.76
45,Female,57.2,1.55,194,121,58,1.67,909.0,Cardio,18.4,2.7,5,3,23.81
25,Male,123.8,1.58,180,121,72,1.13,752.0,HIIT,25.6,2.6,3,1,31.26
43,Male,76.8,1.92,169,161,50,1.24,988.0,Yoga,21.1,2.5,3,1,20.83
42,Female,54.7,1.53,167,135,69,1.11,674.0,HIIT,26.8,2.0,4,2,23.37
20,Male,92.3,1.94,176,131,71,1.14,821.0,HIIT,24.3,2.1,3,2,24.52
29,Female,71.8,1.55,190,120,68,1.12,720.0,Cardio,26.3,2.4,4,2,29.89
18,Female,66.9,1.57,193,127,63,1.07,679.0,Cardio,30.7,2.2,3,2,27.14
22,Female,48.7,1.76,165,167,66,1.37,1144.0,HIIT,29.0,2.2,4,2,15.72
34,Male,72.03,1.85,162,134,66,1.18,870.0,HIIT,23.4,3.6,4,2,32.84
40,Female,70.0,1.55,171,163,74,0.85,693.0,Yoga,31.1,1.5,3,1,29.14
54,Female,43.8,1.65,171,129,61,1.29,749.0,Yoga,26.6,1.7,3,2,16.09
38,Male,123.3,1.62,161,165,65,1.34,1216.0,Yoga,21.2,2.3,4,1,46.98
31,Female,57.9,1.56,161,124,50,1.8,1116.0,Yoga,15.1,2.7,5,3,23.79
28,Male,84.8,1.79,182,138,55,1.35,1025.0,Cardio,28.8,2.3,4,2,26.47
56,Male,109.6,1.66,188,166,72,1.29,1060.0,Cardio,20.5,3.1,3,2,39.77
51,Female,63.9,1.8,191,130,72,1.07,626.0,,33.7,2.7,4,2,19.72
55,F.,70.8,1.62,166,162,68,0.54,394.0,Strength,26.0,1.8,3,1,26.98
51,Male,115.3,1.67,189,139,55,1.38,950.0,Yoga,24.4,3.33,3,2,41.34
47,Male,73.9,1.8,173,140,50,1.36,942.0,Strength,28.3,3.7,3,1,22.81
32,Male,97.3,1.96,189,137,50,1.36,1025.0,HIIT,24.9,3.4,3,2,25.33
55,Male,75.36,1.78,165,153,65,1.44,1091.0,Cardio,23.5,3.4,3,1,28.97
41,Male,47.1,1.78,165,149,65,1.26,929.0,Yoga,24.7,2.4,3,1,14.87
32,Male,65.2,1.62,186,128,63,0.58,408.0,Cardio,25.3,3.4,2,1,24.84
47,Male,87.2,1.64,177,165,50,2.0,1634.0,Strength,15.0,3.5,4,3,32.42
34,Female,46.9,1.61,196,161,69,1.02,821.0,Strength,22.97,1.7,3,2,18.09
46,Female,62.5,1.54,197,125,73,1.61,906.0,Strength,18.1,2.7,2,3,26.35
34,Female,64.3,1.62,174,145,62,1.76,1276.0,Yoga,19.8,2.7,5,3,24.5
41,Male,74.3,1.61,160,136,51,1.06,714.0,Strength,24.8,3.5,4,2,28.66
22,Female,78.5,1.7,177,138,66,1.36,938.0,Strength,31.9,2.1,4,2,27.16
51,Female,80.83,1.58,171,168,68,0.97,733.0,Cardio,31.1,2.0,2,1,30.96
23,Female,64.5,1.7,187,125,72,0.51,319.0,Cardio,30.4,1.7,2,1,22.32
40,Male,68.9,1.9,180,149,51,1.16,951.0,Cardio,25.0,2.4,4,2,17.4
33,Male,45.9,1.89,193,144,50,1.45,1148.0,C.,21.6,2.9,3,2,12.85
41,Female,68.2,1.69,170,159,73,0.75,537.0,HIIT,28.4,2.5,3,1,23.88
25,Female,57.7,1.58,188,145,52,1.36,986.0,Yoga,25.7,2.2,3,2,23.11
21,,74.2,1.93,187,141,56,1.32,1024.0,HIIT,28.3,2.5,3,2,19.92
57,Female,64.4,1.56,177,144,73,1.52,985.0,Cardio,17.8,2.97,5,3,26.46
21,Female,54.9,1.78,173,138,71,0.55,380.0,HIIT,31.7,2.0,2,1,17.33
42,Male,50.3,1.64,177,150,62,0.63,468.0,Strength,27.0,2.4,3,1,18.7
49,Male,57.8,1.99,183,161,67,0.93,741.0,HIIT,23.69,3.1,3,1,14.6
46,Female,66.5,1.73,163,142,56,1.11,709.0,Yoga,34.7,2.0,3,1,22.22
36,Male,121.9,1.93,195,132,54,1.4,1082.0,Cardio,21.8,3.4,3,2,32.73
38,Female,70.3,1.52,164,144,66,1.19,857.0,Yoga,25.6,2.0,4,2,30.43
22,Female,40.3,1.56,192,121,57,1.2,877.0,HIIT,30.8,2.1,4,2,16.56
35,Male,101.4,1.66,193,121,64,0.84,559.0,HIIT,23.6,2.9,2,1,32.74
45,Male,79.2,1.95,189,135,69,1.47,982.0,Yoga,22.8,2.8,3,2,20.83
39,Male,71.7,1.88,198,143,51,0.55,445.0,Cardio,23.7,2.2,2,1,20.29
18,Female,57.2,1.75,193,160,74,1.29,1032.0,Cardio,33.5,2.4,3,2,18.68
22,Female,44.8,1.72,166,132,54,1.48,977.0,Cardio,28.6,1.8,4,2,15.14
58,Male,90.2,1.72,199,150,55,0.9,668.0,HIIT,28.3,2.1,2,1,30.49
51,Male,59.0,1.65,198,153,53,1.22,924.0,HIIT,20.7,2.3,3,2,21.67
44,Male,86.6,1.97,197,167,50,1.66,1372.0,Yoga,11.7,3.5,5,3,22.31
26,Female,72.8,1.67,163,121,50,1.37,829.0,Strength,35.0,1.9,2,1,26.1
43,Female,66.3,1.77,177,157,57,1.31,1046.0,HIIT,32.7,1.7,4,2,21.16
39,Female,56.0,1.6,184,151,69,0.89,672.0,Yog.,32.6,2.0,2,1,21.87
47,Male,45.9,1.93,166,159,65,1.29,1015.0,Cardio,29.6,2.0,3,2,12.32
34,Male,88.0,1.64,197,147,70,1.9,1536.0,Yoga,14.4,3.5,4,3,32.72
43,Male,94.0,1.79,187,156,62,1.35,1012.0,HIIT,23.2,3.4,2,1,29.34
53,Female,44.7,1.79,164,127,72,1.34,965.0,Yoga,26.7,2.1,3,2,13.95
52,Male,47.8,1.74,179,129,67,1.01,645.0,Yoga,24.7,2.8,3,2,13.82
32,Male,85.3,1.64,178,123,69,1.77,1197.0,Cardio,13.2,3.5,2,3,31.71
39,Male,59.7,1.83,170,154,59,1.35,1143.0,Strength,20.83,2.3,4,2,17.83
31,Male,70.2,1.98,199,129,61,0.71,504.0,Yoga,24.2,2.5,4,1,17.91
43,Female,72.7,1.8,162,166,65,0.79,590.0,Cardio,32.8,2.1,3,1,22.44
45,Female,50.4,1.79,182,130,59,1.49,433.0,Cardio,27.7,2.5,2,1,15.73
31,Male,49.3,1.62,182,157,52,0.56,484.0,Strength,20.0,3.2,2,1,18.79
41,Female,61.9,1.64,166,131,68,1.93,1138.0,Yoga,19.4,2.7,4,3,23.01
31,Male,75.5,1.93,168,135,60,0.6,446.0,Cardio,20.5,3.4,2,1,20.27
24,Male,88.2,1.79,177,154,65,1.76,1491.0,HIIT,11.3,3.5,4,3,27.53
52,Male,116.5,1.69,198,148,51,0.53,388.0,Cardio,27.3,2.4,2,1,40.79
45,Female,64.3,1.54,164,133,58,1.67,999.0,Yoga,15.3,2.7,4,3,27.11
34,Female,59.0,1.82,178,150,56,1.13,847.0,Cardio,30.9,2.4,4,2,22.48
39,Male,127.5,1.82,180,161,70,0.87,1116.0,Strength,29.8,3.0,3,2,38.49
43,Female,68.6,1.52,173,137,68,1.42,875.0,Yoga,28.1,2.6,4,2,29.69
30,Female,61.6,1.52,178,138,71,1.78,1228.0,Cardio,19.5,2.7,4,3,26.66
37,Male,75.1,1.82,189,127,60,1.23,859.0,Yoga,26.4,3.2,4,2,22.67
42,Male,79.3,1.93,181,147,50,1.22,888.0,C.,27.3,3.3,2,1,21.29
20,Female,44.2,1.61,177,122,69,1.08,659.0,HIIT,32.4,2.5,2,1,17.05
58,Female,56.5,1.7,170,122,57,0.74,406.0,Yoga,27.0,2.7,2,1,19.55
35,Male,100.9,1.63,161,163,59,1.1,986.0,Cardio,28.4,3.1,2,1,37.98
53,Female,55.8,1.55,171,141,54,1.12,711.0,Strength,30.4,1.8,4,2,23.23
39,Male,58.3,1.93,165,170,58,1.35,1010.0,Cardio,27.4,3.7,4,2,15.65
57,Male,85.6,1.69,189,133,50,1.76,1159.0,Yoga,33.9,3.5,5,3,29.97
54,Female,64.2,1.69,188,131,69,1.1,996.0,Yoga,16.5,2.7,4,3,22.48
23,Female,65.2,1.62,192,125,59,1.37,1069.0,Cardio,31.1,2.5,3,2,24.84
43,Female,70.1,1.66,169,151,58,0.99,673.0,Strength,34.6,2.6,2,1,25.44
51,Male,102.6,1.77,193,130,59,1.21,779.0,HIIT,21.0,3.4,2,1,32.75
47,Male,107.2,1.93,167,139,55,1.15,879.0,HIIT,20.2,3.1,4,2,28.78
39,Male,81.7,1.75,165,165,55,1.32,1198.0,Cardio,29.1,2.8,4,2,26.68
38,Female,76.6,1.58,199,130,53,0.74,481.0,Yoga,32.2,2.3,2,1,30.68
23,Male,116.8,1.79,178,127,69,1.0,698.0,Strength,26.8,3.4,4,2,36.45
23,Female,60.1,1.59,191,123,52,1.8,1107.0,HIIT,17.6,2.7,4,3,23.77
47,Female,41.6,1.58,160,163,68,1.03,756.0,Yoga,26.6,2.1,4,1,16.66
28,Female,55.1,1.79,192,159,67,1.99,1582.0,Yoga,17.0,2.7,5,3,17.2
48,Female,69.1,1.6,191,166,53,1.34,1001.0,Strength,26.1,2.0,2,2,26.99
29,Female,64.4,1.55,194,139,62,1.77,1107.0,HIIT,19.7,2.7,4,3,26.81
41,Female,64.9,1.57,166,123,53,1.04,576.0,HIIT,25.9,2.4,5,2,26.33
48,Female,52.3,1.66,174,130,71,0.74,433.0,Yoga,33.0,1.8,3,1,18.98
37,Female,70.3,1.77,162,123,52,1.01,621.0,Strength,33.7,1.7,2,1,22.44
28,Female,56.0,1.5,193,128,56,1.94,1242.0,Strength,22.91,2.7,5,3,24.89
21,Male,101.2,1.84,181,132,69,1.3,944.0,Yoga,24.3,3.3,2,1,29.89
39,Female,56.6,1.57,170,167,72,1.65,1378.0,HIIT,15.7,2.7,4,3,22.96
23,Female,40.9,1.75,167,145,61,0.82,594.0,Yoga,25.2,2.1,3,1,13.36
47,Male,127.8,1.65,169,157,60,0.77,598.0,Cardio,28.7,3.5,2,1,46.94
55,Female,49.3,1.76,194,161,73,1.28,927.0,Strength,30.5,2.0,2,1,15.92
19,Female,64.3,1.63,197,132,57,1.87,1234.0,Cardio,18.0,2.7,5,3,24.2
32,Male,49.3,1.62,167,158,61,1.18,1025.0,Strength,29.3,2.5,3,2,18.79
28,Female,63.0,1.62,196,147,55,0.68,500.0,Strength,31.7,1.9,2,1,24.01
25,Female,41.1,1.67,186,138,71,1.03,711.0,Yoga,31.9,2.4,2,2,14.74
22,Male,71.0,1.62,199,138,68,0.91,691.0,HIIT,21.2,3.5,2,1,27.05
23,Female,60.9,1.62,193,168,69,1.59,1336.0,Cardio,16.8,2.7,5,3,23.21
43,Female,64.7,1.66,191,132,69,1.88,1117.0,Yoga,19.8,2.7,4,3,23.48
37,Male,76.9,1.82,192,121,50,1.49,992.0,Strength,24.5,2.8,4,2,23.22
50,Male,80.5,1.77,175,129,59,1.85,1181.0,Yoga,14.3,3.5,3,3,25.7
37,Female,73.3,1.74,188,141,65,1.03,726.0,Cardio,25.5,2.4,3,2,24.21
29,Female,49.0,1.57,168,132,53,1.33,878.0,Yoga,26.5,2.6,3,2,19.88
38,Male,114.5,1.97,192,128,60,1.03,725.0,Cardio,24.1,2.6,3,1,29.5
43,Male,81.0,1.78,188,137,65,1.58,1189.0,Yoga,12.4,3.5,5,3,25.56
55,Male,52.1,1.68,180,167,50,0.77,637.0,Yoga,23.6,3.0,3,1,18.46
53,Male,73.4,1.76,169,145,70,1.09,815.0,Yoga,27.9,2.8,3,2,23.7
30,Male,90.0,1.66,165,152,71,1.32,1104.0,Cardio,26.6,2.1,4,3,32.66
23,Male,57.7,1.71,179,149,58,1.15,942.0,Strength,27.0,3.4,3,2,19.73
27,Male,75.7,1.76,167,132,66,0.68,494.0,Cardio,25.3,2.3,3,1,24.44
22,Female,61.8,1.52,169,166,61,1.83,1519.0,Yoga,17.0,3.34,5,3,26.75
19,Female,65.7,1.58,170,121,57,1.46,883.0,Cardio,25.9,1.9,3,2,26.32
57,Female,51.9,1.57,169,151,67,1.05,713.0,HIIT,29.1,2.6,3,2,21.06
19,Female,59.1,1.57,184,162,50,1.65,1336.0,Cardio,17.9,2.7,5,3,23.98
26,Female,62.4,1.61,198,139,58,1.88,1307.0,Yoga,19.8,2.7,4,3,24.07
34,Male,102.1,1.71,185,135,72,0.96,713.0,HIIT,27.3,3.2,2,1,34.92
26,Male,51.9,2.0,173,133,54,0.75,549.0,HIIT,26.6,2.3,2,1,12.97
32,Male,89.8,1.92,199,168,69,1.93,1783.0,Strength,10.6,3.5,4,3,24.36
41,Male,101.1,1.83,160,162,66,0.79,634.0,Yoga,28.6,3.2,2,1,30.19
47,Male,80.0,1.77,171,149,68,0.72,531.0,HIIT,28.2,3.5,3,1,25.54
26,Female,71.2,1.5,182,142,54,1.15,816.0,Cardio,34.6,2.6,2,1,31.64
29,Female,75.6,1.8,175,149,57,1.31,976.0,Yoga,25.7,1.9,4,2,23.33
52,Female,57.9,1.56,166,138,68,1.66,1135.0,HIIT,15.8,2.7,4,3,23.79
52,Female,70.6,1.58,181,164,67,1.02,753.0,HIIT,34.9,2.0,3,2,28.28
57,Male,55.7,1.99,170,126,70,1.13,705.0,Strength,23.6,3.0,3,2,14.07
46,Male,72.6,1.87,188,161,64,1.31,1044.0,HIIT,22.6,3.4,4,2,20.76
28,Female,67.3,1.67,171,157,74,0.61,479.0,Strength,29.2,2.3,3,1,24.13
58,Fem.,59.3,1.58,166,165,56,1.97,1463.0,Strength,19.8,2.7,4,3,23.75
31,Male,86.9,1.69,185,130,65,1.72,1230.0,Yoga,14.0,3.5,4,3,30.43
54,Male,117.2,1.62,172,143,56,1.04,736.0,HIIT,23.1,2.3,4,2,44.66
31,,53.3,1.64,183,141,70,0.57,402.0,Strength,29.4,2.4,3,1,19.82
43,Male,46.2,1.63,176,139,65,1.18,812.0,Strength,21.7,2.1,2,1,17.39
59,Male,85.5,1.67,190,144,71,1.99,1418.0,Cardio,15.0,3.5,5,3,30.66
42,Male,70.2,1.87,188,165,65,1.38,1127.0,HIIT,22.7,3.4,3,2,20.07
35,Male,127.1,1.62,187,128,69,1.02,718.0,Strength,23.3,3.4,4,2,48.43
57,Female,66.51,1.67,186,153,65,1.05,723.0,Cardio,31.6,1.8,3,2,27.11
56,Female,55.7,1.53,190,124,66,1.91,1066.0,Cardio,16.1,2.7,5,3,23.79
31,Female,76.7,1.62,174,127,74,0.91,883.0,Yoga,28.1,2.3,4,2,29.23
49,Male,90.78,1.89,192,135,62,1.14,762.0,Cardio,21.1,3.5,2,1,16.01
55,Ma.,69.9,1.81,179,167,57,1.2,992.0,Strength,20.2,2.1,4,2,21.34
50,Female,67.9,1.77,171,164,73,1.03,760.0,Yoga,33.0,2.4,3,2,21.67
40,Male,87.9,1.87,196,134,54,1.96,1445.0,Strength,10.7,3.5,5,3,25.14
32,Male,102.8,1.98,168,120,61,1.24,818.0,Strength,27.8,2.8,3,2,26.22
50,Female,51.8,1.5,182,141,58,1.32,838.0,HIIT,33.0,2.2,3,1,23.02
42,Female,57.7,1.57,167,122,52,1.83,1005.0,Cardio,17.7,2.7,4,3,23.41
34,Female,66.5,1.69,191,157,52,0.81,636.0,Cardio,21.42,2.3,3,1,23.28
50,Male,95.4,1.61,173,133,50,1.16,764.0,S.,21.5,3.6,4,2,36.8
19,Female,69.2,1.6,186,155,74,1.17,907.0,Cardio,32.4,1.6,3,1,27.03
31,Female,66.6,1.67,184,137,71,1.02,699.0,Yoga,31.0,1.5,4,2,23.88
51,Female,43.8,1.75,180,160,73,1.39,1001.0,Cardio,25.1,1.7,2,1,14.3
