Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Fat_Percentage,Water_Intake (liters)
73.3,1.74,188,141,65,726.0,25.5,2.4
49.0,1.57,168,132,53,878.0,26.5,4.96
114.5,1.97,192,128,60,725.0,24.1,2.6
81.0,1.78,188,152,65,1189.0,12.4,3.5
52.1,1.68,180,167,50,637.0,23.6,3.0
73.4,1.76,169,151,70,815.0,27.9,2.8
90.0,1.66,165,152,71,1104.0,26.6,2.1
57.7,1.71,179,149,52,942.0,27.0,3.4
75.7,1.76,167,132,66,494.0,25.3,2.3
61.8,1.52,169,166,61,1519.0,17.0,2.7
65.7,1.58,170,121,57,883.0,25.9,1.9
51.9,1.57,169,151,62,713.0,29.1,2.6
59.1,1.57,184,162,50,1336.0,17.9,2.7
62.4,1.61,198,139,58,1307.0,19.8,2.7
102.1,1.71,185,135,72,713.0,27.3,3.2
51.9,2.0,173,147,54,549.0,26.6,2.3
89.8,1.92,199,168,67,1783.0,10.6,3.5
101.1,1.83,160,162,66,634.0,28.6,3.2
80.0,1.77,171,149,68,531.0,28.2,5.23
71.2,1.5,182,142,92,816.0,34.6,2.6
75.6,1.8,175,149,57,976.0,25.7,1.94
57.9,1.56,166,152,68,1135.0,15.8,2.7
70.6,1.58,181,164,67,753.0,34.9,2.0
55.7,1.99,170,126,70,705.0,23.6,3.0
72.6,1.87,188,161,85,1044.0,22.6,3.4
67.3,1.67,171,157,74,479.0,29.2,2.3
59.3,1.58,166,165,98,1463.0,19.8,2.7
86.9,1.69,185,130,65,1230.0,14.0,5.13
117.2,1.62,172,209,56,736.0,23.1,2.3
53.3,1.64,183,141,62,402.0,29.4,2.4
46.2,1.63,176,139,65,812.0,21.7,2.1
85.5,1.67,190,144,71,1418.0,15.0,3.5
70.2,1.87,188,165,65,1127.0,22.7,3.4
127.1,1.62,187,128,69,718.0,23.3,3.4
75.6,1.67,186,153,65,723.0,31.6,1.8
55.7,1.53,190,124,66,1066.0,16.1,2.7
76.7,1.62,174,127,74,883.0,28.1,2.3
57.2,1.89,192,135,62,762.0,21.1,3.5
69.9,1.81,179,167,57,992.0,20.2,2.1
67.9,1.77,171,164,73,760.0,33.0,4.95
87.9,1.87,196,134,54,1445.0,10.7,3.5
102.8,1.98,168,148,61,818.0,27.8,2.8
51.8,1.5,182,141,58,838.0,33.0,2.2
57.7,1.57,167,122,52,1005.0,17.7,2.7
66.5,1.69,191,157,52,636.0,28.1,2.3
95.4,1.61,173,133,50,764.0,21.5,3.6
69.2,1.6,186,155,91,907.0,32.4,1.6
66.6,1.67,184,137,71,699.0,31.0,1.5
43.8,1.75,180,160,73,1001.0,25.1,1.7
64.2,1.69,190,137,61,1227.0,19.6,2.7
44.1,1.62,196,122,58,354.0,25.7,2.7
55.0,1.6,172,168,62,1035.0,24.0,3.2
87.1,1.74,187,158,67,1364.0,10.0,3.5
66.6,1.61,184,166,56,1260.0,25.0,3.0
60.4,1.76,194,120,53,929.0,18.8,2.7
126.4,1.83,198,146,62,883.0,28.2,2.06
88.7,1.63,166,146,66,542.0,28.8,3.5
74.9,1.53,179,151,66,883.0,33.9,2.1
58.0,1.68,168,156,74,1116.0,15.5,2.7
120.8,1.67,188,146,54,593.0,20.5,3.0
94.5,2.0,179,136,69,794.0,27.6,3.7
64.0,1.53,166,167,58,1111.0,29.8,2.3
71.9,1.77,197,142,72,875.0,25.7,3.1
63.7,1.71,173,169,62,1080.0,26.1,1.8
84.9,1.86,186,136,66,1104.0,14.2,3.5
78.0,1.68,183,135,55,871.0,32.3,1.8
124.2,1.76,168,158,50,1304.0,29.3,2.8
52.4,1.85,186,161,73,956.0,25.2,2.5
59.7,1.71,169,151,58,836.0,34.3,2.0
44.6,1.62,196,157,65,440.0,32.4,2.0
44.8,1.63,198,137,69,666.0,33.8,2.1
51.8,1.74,179,127,61,773.0,21.3,3.7
67.1,1.61,160,151,74,421.0,33.4,1.5
61.1,1.76,189,150,67,1358.0,18.6,2.7
66.1,1.75,169,128,57,363.0,25.2,1.8
61.7,1.58,183,135,54,1262.0,16.6,2.7
54.8,1.68,176,158,71,1003.0,32.0,2.2
74.0,1.63,174,150,50,936.0,25.7,3.7
54.6,1.57,164,169,64,441.0,29.2,2.3
103.5,1.66,172,168,61,1106.0,24.6,3.1
71.7,1.96,162,168,51,424.0,27.3,2.5
78.4,1.62,185,149,52,677.0,31.7,2.0
61.7,1.55,196,129,66,819.0,33.1,2.6
85.5,1.82,174,154,57,1357.0,14.9,3.5
87.6,1.93,161,139,72,1315.0,11.9,3.5
67.0,1.68,191,164,63,446.0,20.5,2.8
129.5,1.95,160,129,66,639.0,25.2,3.5
86.2,1.68,189,157,72,1701.0,13.3,3.5
82.8,1.95,183,159,73,1503.0,14.3,3.5
125.2,1.66,196,159,60,1207.0,29.8,3.4
58.5,1.79,195,131,71,837.0,30.3,2.4
60.1,1.65,175,137,69,1042.0,17.3,2.7
79.2,1.62,181,166,66,1046.0,28.0,2.5
73.9,1.77,198,137,64,877.0,32.5,2.6
50.3,1.95,188,167,55,885.0,24.4,3.4
52.0,1.61,168,164,70,1082.0,27.9,2.0
113.4,1.71,190,129,63,530.0,24.0,2.3
80.9,1.8,178,126,59,1074.0,10.7,3.5
51.5,1.8,166,126,60,680.0,26.7,2.1
56.2,1.77,191,123,61,418.0,33.4,2.6
49.0,1.69,176,147,64,772.0,29.2,2.4
128.2,1.84,164,132,58,603.0,26.2,2.3
83.6,1.86,168,142,56,1082.0,12.4,3.5
87.8,1.78,195,161,72,1133.0,23.6,3.3
57.4,1.71,168,143,61,1337.0,18.3,2.7
62.1,1.66,173,152,73,937.0,31.3,1.8
57.1,1.91,184,131,68,707.0,29.5,2.7
69.2,1.65,165,126,65,852.0,27.2,2.7
108.6,1.73,174,150,66,988.0,28.5,2.2
88.4,1.6,198,121,67,1138.0,12.0,3.5
71.6,1.77,197,158,56,1177.0,30.3,1.8
65.3,1.71,172,135,74,796.0,29.7,2.5
78.6,1.73,192,156,56,1147.0,32.3,1.5
58.0,1.53,196,140,62,1153.0,18.4,2.7
71.3,1.69,167,163,52,1043.0,33.4,2.3
57.3,1.64,164,157,70,887.0,25.3,1.8
72.9,1.76,192,121,52,732.0,27.5,1.9
68.5,1.56,168,138,68,900.0,29.1,1.6
44.5,1.65,162,148,71,959.0,30.7,1.6
55.1,1.61,184,158,64,1224.0,16.9,2.7
73.7,1.61,172,121,63,815.0,21.8,3.6
60.3,1.68,182,125,64,900.0,16.5,2.7
40.4,1.64,168,168,55,832.0,31.0,1.9
60.9,1.79,191,126,69,699.0,31.1,2.1
55.2,1.71,164,152,67,579.0,24.4,2.8
70.9,1.66,184,125,68,506.0,28.9,1.7
74.6,1.75,193,137,58,739.0,24.2,2.9
117.0,1.61,166,130,55,744.0,25.1,2.4
75.9,1.73,165,152,63,1056.0,30.6,2.1
50.6,1.69,162,156,60,1012.0,23.8,3.0
126.8,1.63,161,133,73,632.0,20.8,2.1
54.6,1.57,170,150,62,982.0,32.1,2.4
47.8,1.54,198,146,63,880.0,29.8,1.9
97.9,1.91,193,136,73,680.0,29.0,2.8
72.4,1.69,177,148,61,713.0,29.0,2.3
58.8,1.77,181,136,53,952.0,32.8,2.7
51.5,1.71,199,155,64,1136.0,20.9,2.9
63.1,1.64,184,125,51,962.0,19.0,2.7
48.7,1.67,164,132,74,1009.0,27.3,3.0
125.9,2.0,186,152,67,1137.0,24.7,3.1
77.7,1.79,198,165,53,1047.0,28.1,2.2
87.4,1.6,182,122,67,465.0,23.2,3.1
55.1,1.61,166,144,68,1166.0,19.9,2.7
61.3,1.57,191,152,64,1474.0,17.2,2.7
72.3,1.94,171,121,56,874.0,21.1,2.9
59.0,1.78,185,141,58,1177.0,17.8,2.7
61.3,1.97,177,146,51,1100.0,23.5,2.8
44.1,1.65,189,133,74,694.0,26.7,1.8
78.0,1.67,198,168,57,949.0,33.3,2.5
75.8,1.78,197,133,53,944.0,27.4,2.0
75.7,1.63,161,131,60,407.0,32.6,2.3
73.2,1.94,177,162,69,722.0,29.0,2.4
42.8,1.78,167,159,64,1066.0,25.3,2.6
88.1,1.76,187,168,74,1123.0,26.9,3.0
46.1,1.76,165,130,60,842.0,25.8,1.7
45.1,1.73,165,129,73,482.0,25.4,2.6
72.7,1.55,172,125,56,525.0,29.8,2.0
62.5,1.62,168,169,74,1318.0,16.5,2.7
51.7,1.82,161,160,71,792.0,21.4,3.0
71.2,1.68,172,144,63,888.0,34.1,1.6
62.6,1.53,197,143,73,1380.0,18.1,2.7
76.4,1.97,165,157,65,886.0,22.9,2.6
63.3,1.71,178,125,56,1175.0,18.5,2.7
106.8,1.82,170,130,50,715.0,28.2,2.3
125.5,1.8,189,131,73,817.0,20.9,2.7
55.2,1.55,163,161,53,1103.0,31.7,1.7
71.4,1.72,164,169,74,1056.0,25.6,1.5
77.7,1.61,160,158,50,806.0,26.7,3.4
104.8,1.99,187,130,67,598.0,24.0,2.0
82.2,1.69,188,155,63,882.0,25.2,3.4
56.2,1.95,183,128,64,767.0,22.5,3.4
82.9,1.95,181,160,70,1505.0,12.9,3.5
62.0,1.59,190,162,50,996.0,33.2,2.2
67.4,1.6,182,164,71,492.0,33.5,2.4
55.6,1.61,161,147,54,1301.0,18.9,2.7
107.7,1.88,162,160,59,634.0,28.1,3.6
56.9,1.6,185,143,65,566.0,27.7,1.6
48.2,1.64,168,159,67,894.0,32.1,2.5
86.6,1.99,182,153,70,1500.0,10.6,3.5
96.3,1.63,180,162,62,1203.0,27.1,2.4
80.8,1.98,160,145,50,1316.0,14.6,3.5
105.1,1.84,176,130,62,444.0,23.3,2.9
64.5,1.53,171,120,58,940.0,17.2,2.7
69.5,1.76,171,121,66,569.0,34.4,2.0
56.3,1.5,182,142,66,914.0,27.4,2.4
64.8,1.53,170,141,54,1396.0,18.6,2.7
106.5,1.6,183,152,74,1170.0,27.3,3.3
65.5,1.57,192,133,59,395.0,34.3,2.3
69.3,1.68,182,135,51,729.0,30.3,2.0
57.7,1.69,184,156,53,920.0,33.1,2.4
59.4,1.51,185,161,54,1304.0,19.8,2.7
52.0,1.65,165,147,63,463.0,34.1,1.9
42.2,1.65,162,148,59,886.0,34.6,2.3
89.3,1.64,192,162,64,1622.0,12.1,3.5
66.2,1.58,164,129,65,499.0,31.3,2.3
51.0,1.67,178,133,72,710.0,21.3,2.8
101.5,1.95,171,131,69,699.0,27.9,3.1
114.2,1.87,184,166,55,959.0,20.2,3.2
85.2,1.81,189,151,65,1151.0,13.7,3.5
83.6,1.74,164,151,51,1379.0,11.6,3.5
77.6,1.76,162,161,71,920.0,31.8,2.2
44.1,1.62,179,121,61,768.0,34.8,1.6
85.5,1.8,190,136,66,1144.0,10.1,3.5
47.8,1.76,164,149,74,711.0,28.4,1.5
102.5,1.94,183,158,64,730.0,21.1,2.4
118.0,1.9,199,126,68,412.0,22.6,3.2
82.3,1.84,192,146,71,932.0,28.4,3.4
68.7,1.72,171,168,62,907.0,29.8,1.7
65.5,1.74,191,138,70,1011.0,26.2,2.8
85.4,1.88,195,137,60,1492.0,13.5,3.5
86.1,1.65,183,128,71,1169.0,11.2,3.5
67.7,1.56,177,138,66,980.0,27.0,2.1
88.4,1.93,188,158,65,1314.0,12.4,3.5
53.3,1.74,173,156,54,962.0,32.2,1.8
84.6,1.63,184,141,52,705.0,20.2,2.9
63.7,1.74,198,143,71,810.0,29.8,2.7
106.4,1.86,182,123,50,907.0,20.6,3.1
63.5,1.86,198,144,53,969.0,22.9,2.9
59.4,1.5,199,132,60,825.0,25.0,2.0
70.7,1.68,192,121,66,637.0,34.9,1.9
86.2,1.9,186,128,58,1345.0,11.7,3.5
75.6,1.72,194,154,60,672.0,26.4,1.9
120.6,1.83,179,120,51,686.0,22.3,2.5
65.3,1.55,184,161,59,1143.0,28.5,2.2
68.0,1.68,169,128,57,472.0,25.8,3.4
63.3,1.77,183,134,59,876.0,25.7,3.3
67.7,1.58,189,142,52,927.0,32.7,1.9
48.7,1.68,194,144,56,886.0,33.7,1.6
41.2,1.58,195,168,71,1111.0,28.7,2.6
121.6,2.0,179,160,60,1091.0,28.0,3.3
108.6,1.92,197,134,50,656.0,25.8,3.5
88.6,2.0,162,127,56,1150.0,14.9,3.5
49.7,1.51,179,145,65,906.0,32.6,2.5
71.3,1.67,192,140,63,1022.0,28.1,1.5
71.6,1.86,160,147,70,830.0,25.3,2.2
70.6,1.69,165,135,65,826.0,26.1,2.2
73.5,1.69,174,131,66,354.0,27.5,1.6
53.7,1.66,191,129,72,806.0,29.5,2.5
82.8,1.66,177,139,74,1355.0,11.2,3.5
73.5,1.55,194,153,72,806.0,26.3,2.1
89.6,1.81,178,153,70,1287.0,12.4,3.5
68.5,1.97,194,139,69,894.0,23.2,2.1
52.2,1.84,195,124,52,847.0,28.2,3.1
101.0,1.68,182,134,61,1076.0,28.2,2.9
47.9,1.72,171,147,57,933.0,26.3,2.0
79.9,1.51,190,142,54,479.0,31.5,2.6
88.5,1.62,174,162,69,1675.0,10.7,3.5
43.4,1.62,179,132,64,303.0,25.3,2.3
64.5,1.79,163,130,61,753.0,28.1,2.4
56.5,1.6,196,140,61,1184.0,19.2,2.7
85.8,1.8,168,149,68,1410.0,10.1,3.5
58.3,1.72,173,128,63,640.0,32.6,1.6
61.6,1.8,169,144,72,1172.0,26.4,3.1
108.0,1.8,174,122,70,926.0,28.6,2.5
55.7,1.68,182,129,54,802.0,21.7,2.9
125.9,1.67,172,153,60,1229.0,20.6,2.2
81.4,1.83,167,125,73,1225.0,13.6,3.5
73.0,1.59,196,149,64,798.0,32.0,2.1
93.6,1.66,177,151,52,1024.0,29.0,2.2
66.2,1.71,181,169,71,1188.0,22.8,2.9
40.0,1.76,173,132,63,475.0,26.7,2.2
84.0,1.74,195,127,63,1013.0,25.8,2.1
82.4,1.96,174,169,62,1766.0,10.1,3.5
60.4,1.65,176,169,54,966.0,32.6,2.1
49.3,1.61,191,129,55,868.0,28.3,2.9
73.6,1.55,183,145,74,581.0,33.9,2.1
72.1,1.62,183,123,59,849.0,25.1,2.1
110.7,1.69,193,133,59,775.0,27.0,2.7
102.6,1.83,199,123,58,954.0,26.5,3.5
80.7,1.61,170,166,52,1598.0,14.3,3.5
87.8,1.69,183,158,69,1573.0,10.3,3.5
72.0,1.94,199,148,62,952.0,24.7,3.2
77.9,1.77,166,130,62,916.0,27.9,2.6
69.6,1.58,182,135,50,1006.0,27.8,2.0
79.6,1.59,181,130,54,968.0,28.2,1.5
83.0,1.8,167,160,73,695.0,29.6,2.9
82.5,1.79,167,155,70,1159.0,13.8,3.5
70.2,1.67,186,166,50,695.0,32.5,1.8
75.8,1.77,167,128,53,841.0,33.1,1.8
47.4,1.6,196,154,50,585.0,33.5,1.6
84.9,1.72,187,140,51,1378.0,14.3,3.5
95.7,1.77,198,151,50,807.0,24.2,3.4
60.5,1.77,187,127,56,1092.0,15.0,2.7
53.8,1.72,173,160,71,742.0,30.2,2.3
95.6,1.9,190,160,72,1294.0,23.8,2.4
81.7,1.74,166,133,58,666.0,27.0,2.7
66.5,1.83,178,136,59,747.0,27.1,2.4
74.8,1.75,184,121,73,885.0,25.0,3.3
72.2,1.6,173,130,67,566.0,29.2,1.9
72.9,1.62,175,139,67,732.0,25.7,2.0
58.4,1.59,186,166,73,807.0,32.5,1.9
89.3,1.87,169,153,62,1363.0,12.7,3.5
90.2,1.61,163,168,51,1148.0,22.6,2.3
56.7,1.53,192,149,74,717.0,27.4,1.9
64.5,1.78,169,144,64,958.0,27.8,1.8
72.6,1.68,162,127,70,756.0,34.2,1.8
76.7,1.7,196,150,56,792.0,29.1,2.1
81.7,1.95,188,136,74,1451.0,13.8,3.5
60.0,1.72,161,128,51,1043.0,18.2,2.7
75.4,1.78,161,140,63,662.0,26.0,2.5
56.5,1.75,196,154,66,1220.0,15.3,2.7
61.6,1.75,192,166,74,911.0,25.5,2.2
93.7,1.73,186,146,72,803.0,27.8,3.6
127.1,1.76,199,157,73,552.0,24.9,3.0
66.8,1.74,164,149,57,898.0,29.2,2.3
71.3,1.58,167,167,54,893.0,25.4,1.5
129.2,1.61,193,167,62,876.0,21.4,2.9
96.3,1.86,168,146,74,795.0,27.6,2.2
67.5,1.54,182,140,50,454.0,25.2,1.5
46.8,1.63,184,128,63,864.0,34.4,1.6
80.8,1.76,183,131,54,1102.0,11.4,3.5
40.5,1.74,187,143,51,965.0,32.9,2.2
57.7,1.77,176,147,63,1213.0,19.4,2.7
86.9,1.78,164,134,68,951.0,24.9,3.7
85.7,1.92,172,136,58,1287.0,10.5,3.5
80.3,1.76,168,167,74,1497.0,13.1,3.5
120.3,1.96,171,136,65,494.0,23.9,2.6
66.9,1.75,184,127,50,876.0,26.5,2.1
58.3,2.0,198,135,65,980.0,28.2,3.0
118.6,1.72,163,168,67,640.0,25.9,2.6
84.8,1.85,189,152,50,895.0,23.4,3.2
73.1,1.83,194,131,71,681.0,28.0,2.8
117.3,1.68,172,134,57,914.0,28.5,2.7
72.9,1.67,197,147,74,831.0,34.7,2.2
63.8,1.68,198,165,67,784.0,31.6,1.9
98.2,1.9,199,148,64,557.0,22.9,3.0
86.3,1.77,172,127,55,1113.0,11.4,3.5
62.6,1.65,174,142,61,852.0,27.9,2.2
96.1,1.74,199,144,54,862.0,21.6,2.8
